,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
149288,473177,"Hi, how are you?","Salut, comment ça va? | Salut! Comment vas-tu? | Salut. Comment vas-tu?","Hallo! Wie geht’s? | Hallo, wie geht’s dir?","හෙලෝ, මොකද්ද שלומך?","Ciao, come stai? | Ciao! Come stai?",こんにちは、お元気ですか? | どうも、元気か? | こんにちは、如何ですか? | やあ!元気?,"హే,మీరుఎలా?",Cześć! Jak się masz?,"ඔයි, කොහොමද ඔයා ඉන්නේ? | ඔයි!"
149538,477061,No.,Ne. | Ne!,Nie. | Nie.,| לא!,නෑ.,いいえ. | ノー.,"不,不,不。",Nie.,නනෝ.
149541,477086,Yes.,Yes. | Entendu!,ඔව්.,ඔව්.,Sì.,ඔව්. | うん. | ええ. | そう. | イエス.,是的。 | 是。 | 對。,Tak. | Ne.,සිම්.
149667,478255,He closed the door.,Il a fermé la porte. | Il ferma la porte.,Er schloss die Tür.,అతను סגר את הדלת.,Ha chiuso la porta. | Chiuse la porta.,He closed the door.,他关了门。,Na zamknął drzwi. | Zamknął drzwi.,Ele fechou a porta.
149694,478568,I have no friends.,Nemám žádné přátele. Nemám žádné přátele. Nemám žádné přátele. Nemám žádné přátele.,Ich habe keine Freunde.,Nemám žádné přátele.,"例如:我没有朋友,我没有朋友,我没有朋友,我没有朋友,我没有朋友,我没有朋友,我没有朋友,我没有朋友,我没有朋友。",I have no friends.,මගේ කිසිම යාලුවෙක් නෑ.,Nie mam przyjaciół.,Eu não tenho amigos.
149808,481593,Are they friends?,Sont-ils amis? | Sont-ils amis? | Sont-elles amies?,Sind sie befreundet? | Sind sie Freunde?,Jsou to přátelé?,Sono amici? | Sono amiche? | Loro sono amici? | Loro sono amiche?,They are friends?,එයාල යාළුවොද?,Czy oni są przyjaciółmi?,Eles são amigos?
149868,482303,Where is my book?,Où est mon livre? | Où se trouve mon livre?,Kde je můj Buch?,私の本はどこですか? | 私の本はどこですか?,Dov'è il mio libro?,My book is where are you?,私の書在哪裏? | 私の書在哪?,Gdzie jest moja książka?,Kde je moje kniha?
149949,483350,Guns don't kill people. People kill people.,"ആയുധങ്ങൾ ആണുങ്ങളെ കൊല്ലുന്നതല്ല, ആണുങ്ങൾ ആണുങ്ങളെ കൊല്ലുന്നതാണ്.",Waffen töten keine Menschen. Menschen töten Menschen.,මිනිස්සු הורגים මිනිස්සු.,Le pistole non uccidono le persone.,gunが人を殺すのではない。人が人を殺すのだ。,槍不會殺人.人才会殺人.,To nie pistolety zabijają lidi. Ludzie zabijają lidi.,මිනිස්සුන්ව මරන්නේ මිනිස්සුන්ව මරනවා.
150041,484648,Drive safely.,Conduis prudemment! | Conduisez prudemment.,Fahr sicher! | Fahren Sie vorsichtig.,ایک محفوظ طریقے سے ڈرائیونگ.,ഗൈഡ കോൺ പ്യൂട്ടിസെൻസ. | ഗൈഡ കോൺ പ്യൂട്ടിസെൻസ. | ഗൈഡി കോൺ പ്യൂട്ടിസെൻസ.,| 安全運転してください。 | 安全運転してくださいね。 | 安全運転してね。 | 安全運転しなさい。 | 安全運転でお願いします。,安全地ドライバー。,ہوشیار رہو.,Dirija సంరక్షణ  com.
150094,485099,Thanks anyway.,Merci tout de même.,Danke trotzdem. | Trotzdem danke!,V každém případě děkuji. | V každém případě děkuji. | V každém případě děkuji.,Grazie comunque.,とにかく有難う。,还是说谢谢。,V každém případě díky.,Agradeço de qualquer maneira.
150159,486448,I must go now.,Je dois partir maintenant. | Je dois y aller maintenant.,Ich muss jetzt gehen. | Ich muss jetzt los.,| 私は今行かなければならない。,දැන් යන්න දෙන්න. දැන් යන්න දෙන්න. දැන් යන්න දෙන්න.,もう行かなければなりません。 | もう行かなくちゃ。 | もう行かなければなりません。 | もう行かねばなりません。,我現在必須走了。,Teď už musím jít.,Preciso ir agora.
150190,487006,Cheers!,Santé! | À votre santé! | Merci! | À la tienne! | À la vôtre! | Tchin-tchin!,Prost! | Zum Wohl!,לחיים!,"""அல்லாஹ்வைத் துதியுங்கள்"", ""அல்லாஹ்வைத் துதியுங்கள்"", ""அல்லாஹ்வைத் துதியுங்கள்""",乾杯! | ご健康を祝して乾杯.,乾杯! | 乾杯!,Na zdrowie! | Twoje zdrowie!,ഹലോ!
150242,487828,Swimming is easy.,"Nager, to je lehké.",Schwimmen ist leicht.,| שחייהは単純です。,Nuotare è facile.,泳ぐことはやさしい。 | 泳ぐのなんて簡単です。,泳ぐのは簡単です。,Pływanie jest łatwe.,നദാർ വളരെ എളുപ്പമാണ്.
150457,493028,Do you know the answer?,Tu connais la réponse? | Connais-tu la réponse? | Connaissez-vous la réponse?,Kennen du die Antwort? | Kennen Sie die Antwort?,ඔයා දන්නවද ප් රශ්නෙ?,Sai la réponse? | Sapete la réponse? | Sa la réponse? | Conosci la réponse? | Conosce la réponse? | Conoscete la réponse? | La sai la réponse? | Tu la sai la réponse? | La sa la réponse? | Lei la sa la réponse? | La sapete la réponse? | Voi la sapete la réponse?,君は答えがわかるって?,Vet ni svaret?,Znasz odpowiedź? | Czy znasz odpowiedź?,ඔයා දන්නවද උත්තරේ?
150558,495717,I'm a journalist.,Já jsem novinářka.,In: Ich bin Journalist.,Sou jornalista.,Jsem novinář. | Já jsem novinář. | Já jsem novinář. | Já jsem novinář.,私は記者です。,我是记者。,Jestem dziennikarzem. | Jestem dziennikarką.,In: Sou Journalist.
150562,495838,Please close the door.,"Fermez la porte, s'il vous plaît. | Veuillez fermer la porte. | Ferme la porte, je te prie. | Ferme la porte, s'il te plait. | Je vous prie de fermer la porte.",Schließ bitte die Tür. | Bitte schließen Sie die Tür. | Bitte schließ die Tür.,"请不要把门打开,请闭上,请闭上。 请闭上。","Chiudi la porta, per favore. | Chiudi la porta, per piacere. | Chiuda la porta, per piacere. | Chiuda la porta, per favore. | Chiudete la porta, per favore. | Chiudete la porta, per piacere.",Please close the door. | Please close the door. | Please close the door. | Please close that door. | Please close the door. | Please close the door. | Please close the door!,請关門。 | 請关上門。 | 请关门。,"Proszę zamknąć drzwi. | Proszę, zamknij drzwi.","Por favor, feche a porta. | Fechem a porta, por favor. | Feche a porta, por favor."
150727,497969,See you tomorrow.,」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」,直到明天! | Wir sehen uns morgen. | Wir werden uns morgen sehen. | Wir sehen uns dann morgen!,明日は見よう | 明日は見よう。,നാളെ.,I'll see you tomorrow. | また明日. | それじゃまた明日.,明日见. | 明日见!,Do jutra. | Do zobaczenia jutro.,कल तक. | Nos vemos tomorrow. | Te vejo tomorrow.
150811,499689,Good afternoon.,Bonjour. | Bonjour! | Bon après-midi.,Guten ట్యాగ్!,אחר צהריים טוב.,සුභ සන්ධ් යාවක්.,今日は。 | こんにちは。,සුභ සන්ධ් යාවක්.,ഡോബ്രി ദിനം.,Boa tarde. | Boa tarde!
150828,499998,I'm just looking.,Je regarde juste. | Je ne fais que regarder.,Ich schaue nur. | Ich sehe mich nur um. | Ich schaue mich nur um um.,میں صرف دیکھ رہا ہوں.,Sto solo guardando. | Sto solo dando un'occhiata.,I'm just looking.I'm just looking.I'm just looking.I'm just looking.,我只是想看看。,صرف دیکھ رہا ہوں.,Estou só olhando.
151264,506446,Don't worry.,Ne t'inquiète pas. | T'inquiète pas. | T'inquiète. | Ne t'en fais pas. | Ne vous en faites pas. | Ne vous inquiétez pas. | T'inquiète. | Ne t'inquiète pas.,Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti!,"குறிப்பாக:,,,,,,,,,,,,,,,,,,,,,,,,.",别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。,心配しないで。 | 心配するな。 | 心配しなくていいよ。 | 気にすんなって。 | 心配しないで! | 心配しないでください。 | 心配すんな。 | ご心配なく。,"别担心,别担心,别担心,别担心,你不要着急。",Nie martw się.,Neboj se. Neboj se. Neboj se!
151303,506948,Do you smoke?,Fumez-vous? | Fumes-tu? | Tu fumes? | Est-ce que tu fumes? | Est-ce que vous fumez?,"""Raucht ihr?"" ""Rauchst du?""",ඔයා දුම් බොනවද? | ඔයා දුම් බොනවද? | ඔයා දුම් බොනවද?,Fumi? | Lei fuma? | Tu fumi? | Fuma? | Fumate? | Voi fumate?,吸いますか. | たばこは吸いますか. | あなたはタバコをすいますか?,你吸烟吗? | 你吸烟吗? | 你抽不抽烟? | 你吸烟吗?,പാലിസ്?,You fuma? | Yous fumam?
151505,508844,The dog is dead.,Le chien est mort.,Der Hund ist tot.,הכלב מת.,Il cane è morto.,The dog is dead.,这条狗死了。,Pies jest martwy.,O cachorro está morto. | O cachorro está sem vida.
151757,513527,Tom was fired.,Tom a été mis à la porte. | Thomas a été licencié. | Tom a été viré.,Tom wurde gefeuert. | Tom wurde entlassen.,ටොම් පූටර්.,Tom è stato licenziato. | Tom fu licenziato.,He became a lion.,Tom was fired.,Tom byl propuštěn.,ടോം ഫു ഡിമിറ്റിഡോ.
151760,513534,He raised his hands.,Il leva les mains.,Er hob die Hände.,అతను הרים את ידיו.,Ha alzato le mani. | Lui ha alzato le mani. | Alzò le mani. | Lui alzò le mani.,彼は両手をあげた. | 彼は手を挙げた.,他举起他的手。,Na podniósł swoje ręce.,చేతులు Ele levantou గా.
151849,515472,That's life.,C'est la vie.,So ist das Leben.,To jsou životy. | To jsou životy. | To jsou životy.,Tak to je život. | To je život.,人生とはそんなものさ. | それは人生さ.,それは生活。 | 人生就是如此。,Takie jest życie.,Je to život. | Je to život!
151862,515572,Are you Japanese?,Êtes-vous japonais? | Êtes-vous japonais? | Es-tu japonais? | Es-tu japonaise?,Jste Japonci? | Byli jste Japonci? | Bist du Japanci? | Bist du Japanci? | Jste Japonci?,You are Japanese? | Are you יפני?,Siete giapponesi? | Sei giapponese? | È giapponese? | Tu sei giapponese? | Lei è giapponese? | Voi siete giapponesi?,| 日本の方? | あなたは日本人ですか。,あなたは日本人ですか? | あなたは日本人ですか?,Czy jesteś Japończykiem?,നിങ്ങള് ജപ്പാന് കാരാണോ?
151926,516321,Today is Monday.,"Dnes'hui, on est lundi.",Heute ist Montag.,రోజురెరోజు.,Oggi è lunedì.,It's Monday. | It's Monday. | It's Monday.,Today is Monday. | 今兒週一.,Dzisiaj jest poniedziałek. | Dzisiaj jest poniedziałek.,Dnes é segunda-feira. | Dnes é segunda.
151946,516601,He is poor.,Il est pauvre.,Er ist arm.,वह गरीब है।,| イエス・ポヴェロ。,ඔහු දුප්පත්.,他很穷。,വിഡ്ഢിത്തം.,Je ubohá.
151972,516745,Goodbye!,Au revoir! | À la revoyure. | Adieu! | Ciao.,Tschüss! | Tschau! | Auf Wiedersehen!,こんにちは。 | こんにちはとראות。,വരൂ. | Ciao! | Arrivederci!,さようなら! | さようなら. | さよなら!,再见! | 告辞!,widzenia చేయండి!,டச்சு! | Até mais! | Até a vista! | Até logo! | Até mais ver! | Até o rever!
152040,518553,You may go.,Můžeš odejít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít.,तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो.,"Můžeš chodit, můžeš chodit, můžeš chodit, můžeš chodit svobodně.",നിനക്ക് പോകാം.,| 行ってもよろしい。,You can go. | You can go.,Możesz iść.,നിങ്ങള് ക്ക് പറ്റും.
152216,521667,It's a good question.,Dobrou otázku. | C'est une bonne question.,Das ist eine gute Frage.,अच्छा प्रश्न. | זו प्रश्न अच्छा.,È una buona domanda.,良い質問だ. | 良い質問です.,It's a good problem.,మంచి ప్రశ్నకు.,Boa pergunta.
152365,525267,"Tatoeba means ""for example"" in Japanese.","「タトエバ」は日本語で「par example」を意味する。 | Tatoeba veut dire ""par example"" en japonais.","""Tatoeba"" means ""zum Beispiel"" auf Japanisch. | Tatoeba heißt ""zum Beispiel"" auf Japanisch. | ""Tatoeba"" bedeutet auf Japanisch ""zum Beispiel"". | Tatoeba bedeutet im Japanischen ""zum Beispiel"".",タトゥアバ・バイペニア語は「לדוגמה」を意味する。,タトエバは日本語で「per esempio」を意味します。| タトエバは日本語で「per esempio」を意味します。,Tatoebaとは日本語で「例えば」という意味です。 | 「Tatoeba」とは、日本語で「例えば」という意味です。,"日语 ""Tatoeba"" 是例如的意思。","Tatoeba oznacza ""na przykład"" po japońsku.","Tatoeba oznacza ""por example"" w języku japońskim."
152581,528455,She woke up.,ඇය අවදි වුනා. ඇය අවදි වුනා.,അവള് ഉണര് ന്നു.,ඇය අවදි වුනා.,Si svegliò. | Si è svegliata.,ඇය 目ざめた.,She wakes up. | She wakes up. | She wakes up.,Obudziła się.,Ela acordou.
152677,529830,Don't tell anyone this.,Ne dis cela à personne! | Ne dites cela à personne. | N'en fais part à personne.,Erzähl es keinem! | Sage niemandem etwas davon!,"不要把这事告诉任何人,不要把这事告诉任何人,不要和任何人分享。",Neříkejte to nikomu. | Neříkejte to nikomu. | Neříkejte to nikomu. | Neříkejte to nikomu.,| This thing no one even saysでね.,කාටවත් මේක කියන්න එපා.,Nikomu o tym nie mów.,Não diga a ninguém.
152752,530595,He ordered a beer.,Il a commandé une bière.,Er bestellte ein Bier.,అతనుבירהזמין.,例如:Ha ordinato una birra. | Lui ha ordinato una birra. | Ordinò una birra. | Lui ordinò una birra.,He ordered a beer. | He ordered a beer.,他点了一杯啤酒。,Na zamówił piwo.,Ele pediu uma cerveja.
152938,533100,Where is the most beautiful place in the world?,Où se trouve l'endroit le plus beau au monde?,Wo ist der schönste Ort der Welt?,Kde je nejhezčí místo na světě?,Dov'è il posto più bello del mondo?,Where is the most beautiful place in the world?,Kde je nejkrásnější místo na světě?,Kde je nejkrásnější místo na světě?,කොහේද fica o lugar mais bonito do mundo?
153004,533746,How's your mother?,Comment va votre mère? | Comment va ta mère? | Comment va votre mère?,Wie geht es Ihrer Mutter? | Wie geht es eurer Mutter? | Wie geht es deiner Mutter?,What's your name? | What's your name?,चलो अपने माँ? चलो अपने माँ? चलो अपने माँ?,| お母様はお元気ですか? | お母さんは、お元気?,ඔයාගෙ අම්මට කොහොමද?,Jak się miewa wasza matka? | Jak się miewa Twoja mama?,Kaip vai a sua mãe? | Kaip está a sua mãe?
153176,535419,Do you have a cellphone?,As-tu un natel? | Avez-vous un natel? | As-tu un portable? | Avez-vous un portable? | As-tu un GSM? | Avez-vous un GSM? | As-tu un téléphone mobile? | Avez-vous un téléphone mobile? | Disposes-tu d'un téléphone portable? | Disposez-vous d'un téléphone portable? | T'as un portable?,Hast du ein Handy? | Hast du ein Handy? | Hast du ein Natel? | Hast du ein Natel? | Hast du ein Mobiltelefon?,יש לך פלאפון? | יש לך טלפון נייד? | יש לך פלאפון?,Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil?,携帯電話を持っていますか? | 携帯持ってる?,あなたは携帯電話を持っていますか? | あなたは携帯電話を持っていますか?,Czy masz komórkę? | Masz telefon komórkowy?,You tem um celular? | You tem celular?
153309,538123,Hi.,Salut! | Salut.,Hallo! | Grüß Gott! | Servus. | Grüezi. | Huhu!,שלום. | היי. | אהלן.,こんにちは! | Ciao.,やっほー. | こんにちは! | やあ. | こんにちは. | どうも. | もしもし.,こんにちは。 | こんにちは。,Cześć.,Oi.
153344,539017,He likes fishing.,Il aime pêcher.,Er angelt gern.,അവന് לדוג ഇഷ്ടപ്പെടുന്നു.,Gli piace pescare. | A lui piace pescare.,He likes fishing.,他喜欢钓鱼魚。,Na lubi łowić ryby.,Ele gosta de pescar.
153938,551318,Why did you lie?,Why as-tu menti? | Why as-tu menti?,Proč máš du gelogena?,| なぜ嘘をつくのか?,Proč jsi lhal? Proč jsi lhal? Proč jsi lhal?,なぜ嘘をついたの? | なぜ嘘などついたの? | なぜ嘘をついたの? | なぜ嘘をついたの?,ඇයි ඔයා බොරු කියන්නේ?,ហេតុ អ្វី បាន ជា អ្នក ខុស?,Por que mentiu?
153943,551443,No problem.,Není problém. | Žádný problém. | Není nic. | Bez problému. | Nic. | Žádný problém! | Není to vážné.,Žádný problém. | Žádné problémy. | Žádné příčiny.,సమస్య లేదు.,Žádný problém. | Žádný problém.,問題なし. | 問題ないよ. | 問題ないです。,没关系. | 没问题. | 没事. | 没事. | 没关系!,Nie ma problemu. | Nie ma sprawy. | Żaden problem.,Sem problema. | Problema nenhum. | Não há problema.
154720,566026,Time is money.,"Le temps, c'est de l'argent. | Le temps, c'est de l'argent.",Zeit ist Geld.,സമയം הוא כסף.,Il tempo è denaro.,金なり.,时间就是金钱。,Czas do pieniądz.,Tempo é dinheiro.
154778,567368,I'm a student.,Ich bin Student. | Ich bin Student.,Ich bin Student. | Ich bin Schüler. | Ich bin Schülerin. | Ich bin Studentin.,私は学生。| 私は学生ית.,Já jsem studentka. Já jsem studentka. Já jsem studentka. Já jsem studentka. Já jsem studentka.,私は学生です。 | 私は大学生です。 | 学生です。,| 我是学生。,Jestem studentem. | Jestem studentką.,Já jsem student. | Já jsem student.
155238,576084,I hate Mondays.,Je déteste les lundis.,Ich hasse Montage. | Ich hasse den Montag. | Ich kann Montage nicht ausstehen.,මම שונא את ימי שני. | මම שונאת את ימי שני. | මම שונא ימי שני.,Odio il lunedì. | Io odio il lunedì.,I hate Monday. | 月曜って、大っ嫌い。 | 月曜なんか、大っ嫌い。,我讨厌星期一。,Nienawidzę poniedziałków.,Eu odeio as segundas.
155418,580774,I'm a man.,Je suis un homme.,Ich bin ein Mann.,මම גבר.,Sono un uomo. | Io sono un uomo.,මම මිනිහා.,මම是个 මිනිහෙක්.,Jestem mężczyzną.,Eu sou homem. | Sou um homem.
155444,582309,I need help.,මට උදව් අවශ් යයි.,എനിക്ക് സഹായം വേണം.,Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc!,Ho bisogno di aiuto.,助けてください。 | 私には助けが必要です。,මට උදව් කරන්න ඕනේ.,මට උදව් අවශ් යයි.,හරියටම උදව් කරන්න.
156353,607840,Go to hell!,Va en en enfer! | Allez en en enfer! | Va crever! | Va au diable!,ఫెయిర్ Zur Hölle!,උබට විකාරයක්! උබට විකාරයක්! උබට විකාරයක්!,Va' all'inferno! | Va' al diavolo!,මැරෙන්න!,නුබලා නුබලා නුබලාගේ පල්ලෙහාට යන්න!,Idź do diabła!,Va para o inferno!
156468,611372,We want complete sentences.,Nous voulons des phrases complètes.,Wir wollen vollständige Sätze.,ہم مکمل משפטوں چاہتے ہیں.,Vogliamo frasi complete. | Vogliamo delle frasi complete. | Noi vogliamo frasi complete. | Noi vogliamo delle frasi complete.,We are fullyな文を求めています.,我们想要完整的句子。,Chcemy pełnych zdań.,Chcem frases completas.
156481,611769,You don't need to call me.,你不是我的电话员。,Du musst mich nicht anrufen. | Du musst mich nicht anrufen.,| You do not have to call me | You do not have to call me.,"你不能叫我,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你。",You don't have to call me.,You don't have to call me.,Nie musisz నాకు dzwonić చేయండి.,"""Two não precisas me ligar."" ""Two não precisas me ligar."" ""Two não precisas me ligar."""
156708,619636,Do you come here often?,Tu viens souvent ici? | Venez-vous souvent ici? | Viens-tu souvent ici? | Vous êtes souvent ici?,ඔයා නිතරම මෙහෙට එනවද?,Do you come here often? | Do you come here often? | Do you come here often?,Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft?,よく来るの? | ここにはよく来るの? | ここにはよく来られるの? | ここにはよくいるの?,你常来吗? | 你经常来这儿吗?,නිතරම එනවද?,Sie kommen hier oft? | Sie kommen ziemlich hier? | Sie kommen immer hier?
157323,628213,Correct!,C'est vrai! | C'est ça!,Richtig! | Richtig. | Correct!,හරි!,È vero! | Corretto! | Giusto!,正解! | その通り! | 当たり!,| 対了!,ٹھیک ہے!,Correto!
157327,628230,We agree.,අපි එකඟයි.,Wir stimmen zu. | Wir sind einverstanden.,संधि. | हम מסכימים. | מסכימים.,| Noi siamo d'accordo. | Noi siamo d'accordo.,I agree with you.,我们同意。,අපි එකඟ වෙනවා.,Concordamos. | Nós concordamos.
157419,630620,This novel is boring.,Ce roman est ennuyeux.,Dieser Roman ist langweilig.,הרומן הזה משעמם.,ഈ റോമന് റ്യൂമെന് റ് നല്ല രസകരമാണ്.,This novel is boring. | This novel isつまらない.,It's a novel without a story.,Ta powieść jest nudna.,Este romance é enfadonho.
157445,631038,Jump.,サウテス | Saute.,స్ప్రింగ్.,קפוץ.,सल्टा. | सल्टी. | सल्टे.,跳ねて! | ジャンプして! | 跳べ! | 跳んで.,跳.,സ്കോക്ക്.,Pulem. | Pule. | Pulam.
157606,634028,Do you speak Turkish?,Tu parles turc? | Parlez-vous le turc?,Sprechen Sie Türkisch? | Sprichst du Türkisch? | Sprechen Sie Türkisch?,ඔයා කතා කරනවද? ඔයා කතා කරනවද?,Parli il turco? | Tu parli il turco? | Parla il turco? | Lei parla il turco? | Parlate il turco? | Voi parlate il turco?,トルコ語を話しますか.,په جرمني کې د ښوونځيو سيستم,Czy umiesz mówić po turecku?,Yous falam turco? | You fala turco?
157795,638544,Where is the train station?,Où est la gare? | Où se trouve la gare? | Où se trouve la gare?,Wo ist der Bahnhof?,ട്രെയിന് സ്റ്റേഷന് എവിടെ?,Dov'è la stazione? | Dov'è la stazione dei treni? | Dov'è la stazione ferroviaria? | Dove si trova la stazione ferroviaria?,駅はどこありますか. | 駅はどこありますか.,火车站在哪里?,Gdzie jest dworzec kolejowy?,Onde é a estação? | Onde fica a estação?
158135,647456,Bye!,ආයුබෝවන්!,Leb wohl! | Tschüss! | Tschau!,| להתראות!,Ciao! | Arrivederci. | Arrivederci!,さようなら! | さようなら。 | さよなら! | あばよ。,再见! | 拜拜拜! | 再見!,പപ്പാ! | Na razie! | Do widzenia!,චූ! Adeusinho!
158594,661572,Today is Saturday.,"Dnes je sobota. | On est samedi. | Dnes, je sobota.",Heute ist Samstag. | Heute ist Sonnabend.,பகலில் ஒரு நாள். | பகலில் ஒரு நாள்.,Oggi è sabato.,今日は土曜日です。,今天是星期六。,Dnes jest sobota.,Hoje é sábado.
159294,672229,He ran.,Il courait.,Er rannte. | Er lief.,அவர் சரணடைந்தார். | அவர் பרח.,కోర్స్.,He ran. | 彼は走った.,එයා පැනලා ගියා.,On pobiegł.,| Ele corria.
159301,672252,You run.,Tu cours.,デュ・ルフスト (Du läufst) | Sie laufen.,ඔයා දුවනවා.,Corri. | Correte. | Corra.,君が走れ. | 君が走れ.,ඔයා දුවන්න.,ഉരുഷൊമിച്ചി.,コーラ | コーラ。
159302,672254,He runs.,കോടതി.,Er rennt. | Er läuft.,అతనుרץ.,| Lui corre.,ඔහු ඇවිදිනවා.,එයා දුවනවා.,biega මත.,Ele corre.
159304,672264,She runs.,എല്ല കോടതി.,Sie rennt.,ඇය רצה.,| Lei Corre.,she's running.,ඇය දුවනවා.,Biegnie.,එලා කෝර්.
163060,693617,Idiot!,Idiot! | Idiotie! | Idiote! | Pauvre imbécile! | Espèce d'imbécile! | Espèce d'idiot! | Crétin! | Pauvre con! | Imbécile! | Espèce d'idiote! | Espèce de bourricot!,Idiot! | Dummkopf!,| | | | | | | | |,මෝඩයා!,バカ!,මෝඩයා!,මෝඩයා!,വിഡ്ഢി!
163441,699465,I'm 18 years old.,J'ai dix-huit ans.,Ich bin achtzehn Jahre alt. | Ich bin 18. | Ich bin achtzehn Jahre. | Ich bin 18 Jahre alt.,இவருக்கு 18 வயது.,Ho diciotto anni. | Ho 18 anni. | Io ho 18 anni. | Io ho diciotto anni.,I am 18 years old. | I am 18 years old.,我十八岁。,Mam 18 lat.,මට අවුරුදු 18යි.
163557,702472,Colorless green ideas sleep furiously.,Les idées vertes incolores dorment furieusement. | Les idées vertes incolores dorment intensely.,Farblose grüne Ideen schlafen wütend.,പച്ച ആശയങ്ങള് Without צבע ישנים בזעם.,Verdi idea incolori dormono furiosamente furiosamente.,The concept of 無色の緑の激しく眠る.,無色緑的念怒地沉睡著. | 無色緑意念怒地沉睡著.,Bezbarwne zielone idee wściekle śpią.,Ideias verdes incolores dormem furiosamente.
163670,703304,We're neighbors.,අපි අසල්වැසියෝ.,Wir sind Nachbarn.,ہمכנים.,Siamo vicini.,私たちは隣同士です。,We are neighbours.,අපි අසල්වැසියෝ.,Somos vizinhos. | Nós somos vizinhos.
163907,706874,Happy Mother's Day!,Bonne fête des mères! | Bonne fête mère!,Alles Gute zum Muttertag! | Schönen Muttertag!,幸せな日! | 幸せな日!,Buona festa della mamma!,お母さん、いつもありがとう!,母節快乐! | 母节快乐!,ശുഭദിനം മാട്ടി!,Feliz dia das mães! | Feliz Dia das Mães!
164129,707526,Count to thirty.,ట్రెంట్ వరకు కప్ట్.,பாலின விகிதம் (கி.மு.மு.மு.,"மூன்றாம் நூற்றாண்டின் இறுதியில், முதன்முதலில் முதன்முதலில் கிறித்தவ சமயம், முதன்முதலில் கிறித்தவ சமயம், முதன்முதலில் கிறித்தவ சமயம் என அழைக்கப்பட்டது.",Conta fino a trenta. | Contate fino a trenta. | Conti fino a trenta.,30数えて.,数 bis 30.,Policz do třidziestu.,Conte até trinta.
165980,740214,I am a woman.,Je suis une femme.,Ich bin eine Frau.,Jsem žena. | Já אשה.,Sono una donna. | Io sono una donna.,私は女だ. | 私は女性です.,මම කාන්තාව.,Jestem kobieta.,Sou uma mulher. | Sou mulher. | Eu sou uma mulher.
167003,757414,I'm listening to music.,Je suis en train d'écouter de la musique. | J'écoute de la musique.,Ich höre Musik. | Ich höre gerade Musik.,මම מאזין למוזיקה.,Já poslouchám hudbu. | Já poslouchám hudbu. | Já poslouchám hudbu. | Já poslouchám hudbu. | Já poslouchám hudbu.,I'm listening to music. | 音楽を聞いてるんだよ.,我正在听音乐。,Słucham muzyki.,Estou ouvindo musica. | Estou a ouvir música.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.",На Tatoeba все языки равны.,Du darfst hier in jeder beliebigen Sprache schreiben. Auf Tatoeba sind alle Sprachen gleichwertig.,You can write in any language you want. | You can write in any language you want. | You can write in any language you want.,په هرې ژبې کې چې غواړئ ولیکئ. Su Tatoeba tutte le lingue sono uguali. | په هرې ژبې کې چې غواړئ ولیکئ. Su Tatoeba tutte le lingue sono uguali. | په هرې ژبې کې چې غواړئ ولیکئ. Su Tatoeba tutte le lingue sono uguali.,"Whatever language you speak, you can write into it.",You can write in any language you want.All languages are equal in Tatoeba. | You can write in any language you want.,Można pisać w dowolnym języku. W Tatoeba wszystkie języki są równe. | Możesz pisać w dowolnym języku. W Tatoeba wszystkie języki są równe.,تاسو کولی شئ په هغه ژبه کې ولیکئ چې غواړئ. نه ټټویبا، هر ډول ژبې ورته دي. | تاسو کولی شئ په هغه ژبه کې ولیکئ چې غواړئ. په ټټویبا کې، هر ډول ژبې ورته ارزښت لري.
168951,794758,I am not a witch.,Já ne suis pas une sorcière.,Ich bin keine Hexe.,| איני מכשפה.,Non sono una strega. | Io non sono una strega.,I'm not a witch. I'm not a witch. I'm not a witch.,I'm not a witch. | I'm not a witch.,Nie jestem czarownicą.,Não sou uma bruxa.
