,index,english,translated_from_finnish
146552,444986,I live here.,"」 「我在这里,我在这里,我在这里,我在这里,我在这里。"
146610,448320,Stop!,Lopeta! | Seis! | Pysähdy!
146659,448963,It's snowing.,සාටා මුදුව.
146671,449023,No one knows.,Kukaan ei tiedä.
146672,449029,Catch him.,එයාව අල්ලගන්නවා. එයාව අල්ලගන්නවා. එයාව අල්ලගන්නවා. එයාව අල්ලගන්නවා.
146687,449095,Do you drink coffee?,Juotko kavos? | Juotko sinä kavos? | Juotteko te kavos? | Juotteko kavos?
146688,449105,I eat here.,Syön aquí. | Syön tässä.
146692,449111,Your dog is here.,Koirasi on täällä.
146694,449118,This is your key.,Tai on your avaimesi. | Tää on sun avain.
146709,449699,What should I do?,මොනාද මම කරන්න ඕනේ?
146725,450074,Come if you can.,"Tule, jos voit. | Tule, jos pystyt."
146778,451212,She has few friends.,Hänellä on harvoja ystäviä.
147019,453219,Happy birthday!,සුභ උපන්දිනයක්!
147057,453394,Love is blind.,Rakkaus on sokea. | Rakkaus on sokeaa.
147078,453418,I ordered two hamburgers.,तिलसीन दो हाम्पुरीलासा
147352,454490,I don't know what to do.,En tiedä mitä tehdä.
147369,454514,"I think, therefore I am.","Ajattelen, siis olen."
147402,455290,What are you interested in?,Co tě to zajímá?
147586,456157,It was love at first sight.,Se oli rakkautta ensi silmäyksellä.
147623,456237,It's raining.,Sataa. | Sataa Wasser.
147677,456357,May I help you?,Kaip voin padėti?
147798,456627,Please speak more slowly.,Voisitko puhua hitaammin?
147840,456719,She is from France.,Он на kotoisin Francesta.
147894,457629,Hungry?,Onko nälkä?
147900,457741,I trust you.,ලූතන් සුනුන්.
147956,460021,My favorite color is red.,Punainen na minun lempivärini.
147971,460058,I lost my key.,Hukkasin avaimeni. | Hävitin avaimeni.
147996,460198,Crazy!,Hullu! | Hullua!
148175,461908,Where is your dog?,മീസ്സാ പട്ടിയുടെ കൂടെ?
148228,462430,Shut up!,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:
148248,462476,Stay there.,Pysy siellä. | Pysykää siellä. | Jää sin. | Jääkää sin.
148271,462526,That hurts.,ടൂ സാട്ടു.
148296,462578,"The bill, please.","Lasku, kiitos. | Saisinko laskun."
148342,462670,The customer is always right.,Kunden auf aina oikeassa.
148756,464282,Turn around.,Käänny ympäri.
148760,464290,Turn right.,Käänny oikealle.
148778,464330,Wash your hands.,Peskää kätenne.
148881,464546,What do you need?,ඔයාට මොනවද ඕනේ? ඔයාට මොනවද ඕනේ? ඔයාට මොනවද ඕනේ?
148890,464566,What does this mean?,Co to znamená?
149029,466624,What's your phone number?,په جرمني کې د بهرنيو اسنادو رسمي کول
149039,466728,Please wait five minutes.,Odota pět minut. | Odottakaa pět minut.
149057,467339,Iron is a useful metal.,Rauta auf hyödyllinen metalli.
149075,467672,Where is your father?,നിനക്കെന്താ പറ്റിയത്?
149123,469126,She's my sister.,Hän on minun siskoni.
149256,472091,I study Korean.,Minä opiskelen koreaa.
149275,472431,I was wrong.,Olin väärässä.
149288,473177,"Hi, how are you?","terve, mitä kuuluu?"
149538,477061,No.,Ei.
149541,477086,Yes.,Yes. | Jaa. | Joo.
149667,478255,He closed the door.,Hän sulki trouba.
149694,478568,I have no friends.,Minulla ei ole ystäviä.
149808,481593,Are they friends?,Ovatko అతను ystäviä?
149868,482303,Where is my book?,Missä minun kirjani న?
149949,483350,Guns don't kill people. People kill people.,Aseet eivät tapa ihmisiä. Ihmiset tappavat ihmisiä.
150041,484648,Drive safely.,अज़ावारोविस्टी. अज़ावारोविस्टी. अज़ावारोविस्टी. ओले किल्टी अज़ावारोविस्टी.
150094,485099,Thanks anyway.,Díky kuitenkin.
150159,486448,I must go now.,Musím jít teď. | Teď minun musí odejít. | Musím jít teď. | Musím jít teď. | Musím jít teď. | Musím odejít teď. | Musím odejít teď.
150190,487006,Cheers!,Kippis! | Kiitos! | Kiitti! | Hölkynkölkyn!
150242,487828,Swimming is easy.,ഐസിയയിലെ യൂയിമൈൻ.
150457,493028,Do you know the answer?,നിനക്കറിയാമോ നിന് റെ മറുപടി?
150558,495717,I'm a journalist.,Já olen novinář.
150562,495838,Please close the door.,"Sulkisitko oven, kiitos. | Laittaisitko oven kiinni. | Voisitko sulkea oven? | Sulje ovi, kiitos."
150727,497969,See you tomorrow.,明日は明日。
150811,499689,Good afternoon.,සුභ දවසක්.
150828,499998,I'm just looking.,Minä vain katselen.
151264,506446,Don't worry.,(நபியே!) நீர் பார்த்தீரா? நீர் பார்த்தீரா? நீர் பார்த்தீரா? நீர் பார்த்தீரா? நீர் பார்த்தீரா? நீர் பார்த்தீரா? நீர் பார்த்தீரா? நீர் பார்த்தீரா?
151303,506948,Do you smoke?,Tupakoitteko? | Poltatko? | Poltatteko? | Poltatko sinä?
151505,508844,The dog is dead.,Koira na kuollut.
151757,513527,Tom was fired.,"汤姆被解雇了,汤姆被解雇了,汤姆被解雇了,汤姆被解雇了,汤姆被解雇了。"
151760,513534,He raised his hands.,Hän nosti kätensä.
151849,515472,That's life.,Se on elämää.
151862,515572,Are you Japanese?,あなたは日本人ですか? | あなたは日本人ですか? | あなたは日本人ですか?
151926,516321,Today is Monday.,ഇന്ന് തിങ്കളാഴ്ച.
151946,516601,He is poor.,Hän on köyhä.
151972,516745,Goodbye!,Hyvästi! | Näkemiin!
152040,518553,You may go.,Voit gehen. | Voit gehen. | Saat gehen.
152216,521667,It's a good question.,Se on hyvä kysymys.
152365,525267,"Tatoeba means ""for example"" in Japanese.",«Tatoeba» означает japaniksi «esimerkiksi».
152581,528455,She woke up.,Hän heräsi.
152677,529830,Don't tell anyone this.,මේ ගැන කියන්න එපා.
152752,530595,He ordered a beer.,| Hän tilasi oluen. | Hän tilasi kaljan.
152938,533100,Where is the most beautiful place in the world?,Wo ist der schönste Ort der Welt? | Wo ist der schönste Ort der Welt?
153004,533746,How's your mother?,ستاسو د مور څه شی دی؟
153176,535419,Do you have a cellphone?,നിനക്കെന്തെങ്കിലും അറിയാമോ?
153309,538123,Hi.,Hej. | Moro! | Terve.
153344,539017,He likes fishing.,Hän pitää kalastamisesta.
153938,551318,Why did you lie?,ඇයි ඔයා valehtelit?
153943,551443,No problem.,Eipä mitään.
154720,566026,Time is money.,Aika on rahaa.
154778,567368,I'm a student.,Minä olen opiskelija.
155238,576084,I hate Mondays.,തിങ്കളാഴ്ച കാണാം.
155418,580774,I'm a man.,Olen mies. | Minä olen mies.
155444,582309,I need help.,උදව් අවශ් යයි.
156353,607840,Go to hell!,Painu helvettiin! | Häivy! | Painu helvettii siitä!
156468,611372,We want complete sentences.,මට ඕනේ kokonaisia lauseita.
156481,611769,You don't need to call me.,Sinun ei tarvitse soittaa minulle.
156708,619636,Do you come here often?,Ar tu čia dažnai? | Ar tu čia dažnai?
157323,628213,Correct!,യോയിക്കൈൻ!
157327,628230,We agree.,हम एकमत हैं. हम एकमत हैं. हम एकमत हैं.
157419,630620,This novel is boring.,ഈ റോമാനാനി tylsä ပေါ်မှာ.
157445,631038,Jump.,Hyppää. | Hypätkää.
157606,634028,Do you speak Turkish?,Puhutko turkkia؟
157795,638544,Where is the train station?,Missä na vlakové stanici?
158135,647456,Bye!,නහään!
158594,661572,Today is Saturday.,ഇന്ന് ശനിയാഴ്ച.
159294,672229,He ran.,Hän juoksi.
159301,672252,You run.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: ஆண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகிதம்: பெண் விகி
159302,672254,He runs.,Hän laufene.
159304,672264,She runs.,Hän laufene.
163060,693617,Idiot!,വിഡ്ഢി!
163441,699465,I'm 18 years old.,Jsem 18 let starý. | Olen kahdeksantoista vuotta starý.
163557,702472,Colorless green ideas sleep furiously.,| | | | | | | | | | | | | | | | | | | | | | | | | |
163670,703304,We're neighbors.,Jsme naapureita. | Jsme naapureita. | Ollaan naapureita. | Jsme naapureita.
163907,706874,Happy Mother's Day!,සුභ උපන්දිනයක්!
164129,707526,Count to thirty.,இவற்றில் பெரும்பாலானவை விலங்குகளாகும். | | | | | | | | |
165980,740214,I am a woman.,Já olen nainen. | Olen nainen.
167003,757414,I'm listening to music.,Kuuntelen musika. | Mä kuuntelen musaa.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.",تاسو کولی شئ هر هغه ژبه چې غواړئ ولیکئ. Tatoebassa kaikki kielet ovat tasaveroisia. | تاسو کولی شئ هر هغه ژبه چې غواړئ ولیکئ. Tatoebassa kaikki kielet ovat tasa-arvoisia.
168951,794758,I am not a witch.,En ole noita.
171915,811376,He lives alone.,Hän asuu yksin.
172646,827295,I hate you.,Já nenávidím tebe. | Vihaan tebe. | Mä nenávian sua.
173753,847863,I'm always hungry.,Olen aina nälkäinen.
174179,854500,Get lost.,Häivy.
175014,870628,Please continue.,"Jatka, ole hyvä."
176212,881861,I don't have a cat.,Minulla ei ole kissaa.
176341,883062,Choose one.,valitse yksi.
177553,890415,Come!,| Tulka!
177627,891930,I want to die with Getter Jaani.,Tahdon kuolla Getter Jaanin kanssa.
178536,906328,Run!,Juokse! | Juoskaa!
179456,914029,What do you think?,මොනාද ඔයා හිතන්නේ?
180182,925077,It is too expensive.,Se on liian kallista. | Se on liian kallis. | Se maksaa příliš.
181016,943665,Hooray!,ඉක්මන් කරන්න!
181351,953107,Are you on Facebook?,Ar esate Facebookissa? | Ar esate Facebookissa? | Ar esate Facebookissa?
181446,953202,Do you like cooking?,നിനക്കെന്താ ഭക്ഷണം കഴിക്കണ്ടേ?
181468,953224,Do you think I'm stupid?,എന്നെ നിഷേധിക്കുന്നുണ്ടോ?
181530,953286,Have you eaten?,| あなたは食べたいですか? | あなたは食べたいですか?
181540,953296,Have you ever dyed your hair?,Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd? | Heb je ooit je haren ingehuurd?
181601,953358,How was your summer?,Millainen oli kesäsi?
181609,953366,I ate too much.,Söin بہت زیادہ.
184000,982239,Do you like strawberries?,د لمانځه کوئ؟ | لمانځه کوئ یا نه؟ | لمانځه کوئ یا نه؟ | لمانځه کوئ یا نه؟ | لمانځه کوئ یا نه؟
184037,983650,This is a horse.,මේක on hevonen.
184118,987485,"Champagne, please.","Shamppanjaa, kiitos."
184160,990384,Grammar is very complicated.,Kielioppi dėl tikrai monimutkaista. | Kielioppi dėl tikrai mutkikasta.
184235,993268,He died recently.,Hän kuoli hiljattain.
184422,997880,I don't drink coffee.,En juo kavos. | Minä en juo kavos.
186312,1024693,Tom isn't here.,Tom ei ole täällä. | Tom ei ole paikalla. | Tomi ei ole täällä.
187666,1026051,Tom doesn't like cats.,Tom ei pidä kissoista. | トム・イ・ハリ・キッソスタ.
188288,1026675,Tom closed his eyes.,Tom sulki silmänsä.
188621,1027009,Tom blushed.,ടോം punastui.
190239,1028631,Tom hugged Mary.,ടോമി ഹലാസി മരിയ.
193352,1064331,It wasn't my fault.,| Se ei olnud minun vika. | Se ei ollut minun syytäni.
193634,1071653,Eat your soup before it gets cold.,మీరు jäähtyy కంటే ముందు మీరు keittosi eat.
193744,1075501,May I put it here?,هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟ | هل يمكنني وضعها هنا؟
193745,1075502,We should always obey laws.,අපි හැමවෙලේම lakeja පිළිපදින්න ඕනා.
194256,1084522,I can't drink milk.,En voi juoda maitoa.
196963,1094582,Tom disappeared.,Tom katosi. | Tomi katosi. | Tomi hävisi.
199055,1098659,Read this.,| Lukekaa tämä. | Lukekaa tämä.
199703,1107280,The cat is black.,ముక్కు న కిస్సా.
200020,1110791,I'm afraid of heights.,Minulla on korkean paikan kammo. | Pelkään korkeita paikkoja.
200054,1111548,Hop in.,| Liity mukaan.
200881,1122514,I'm a woman.,Já olen nainen. | Olen nainen.
201009,1123763,Is she Japanese?,Je to japonec?
201363,1126684,Help me!,Auttakaa minua! | Auta minua!
203216,1151779,Today is Thursday.,ഇന്ന് വ്യാഴാഴ്ച.
203271,1152188,She is stubborn.,Hän on itsepäinen.
204054,1164341,Tom overslept.,ടോം nukkui pommiin.
206235,1194034,I'm not a doctor.,En ole doctorri. | En ole lääkäri. | Minä en ole lääkäri. | Minä en ole doctorri.
206742,1205289,Welcome to Tatoeba!,සාදරයෙන් පිළිගන්නවා Tatoebaan!
207737,1222816,Horses are animals.,Hevoset ovat eläimiä.
209573,1258802,Why did she do that?,ඇයි එයා එහෙම කලේ?
209642,1260118,He's in the kitchen.,Hän on keittiössä.
210112,1276135,This bird can't fly.,Tohle nemůžeš půjčit. | Tohle nemůže půjčit. | Tohle nemůže půjčit.
210140,1276904,I have already finished reading this book.,Olen jo lukenut tämän kirjan loppuun.
210311,1283955,That's a lie!,අනේ පස්සට වෙන්න!
210362,1285500,The apple doesn't fall far from the tree.,Ei omena kauas puusta putoa.
210564,1292208,Don't wait.,ඔටෝටා.
210887,1299275,Oh no!,Voi ei!
210992,1300736,Follow that car.,Seuraa tuota autoa. | Seuratkaa tuota autoa.
211002,1300804,I was at home.,Byl doma. | Já olin doma.
211013,1300904,"She has about 2,000 books.",Hänellä auf etwa 2 000 kirjaa.
211377,1308427,Is it far?,Onko se kaukana?
212376,1327057,Seriously?,Oikeesti? | Corresti?
212604,1331062,I like horses.,Já pidän Horseista. | Já pidän Horseista.
213429,1342184,Disgusting!,യൂക്യൂട്ട് വാവ!
213650,1343997,Why do you love me?,ඇයි ඔයා මට ආදරේ කරන්නේ?
214904,1359933,As you wish.,Kuten haluatte. | Kuten haluat.
215478,1369314,I have just finished eating.,Olen juuri syönyt loppuun. | Olen juuri lopettanut syömisen.
215598,1370839,I want to eat ice cream.,Já chci jíst jäätelöä.
215735,1383444,He's a DJ.,Hän on DJ. | Hän on tiskijukka.
215944,1387288,What are you waiting for?,Ką tu tiki? | Ką tu tiki?
216431,1394814,Hold the ball with both hands.,Pitele palloa molemmilla käsillä.
216537,1396177,I'm afraid of dogs.,Pelkään koiria.
216548,1396235,She wants to know who sent the flowers.,"Chce vědět, kdo je to kdo."
216560,1396333,It's already eleven.,Kello na Jo yksitoista.
216601,1396428,You look just like your older brother.,පේන විදියට ඒක හරියටම හරි නෑ.
216827,1399479,Burj Khalifa is currently the tallest skyscraper in the world.,Burj Khalifa na tällä hetkellä world korkein pilvenpiirtäjä.
217712,1417464,Are you coming?,ඔයා එනවද? ඔයා එනවද? ඔයා එනවද? ඔයා එනවද? ඔයා එනවද?
218072,1423299,"In Japan, the new school year begins in April.",Japanissa نوي lukuvuosi پيل Aprilssa.
218529,1435651,It rained.,Satoi. | Satoi vettä.
219095,1442219,She disappeared.,Hän katosi.
219405,1446280,He also speaks French.,Hän auch puhuu ranskaa.
219409,1446444,Something happened.,Jotain tapahtui. | Jotakin tapahtui.
220201,1458036,Today is Wednesday.,ഇന്ന് ബുധനാഴ്ച.
221956,1486456,Be patient.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்.
222335,1488808,Tom was crying.,Tom itki. | Tomi oli itkemässä. | Tomi huusi. | Tomi oli huutamassa.
223223,1495917,Eat slowly.,Syö hitaasti. | Syökää hitaasti.
225703,1531064,Tom nodded.,ടോം നിയോക്ഖൈ.
227491,1553393,Step back.,In: Anna tilaa.
227624,1553532,Call me.,Soita minulle.
227821,1556167,We know.,| Me tiedetään.
231006,1627336,Welcome back.,සාදරයෙන් පිළිගන්නවා නැවත.
233097,1660856,Tom is taking a shower.,ടോമി ജൂപ്പസ്സയില്.
236777,1722133,Relax.,太田 rennosti. | Rentoudu.
237610,1730009,Call home!,Soita kotiin!
237953,1738962,Stop reading.,Lopeta lukeminenová.
242693,1802121,Speak!,Puhu! | Puhukaa!
242828,1804273,Look!,Katso! | Katsokaa!
243443,1815066,Keep reading.,Jatka lukemista. | Jatkakaa lukemista!
245105,1830623,Horses eat grass.,Hevoset syövät ruohoa. | Hevoset syövät heinää.
245942,1841177,Hurry home.,കിറൂഹ്ദ ഹോംസ്.
245945,1841180,Release him.,එයාව නිදහස් කරන්න. එයාව නිදහස් කරන්න. එයාව නිදහස් කරන්න. එයාව නිදහස් කරන්න.
245953,1841188,Wait here.,Odota tady. | Odota tady. | Odottakaa tady. | Odottakaa tady. | Odottakaa tady.
246160,1841588,See you later.,പിന്നെ കാണാം.
247598,1860499,Don't die.,Älkää kuolko.
248927,1868480,Ignore Tom.,♪ ♪ ♪
249534,1876041,Thank you.,Tänks. | Kiitos.
250870,1886145,Did you kill Tom?,Tapoitko Tomin? | Tapoitko sinä Tomin?
252009,1887384,I have to go.,Musím jít. | Musím jít. | Musím jít. | Musím jít. | Musím jít. | Musím jít. | Musím jít teď.
253023,1891110,I'm ready.,Olen valmis. | Mä oon valmis.
253352,1893706,We understand.,Rozumiemy. | Rozumiemy.
255544,1913083,How beautiful!,Kaip kaunista! | Kaip kaunista! | Onpa kaunista!
255547,1913086,How lovely!,Jak úžasné! | Jak úžasné! | Niin úžasné! | Onpa úžasné! | Onpas úžasné!
255548,1913087,Keep it.,pidä se.
255550,1913089,Take it.,ඔටා සෙ.
255553,1913092,How strange!,Kaip outoa! | Miten omituista! | Onpa kummallista! | Onpa omituista! | Onpa outoa!
255648,1916313,Call us.,Soita meille.
255649,1916314,Be nice.,Ole kiltisti.
255980,1924560,I'm old.,Má oon vanha. | Olen vanha. | Minä olen vanha.
258643,1954263,Ask Tom.,Pytanie Tomilta. | Pytanie Tomilta.
258645,1954265,Be still.,Ole aloillasi. | Olkaa aloillanne.
260956,1972633,Get Tom.,ハケカ・トムミ | ハエ・トムミ。
260962,1972639,Grab Tom.,Напаа Туомо. | Напаткаа Туомо. | Тарту Туомон. | Тартука Туомон.
260972,1972649,Show me.,මට පෙන්නන්න.
262588,2005179,Tom lied.,ടോം വാലതിലി.
262589,2005180,Tom lost.,Tomi hävisi. | Tom hävisi.
262590,2005181,Tom moved.,Tomi muutti. | Tom liikkui. | Tomi liikkui. | Tomi transitioni.
262592,2005183,Tom quit.,Tomi lopetti. | Tomi luovutti.
262593,2005184,Tom smiled.,ടോം ഹിമിലി.
262594,2005185,Tom waved.,ടോമി ഹലോട്ടി കേറ്റ.
262595,2005186,Tom yawned.,ടോമി ഹൊകോട്ടീ.
262596,2005187,Who died?,Kuka kuoli? | Ketkä kuolivat?
262597,2005188,Tom died.,Tom kuoli. | Tomi kuoli.
262599,2005190,Who won?,Kuka voitti? | Ketkä voittivat?
262600,2005191,Tom won.,ടോം വോട്ടി.
262601,2005192,I won!,Mä voitin!
263575,2007928,Let's start.,Aloitetaan!
272344,2057650,Thanks.,Díky. | Kiitoksia. | Kiitokset. | Kiitti. | Tänks.
273911,2079905,Mars has two moons.,Marsilla na dvou kuuta.
274083,2083030,Who?,කුකා?
275599,2107594,Tom's sick.,Tom na nemoci.
275672,2107667,We overslept.,Já nukuimme příliš myöhään. | Nukuimme příliš dlouho. | Nukuimme pommiin.
275762,2111159,Tom laughed.,ടോം നൌരോയി.
275773,2111170,Tom graduated.,Tomi valmistui. | Tomi sai tutkinnon.
275796,2111193,Tom clapped.,ടോം ടപ്പട്ടി.
275966,2111364,They refused.,అతను kieltäytyivät.
275969,2111367,They lied.,Он valehtelivat.
276076,2111475,Tell Tom.,Керro Tomille.
276084,2111483,Take mine.,ഓതാ മൻ.
276098,2111497,Stop lying.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்
276208,2111608,Look closely.,Katso tarkkaan.
276325,2111725,I'm home.,"Kotona ollaan! | Hej, tulin kotiin! | Olen kotona. | Minä olen kotona."
276394,2111796,I see.,Já näen. | Näen. | Ymmärrän. | Já ymmärrän.
276430,2111832,Get dressed.,Pue päällesi.
278550,2163151,The book is on the table.,எழுத்தறிவு பெற்றவர்கள்: எழுத்தறிவு பெற்றவர்கள்: எழுத்தறிவு பெற்றவர்கள்: எழுத்தறிவு பெற்றவர்கள்
281462,2203346,I'm shy.,"ओलिन युजोCity name (optional, probably does not need a translation)"
281721,2203607,Who came?,කුකා ටුලි?
284852,2233709,This is mine.,ഇത് എന് റെ പണിയാണ്.
289331,2244966,Are you sleeping?,| | | | | | | | | | | | | | | | |
290072,2245875,I have cancer.,Mám tu rakovinu.
290098,2245901,I have time.,Mám čas.
290250,2246291,We surrender.,Antaudumme.
290587,2247573,I will go.,Minä menen.
295187,2258234,Good morning.,සුභ huomenta.
309577,2346862,This is my computer.,Это на компьютерeni.
320300,2412739,I have two cats.,Mám dvě kissaa.
321617,2439040,I don't want to work under these conditions.,මට මේ වගේ දේවල් කරන්න ඕනේ නෑ.
326155,2499505,Where is the hotel?,Missä na hotelu?
344918,2635485,I have a red bicycle.,Minulla on punainen polkupyörä. | Minulla on punainen pyörä
355479,2654806,Do you have a dictionary?,നിനക്കെന്തെങ്കിലും രേഖകളുണ്ടോ?
383445,2900859,Cats are smart.,Kissat ovat älykkäitä. | Kissat ovat fiksuja.
470851,3663249,There are islands in the sea.,Meressä na saarii.
490066,3738521,Are they brothers?,ഇവന് വെല് ജെറ്റ്സാന ആണോ?
500071,3825001,I don't want to eat.,Já en halua jíst.
501589,3826551,Where are we?,Missä నాకు olemme?
545600,4373509,Probably.,Luultavasti. | Todennäköisesti. | Varmaan.
563303,4606511,Where?,මිසා?
604326,5308161,Turtles don't have teeth.,කිලිපොනිල්ලා ඒයි ඕල් තොපිතා.
