,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
150727,497969,See you tomorrow.,」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」,直到明天! | Wir sehen uns morgen. | Wir werden uns morgen sehen. | Wir sehen uns dann morgen!,明日は見よう | 明日は見よう。,നാളെ.,I'll see you tomorrow. | また明日. | それじゃまた明日.,明日见. | 明日见!,Do jutra. | Do zobaczenia jutro.
150811,499689,Good afternoon.,Bonjour. | Bonjour! | Bon après-midi.,Guten ట్యాగ్!,אחר צהריים טוב.,සුභ සන්ධ් යාවක්.,今日は。 | こんにちは。,සුභ සන්ධ් යාවක්.,ഡോബ്രി ദിനം.
150828,499998,I'm just looking.,Je regarde juste. | Je ne fais que regarder.,Ich schaue nur. | Ich sehe mich nur um. | Ich schaue mich nur um um.,میں صرف دیکھ رہا ہوں.,Sto solo guardando. | Sto solo dando un'occhiata.,I'm just looking.I'm just looking.I'm just looking.I'm just looking.,我只是想看看。,صرف دیکھ رہا ہوں.
151264,506446,Don't worry.,Ne t'inquiète pas. | T'inquiète pas. | T'inquiète. | Ne t'en fais pas. | Ne vous en faites pas. | Ne vous inquiétez pas. | T'inquiète. | Ne t'inquiète pas.,Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti. Nedělej si starosti!,"குறிப்பாக:,,,,,,,,,,,,,,,,,,,,,,,,.",别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。 别担心。,心配しないで。 | 心配するな。 | 心配しなくていいよ。 | 気にすんなって。 | 心配しないで! | 心配しないでください。 | 心配すんな。 | ご心配なく。,"别担心,别担心,别担心,别担心,你不要着急。",Nie martw się.
151303,506948,Do you smoke?,Fumez-vous? | Fumes-tu? | Tu fumes? | Est-ce que tu fumes? | Est-ce que vous fumez?,"""Raucht ihr?"" ""Rauchst du?""",ඔයා දුම් බොනවද? | ඔයා දුම් බොනවද? | ඔයා දුම් බොනවද?,Fumi? | Lei fuma? | Tu fumi? | Fuma? | Fumate? | Voi fumate?,吸いますか. | たばこは吸いますか. | あなたはタバコをすいますか?,你吸烟吗? | 你吸烟吗? | 你抽不抽烟? | 你吸烟吗?,പാലിസ്?
151505,508844,The dog is dead.,Le chien est mort.,Der Hund ist tot.,הכלב מת.,Il cane è morto.,The dog is dead.,这条狗死了。,Pies jest martwy.
151757,513527,Tom was fired.,Tom a été mis à la porte. | Thomas a été licencié. | Tom a été viré.,Tom wurde gefeuert. | Tom wurde entlassen.,ටොම් පූටර්.,Tom è stato licenziato. | Tom fu licenziato.,He became a lion.,Tom was fired.,Tom byl propuštěn.
151760,513534,He raised his hands.,Il leva les mains.,Er hob die Hände.,అతను הרים את ידיו.,Ha alzato le mani. | Lui ha alzato le mani. | Alzò le mani. | Lui alzò le mani.,彼は両手をあげた. | 彼は手を挙げた.,他举起他的手。,Na podniósł swoje ręce.
151849,515472,That's life.,C'est la vie.,So ist das Leben.,To jsou životy. | To jsou životy. | To jsou životy.,Tak to je život. | To je život.,人生とはそんなものさ. | それは人生さ.,それは生活。 | 人生就是如此。,Takie jest życie.
151862,515572,Are you Japanese?,Êtes-vous japonais? | Êtes-vous japonais? | Es-tu japonais? | Es-tu japonaise?,Jste Japonci? | Byli jste Japonci? | Bist du Japanci? | Bist du Japanci? | Jste Japonci?,You are Japanese? | Are you יפני?,Siete giapponesi? | Sei giapponese? | È giapponese? | Tu sei giapponese? | Lei è giapponese? | Voi siete giapponesi?,| 日本の方? | あなたは日本人ですか。,あなたは日本人ですか? | あなたは日本人ですか?,Czy jesteś Japończykiem?
151926,516321,Today is Monday.,"Dnes'hui, on est lundi.",Heute ist Montag.,రోజురెరోజు.,Oggi è lunedì.,It's Monday. | It's Monday. | It's Monday.,Today is Monday. | 今兒週一.,Dzisiaj jest poniedziałek. | Dzisiaj jest poniedziałek.
151946,516601,He is poor.,Il est pauvre.,Er ist arm.,वह गरीब है।,| イエス・ポヴェロ。,ඔහු දුප්පත්.,他很穷。,വിഡ്ഢിത്തം.
151972,516745,Goodbye!,Au revoir! | À la revoyure. | Adieu! | Ciao.,Tschüss! | Tschau! | Auf Wiedersehen!,こんにちは。 | こんにちはとראות。,വരൂ. | Ciao! | Arrivederci!,さようなら! | さようなら. | さよなら!,再见! | 告辞!,widzenia చేయండి!
152040,518553,You may go.,Můžeš odejít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít. | Můžeš jít.,तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो. | तुम जा सकते हो.,"Můžeš chodit, můžeš chodit, můžeš chodit, můžeš chodit svobodně.",നിനക്ക് പോകാം.,| 行ってもよろしい。,You can go. | You can go.,Możesz iść.
152216,521667,It's a good question.,Dobrou otázku. | C'est une bonne question.,Das ist eine gute Frage.,अच्छा प्रश्न. | זו प्रश्न अच्छा.,È una buona domanda.,良い質問だ. | 良い質問です.,It's a good problem.,మంచి ప్రశ్నకు.
152365,525267,"Tatoeba means ""for example"" in Japanese.","「タトエバ」は日本語で「par example」を意味する。 | Tatoeba veut dire ""par example"" en japonais.","""Tatoeba"" means ""zum Beispiel"" auf Japanisch. | Tatoeba heißt ""zum Beispiel"" auf Japanisch. | ""Tatoeba"" bedeutet auf Japanisch ""zum Beispiel"". | Tatoeba bedeutet im Japanischen ""zum Beispiel"".",タトゥアバ・バイペニア語は「לדוגמה」を意味する。,タトエバは日本語で「per esempio」を意味します。| タトエバは日本語で「per esempio」を意味します。,Tatoebaとは日本語で「例えば」という意味です。 | 「Tatoeba」とは、日本語で「例えば」という意味です。,"日语 ""Tatoeba"" 是例如的意思。","Tatoeba oznacza ""na przykład"" po japońsku."
152581,528455,She woke up.,ඇය අවදි වුනා. ඇය අවදි වුනා.,അവള് ഉണര് ന്നു.,ඇය අවදි වුනා.,Si svegliò. | Si è svegliata.,ඇය 目ざめた.,She wakes up. | She wakes up. | She wakes up.,Obudziła się.
152677,529830,Don't tell anyone this.,Ne dis cela à personne! | Ne dites cela à personne. | N'en fais part à personne.,Erzähl es keinem! | Sage niemandem etwas davon!,"不要把这事告诉任何人,不要把这事告诉任何人,不要和任何人分享。",Neříkejte to nikomu. | Neříkejte to nikomu. | Neříkejte to nikomu. | Neříkejte to nikomu.,| This thing no one even saysでね.,කාටවත් මේක කියන්න එපා.,Nikomu o tym nie mów.
152752,530595,He ordered a beer.,Il a commandé une bière.,Er bestellte ein Bier.,అతనుבירהזמין.,例如:Ha ordinato una birra. | Lui ha ordinato una birra. | Ordinò una birra. | Lui ordinò una birra.,He ordered a beer. | He ordered a beer.,他点了一杯啤酒。,Na zamówił piwo.
152938,533100,Where is the most beautiful place in the world?,Où se trouve l'endroit le plus beau au monde?,Wo ist der schönste Ort der Welt?,Kde je nejhezčí místo na světě?,Dov'è il posto più bello del mondo?,Where is the most beautiful place in the world?,Kde je nejkrásnější místo na světě?,Kde je nejkrásnější místo na světě?
153004,533746,How's your mother?,Comment va votre mère? | Comment va ta mère? | Comment va votre mère?,Wie geht es Ihrer Mutter? | Wie geht es eurer Mutter? | Wie geht es deiner Mutter?,What's your name? | What's your name?,चलो अपने माँ? चलो अपने माँ? चलो अपने माँ?,| お母様はお元気ですか? | お母さんは、お元気?,ඔයාගෙ අම්මට කොහොමද?,Jak się miewa wasza matka? | Jak się miewa Twoja mama?
153176,535419,Do you have a cellphone?,As-tu un natel? | Avez-vous un natel? | As-tu un portable? | Avez-vous un portable? | As-tu un GSM? | Avez-vous un GSM? | As-tu un téléphone mobile? | Avez-vous un téléphone mobile? | Disposes-tu d'un téléphone portable? | Disposez-vous d'un téléphone portable? | T'as un portable?,Hast du ein Handy? | Hast du ein Handy? | Hast du ein Natel? | Hast du ein Natel? | Hast du ein Mobiltelefon?,יש לך פלאפון? | יש לך טלפון נייד? | יש לך פלאפון?,Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil? Máš mobil?,携帯電話を持っていますか? | 携帯持ってる?,あなたは携帯電話を持っていますか? | あなたは携帯電話を持っていますか?,Czy masz komórkę? | Masz telefon komórkowy?
153309,538123,Hi.,Salut! | Salut.,Hallo! | Grüß Gott! | Servus. | Grüezi. | Huhu!,שלום. | היי. | אהלן.,こんにちは! | Ciao.,やっほー. | こんにちは! | やあ. | こんにちは. | どうも. | もしもし.,こんにちは。 | こんにちは。,Cześć.
153344,539017,He likes fishing.,Il aime pêcher.,Er angelt gern.,അവന് לדוג ഇഷ്ടപ്പെടുന്നു.,Gli piace pescare. | A lui piace pescare.,He likes fishing.,他喜欢钓鱼魚。,Na lubi łowić ryby.
153938,551318,Why did you lie?,Why as-tu menti? | Why as-tu menti?,Proč máš du gelogena?,| なぜ嘘をつくのか?,Proč jsi lhal? Proč jsi lhal? Proč jsi lhal?,なぜ嘘をついたの? | なぜ嘘などついたの? | なぜ嘘をついたの? | なぜ嘘をついたの?,ඇයි ඔයා බොරු කියන්නේ?,ហេតុ អ្វី បាន ជា អ្នក ខុស?
153943,551443,No problem.,Není problém. | Žádný problém. | Není nic. | Bez problému. | Nic. | Žádný problém! | Není to vážné.,Žádný problém. | Žádné problémy. | Žádné příčiny.,సమస్య లేదు.,Žádný problém. | Žádný problém.,問題なし. | 問題ないよ. | 問題ないです。,没关系. | 没问题. | 没事. | 没事. | 没关系!,Nie ma problemu. | Nie ma sprawy. | Żaden problem.
154720,566026,Time is money.,"Le temps, c'est de l'argent. | Le temps, c'est de l'argent.",Zeit ist Geld.,സമയം הוא כסף.,Il tempo è denaro.,金なり.,时间就是金钱。,Czas do pieniądz.
154778,567368,I'm a student.,Ich bin Student. | Ich bin Student.,Ich bin Student. | Ich bin Schüler. | Ich bin Schülerin. | Ich bin Studentin.,私は学生。| 私は学生ית.,Já jsem studentka. Já jsem studentka. Já jsem studentka. Já jsem studentka. Já jsem studentka.,私は学生です。 | 私は大学生です。 | 学生です。,| 我是学生。,Jestem studentem. | Jestem studentką.
155238,576084,I hate Mondays.,Je déteste les lundis.,Ich hasse Montage. | Ich hasse den Montag. | Ich kann Montage nicht ausstehen.,මම שונא את ימי שני. | මම שונאת את ימי שני. | මම שונא ימי שני.,Odio il lunedì. | Io odio il lunedì.,I hate Monday. | 月曜って、大っ嫌い。 | 月曜なんか、大っ嫌い。,我讨厌星期一。,Nienawidzę poniedziałków.
155418,580774,I'm a man.,Je suis un homme.,Ich bin ein Mann.,මම גבר.,Sono un uomo. | Io sono un uomo.,මම මිනිහා.,මම是个 මිනිහෙක්.,Jestem mężczyzną.
155444,582309,I need help.,මට උදව් අවශ් යයි.,എനിക്ക് സഹായം വേണം.,Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc! Potřebuju pomoc!,Ho bisogno di aiuto.,助けてください。 | 私には助けが必要です。,මට උදව් කරන්න ඕනේ.,මට උදව් අවශ් යයි.
156353,607840,Go to hell!,Va en en enfer! | Allez en en enfer! | Va crever! | Va au diable!,ఫెయిర్ Zur Hölle!,උබට විකාරයක්! උබට විකාරයක්! උබට විකාරයක්!,Va' all'inferno! | Va' al diavolo!,මැරෙන්න!,නුබලා නුබලා නුබලාගේ පල්ලෙහාට යන්න!,Idź do diabła!
156468,611372,We want complete sentences.,Nous voulons des phrases complètes.,Wir wollen vollständige Sätze.,ہم مکمل משפטوں چاہتے ہیں.,Vogliamo frasi complete. | Vogliamo delle frasi complete. | Noi vogliamo frasi complete. | Noi vogliamo delle frasi complete.,We are fullyな文を求めています.,我们想要完整的句子。,Chcemy pełnych zdań.
156481,611769,You don't need to call me.,你不是我的电话员。,Du musst mich nicht anrufen. | Du musst mich nicht anrufen.,| You do not have to call me | You do not have to call me.,"你不能叫我,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你,我不能叫你。",You don't have to call me.,You don't have to call me.,Nie musisz నాకు dzwonić చేయండి.
156708,619636,Do you come here often?,Tu viens souvent ici? | Venez-vous souvent ici? | Viens-tu souvent ici? | Vous êtes souvent ici?,ඔයා නිතරම මෙහෙට එනවද?,Do you come here often? | Do you come here often? | Do you come here often?,Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft? Wie oft?,よく来るの? | ここにはよく来るの? | ここにはよく来られるの? | ここにはよくいるの?,你常来吗? | 你经常来这儿吗?,නිතරම එනවද?
157323,628213,Correct!,C'est vrai! | C'est ça!,Richtig! | Richtig. | Correct!,හරි!,È vero! | Corretto! | Giusto!,正解! | その通り! | 当たり!,| 対了!,ٹھیک ہے!
157327,628230,We agree.,අපි එකඟයි.,Wir stimmen zu. | Wir sind einverstanden.,संधि. | हम מסכימים. | מסכימים.,| Noi siamo d'accordo. | Noi siamo d'accordo.,I agree with you.,我们同意。,අපි එකඟ වෙනවා.
157419,630620,This novel is boring.,Ce roman est ennuyeux.,Dieser Roman ist langweilig.,הרומן הזה משעמם.,ഈ റോമന് റ്യൂമെന് റ് നല്ല രസകരമാണ്.,This novel is boring. | This novel isつまらない.,It's a novel without a story.,Ta powieść jest nudna.
157445,631038,Jump.,サウテス | Saute.,స్ప్రింగ్.,קפוץ.,सल्टा. | सल्टी. | सल्टे.,跳ねて! | ジャンプして! | 跳べ! | 跳んで.,跳.,സ്കോക്ക്.
157606,634028,Do you speak Turkish?,Tu parles turc? | Parlez-vous le turc?,Sprechen Sie Türkisch? | Sprichst du Türkisch? | Sprechen Sie Türkisch?,ඔයා කතා කරනවද? ඔයා කතා කරනවද?,Parli il turco? | Tu parli il turco? | Parla il turco? | Lei parla il turco? | Parlate il turco? | Voi parlate il turco?,トルコ語を話しますか.,په جرمني کې د ښوونځيو سيستم,Czy umiesz mówić po turecku?
157795,638544,Where is the train station?,Où est la gare? | Où se trouve la gare? | Où se trouve la gare?,Wo ist der Bahnhof?,ട്രെയിന് സ്റ്റേഷന് എവിടെ?,Dov'è la stazione? | Dov'è la stazione dei treni? | Dov'è la stazione ferroviaria? | Dove si trova la stazione ferroviaria?,駅はどこありますか. | 駅はどこありますか.,火车站在哪里?,Gdzie jest dworzec kolejowy?
158135,647456,Bye!,ආයුබෝවන්!,Leb wohl! | Tschüss! | Tschau!,| להתראות!,Ciao! | Arrivederci. | Arrivederci!,さようなら! | さようなら。 | さよなら! | あばよ。,再见! | 拜拜拜! | 再見!,പപ്പാ! | Na razie! | Do widzenia!
158594,661572,Today is Saturday.,"Dnes je sobota. | On est samedi. | Dnes, je sobota.",Heute ist Samstag. | Heute ist Sonnabend.,பகலில் ஒரு நாள். | பகலில் ஒரு நாள்.,Oggi è sabato.,今日は土曜日です。,今天是星期六。,Dnes jest sobota.
159294,672229,He ran.,Il courait.,Er rannte. | Er lief.,அவர் சரணடைந்தார். | அவர் பרח.,కోర్స్.,He ran. | 彼は走った.,එයා පැනලා ගියා.,On pobiegł.
159301,672252,You run.,Tu cours.,デュ・ルフスト (Du läufst) | Sie laufen.,ඔයා දුවනවා.,Corri. | Correte. | Corra.,君が走れ. | 君が走れ.,ඔයා දුවන්න.,ഉരുഷൊമിച്ചി.
159302,672254,He runs.,കോടതി.,Er rennt. | Er läuft.,అతనుרץ.,| Lui corre.,ඔහු ඇවිදිනවා.,එයා දුවනවා.,biega මත.
159304,672264,She runs.,എല്ല കോടതി.,Sie rennt.,ඇය רצה.,| Lei Corre.,she's running.,ඇය දුවනවා.,Biegnie.
163060,693617,Idiot!,Idiot! | Idiotie! | Idiote! | Pauvre imbécile! | Espèce d'imbécile! | Espèce d'idiot! | Crétin! | Pauvre con! | Imbécile! | Espèce d'idiote! | Espèce de bourricot!,Idiot! | Dummkopf!,| | | | | | | | |,මෝඩයා!,バカ!,මෝඩයා!,මෝඩයා!
163441,699465,I'm 18 years old.,J'ai dix-huit ans.,Ich bin achtzehn Jahre alt. | Ich bin 18. | Ich bin achtzehn Jahre. | Ich bin 18 Jahre alt.,இவருக்கு 18 வயது.,Ho diciotto anni. | Ho 18 anni. | Io ho 18 anni. | Io ho diciotto anni.,I am 18 years old. | I am 18 years old.,我十八岁。,Mam 18 lat.
163557,702472,Colorless green ideas sleep furiously.,Les idées vertes incolores dorment furieusement. | Les idées vertes incolores dorment intensely.,Farblose grüne Ideen schlafen wütend.,പച്ച ആശയങ്ങള് Without צבע ישנים בזעם.,Verdi idea incolori dormono furiosamente furiosamente.,The concept of 無色の緑の激しく眠る.,無色緑的念怒地沉睡著. | 無色緑意念怒地沉睡著.,Bezbarwne zielone idee wściekle śpią.
163670,703304,We're neighbors.,අපි අසල්වැසියෝ.,Wir sind Nachbarn.,ہمכנים.,Siamo vicini.,私たちは隣同士です。,We are neighbours.,අපි අසල්වැසියෝ.
163907,706874,Happy Mother's Day!,Bonne fête des mères! | Bonne fête mère!,Alles Gute zum Muttertag! | Schönen Muttertag!,幸せな日! | 幸せな日!,Buona festa della mamma!,お母さん、いつもありがとう!,母節快乐! | 母节快乐!,ശുഭദിനം മാട്ടി!
164129,707526,Count to thirty.,ట్రెంట్ వరకు కప్ట్.,பாலின விகிதம் (கி.மு.மு.மு.,"மூன்றாம் நூற்றாண்டின் இறுதியில், முதன்முதலில் முதன்முதலில் கிறித்தவ சமயம், முதன்முதலில் கிறித்தவ சமயம், முதன்முதலில் கிறித்தவ சமயம் என அழைக்கப்பட்டது.",Conta fino a trenta. | Contate fino a trenta. | Conti fino a trenta.,30数えて.,数 bis 30.,Policz do třidziestu.
165980,740214,I am a woman.,Je suis une femme.,Ich bin eine Frau.,Jsem žena. | Já אשה.,Sono una donna. | Io sono una donna.,私は女だ. | 私は女性です.,මම කාන්තාව.,Jestem kobieta.
167003,757414,I'm listening to music.,Je suis en train d'écouter de la musique. | J'écoute de la musique.,Ich höre Musik. | Ich höre gerade Musik.,මම מאזין למוזיקה.,Já poslouchám hudbu. | Já poslouchám hudbu. | Já poslouchám hudbu. | Já poslouchám hudbu. | Já poslouchám hudbu.,I'm listening to music. | 音楽を聞いてるんだよ.,我正在听音乐。,Słucham muzyki.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.",На Tatoeba все языки равны.,Du darfst hier in jeder beliebigen Sprache schreiben. Auf Tatoeba sind alle Sprachen gleichwertig.,You can write in any language you want. | You can write in any language you want. | You can write in any language you want.,په هرې ژبې کې چې غواړئ ولیکئ. Su Tatoeba tutte le lingue sono uguali. | په هرې ژبې کې چې غواړئ ولیکئ. Su Tatoeba tutte le lingue sono uguali. | په هرې ژبې کې چې غواړئ ولیکئ. Su Tatoeba tutte le lingue sono uguali.,"Whatever language you speak, you can write into it.",You can write in any language you want.All languages are equal in Tatoeba. | You can write in any language you want.,Można pisać w dowolnym języku. W Tatoeba wszystkie języki są równe. | Możesz pisać w dowolnym języku. W Tatoeba wszystkie języki są równe.
168951,794758,I am not a witch.,Já ne suis pas une sorcière.,Ich bin keine Hexe.,| איני מכשפה.,Non sono una strega. | Io non sono una strega.,I'm not a witch. I'm not a witch. I'm not a witch.,I'm not a witch. | I'm not a witch.,Nie jestem czarownicą.
171915,811376,He lives alone.,Il vit solit.,Er lebt allein.,అతను ఒంటరిగా חי.,Vive da solo. | Lui vive da solo. | Abita da solo. | Lui abita da solo.,| 彼は一人生活です.,他一人生活. | 他独自生活.,Mieszka sam. | On mieszka sam.
172646,827295,I hate you.,Je te déteste. | Je te hais. | Je vous hais.,Ich hasse dich.,私はあなたを憎む | 私はあなたを憎む,オオオオオオオオオオ!,ඔයාගේことが大嫌い.,I hate you | I hate you.,Nienawidzę cię. | Mam cię w dupie.
173753,847863,I'm always hungry.,J'ai toujours faim. | J'ai tout le temps faim.,Ich habe immer Hunger.,මම හැමවෙලේම רעב.,Ho sempre fame. | Io ho sempre fame.,I am always hungry. | Always hungry. | Always hungry.,我总是饿了。,Zawsze jestem głodny. | Jestem wiecznie głodny.
174179,854500,Get lost.,Déguerpissez. | Bouge! | Décampez! | Décampe! | Cassez-vous. | Fichez le camp. | Fiche le camp.,Schleich dich!,| | | | | |,स्म्मा. | स्ममी. | स्ममा. | स्ममा. | स्ममा. | स्ममा. | स्ममा. | स्ममा. | स्ममी. | वै अल डायवोलो. | वदा अल डायवोलो. | अंडेट अल डायवोलो.,行け! | どっか行け。,滚.,ස්පාඩයි.
175014,870628,Please continue.,"Veuillez continuer. | Veuillez poursuivre. | Continuez, s'il vous plaît. | Continue, s'il te plaît.",Bitte fahr fort!,कृपया जारी रखें. | נא जारी रखें. | תמשיכו कृपया.,请你继续。 请你继续。 请你继续。 请你继续。 请你继续。 请你继续。,話し続けて. | どうぞ続けて.,请 continue.,"Kontynuuj, please."
176212,881861,I don't have a cat.,Je n'ai pas de chat. | Je ne possède pas de chat.,Ich habe keine Katze.,אין לי חתול.,నాన్ ho un gatto.,I don't own a cat. | I don't own a cat.,I don't have a cat. | I don't have a cat.,Nie posiadam kota. | Nie mam kota.
176341,883062,Choose one.,| Choisis-en un. | Choisis-en une. | Choisissez-en un.,Suche eines aus. | Such dir eine aus.,चुने एक. | תבחרי एक. | תבחרו एक.,चुनें एक. | चुनें एक. | न चुनें एक. | न चुनें एक. | न चुनें एक. | चुनें एक. | चुनें एक.,一つ選んで.,select a吧.,Wybierz jeden. | Proszę wybrać jeden.
177553,890415,Come!,Viens! | Venez!,आओ! आओ! आओ! आओ!,එන්න!,വിയെനി!,එන්න!,එන්න!,Chodź!
177627,891930,I want to die with Getter Jaani.,මට මැරෙන්න ඕන ජෙටර් ජේනි එක්ක.,"""Ich will mit Getter Jaani sterben.",මට ඕනේ මැරෙන්න ජටර් යන් එක්ක.,Voglio morire con Getter Jaani. | Voglio morire insieme a Getter Jaani. | Io voglio morire con Getter Jaani. | Io voglio morire insieme a Getter Jaani.,I want to die with ゲッテル・ヤーニ.,I think and John 格特死在一起. | 我想和格特‧嘉尼一起死.,Chcę umrzeć z Getter Jaani (ang.).
178536,906328,Run!,Cours! | Courez! | File! | Cours! | Filez! | Courez! | Prenez vos jambes à vos cous! | Fuyez! | Fuyons!,Lauf!,දුවන්න!,Corri! | Corra! | Correte!,走れ! | 逃げろ!,逃げろ!,Uciekaj! | Chodu!
179456,914029,What do you think?,Qu'en penses-tu? | Qu'en penser?,Byl meinst du? | Byl denkst du?,| What do you think?,Co ne pensi? | Co ne pensate? | Co ne pensa?,क्या सोचते हो? | क्या सोचते हो? | क्या सोचते हो? | क्या सोचते हो? | क्या सोचते हो?,| You What Think? | You What Think?,Jak myślisz?
180182,925077,It is too expensive.,To je trop cher.,Das ist zu teuer!,ඒක יקר מדי.,Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé!,It's too high. | 値段が高すぎる! | 値段が高すぎるです。 | それは高すぎる。 | 高すぎる!,这太贵了。,To za drogie. | To jest za drogie!
181016,943665,Hooray!,ഹോറ!,Hurra!,הידד!,Urrà!,万歳!,නියමයි!,Hura!
181351,953107,Are you on Facebook?,Jsi na Facebooku? | Jsi na Facebooku? | Jsi na Facebooku?,Sind Sie auf Facebook? | Sind Sie auf Facebook? | Sind Sie auf Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Haben Sie Facebook?,あなたはFacebookで? | あなたはFacebookで?,Jsi tvůj Facebook? | Jsi tvůj Facebook? | Je tvůj Facebook? | Jsi tvůj Facebook? | Lei je tvůj Facebook? | Voi siete tvůj Facebook?,フェイスブックはやってますか? | Facebookやってる?,你在脸书上?,Máte konto na Facebooku? | Jste na Facebooku? | Jste na Facebooku?
181446,953202,Do you like cooking?,Aimez-vous faire la cuisine? | Aimes-tu faire la cuisine?,Kochst du gerne? | Kocht ihr gerne? | Kochen Sie gerne?,料理が好きですか? | 料理が好きですか?,你喜欢烹饪? | 你喜欢烹饪? | 你喜欢烹饪? | 你喜欢烹饪? | 你喜欢烹饪?,料理好きですか? | 料理好きですか?,你喜欢做菜吗?,Lubisz gotować?
181468,953224,Do you think I'm stupid?,Penses-tu que j sois idiot? | Pensez-vous que j sois idiot? | Vous me prenez pour un idiot?,"Denkst du, ich bin blöd?","Myslíš, že jsem hlupák?","Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý?","මගේこと,バカ හිතන්නේるわけ?",നിനക്കെന്നെ മണ്ടനാണോ?,"Myslíš, že jsem głupi?"
181530,953286,Have you eaten?,Tu as mangé? | As-tu mangé? | Avez-vous mangé?,Have you already gegessen? | Have you gegessen? | Have you gegessen?,האם כבר אכלת?,有吃过吗? 有吃过吗? 有吃过吗? 有吃过吗? 是吃过吗? 是吃过吗? 是吃过吗?,ごはん食べたの? | ごはん食べたの?,你吃了吗? 你吃了没有? 你吃了吗?,Jadłeś już?
181540,953296,Have you ever dyed your hair?,Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy?,మీరు dir schon mal die Haare gefärbt Hast du?,האם אי פעם צבעת את השיער שלך?,Ti sei mai tinto i capelli? | Ti sei mai tinta i capelli? | Vi siete mai tinti i capelli? | Vi siete mai tinte i capelli? | Si è mai tinto i capelli? | Si è mai tinta i capelli?,髪染めたことある?,你染过头发吗?,你曾经染过头发吗?
181601,953358,How was your summer?,Comment s'est passé ton été? | Comment s'est déroulé ton été? | Comment s'est passé votre été? | Comment s'est déroulé votre été?,Wie war dein Sommer? | Wie war euer Sommer? | Wie war Ihr Sommer?,Jak se ti dařilo léto.,Jaká byla tvá vlast? | Jaká byla tvá vlast? | Jaká byla tvá vlast?,夏はどうでしたか? | 夏はどうでしたか.,夏はいかがですか? | 夏はいかがですか?,Jak tam lato? | Jak ci minęło lato? | Jak spędziłeś lato?
181609,953366,I ate too much.,J'ai trop mangé.,Ich habe zu viel gegessen.,இது மிகப்பெரிய அளவிற்கு அதிகமாகும். | אכלתי יתר עלמידה.,Ho mangiato troppo. | Mangiai troppo. | Io ho mangiato troppo. | Io mangiai troppo.,食べ過ぎた.,I eat too much. | I eat too much.,Przejadłem się. | Zjadłem za dużo.
184000,982239,Do you like strawberries?,Aimez-vous les fraises?,Magst du Erdbeeren? | Mögen Sie Erdbeeren? | Mögt Ihr Erdbeeren?,Do you love תות? | Do you love תות שדה?,Ty máš rád le fragole? | Vi máš rád le fragole? | Le máš rád le fragole? | A te máš rád le fragole? | A voi máš rád le fragole? | A lei máš rád le fragole?,あなたは、いちごが好きですか?,你喜欢草莓吗?,Lubisz truskawki? | Lubicie truskawki?
184037,983650,This is a horse.,Un Cheval ఉంది.,Tohle je koň. | Tohle je Ross. | Tohle je koň.,یہסוס ہے.,Tohle je koňský koň. | Tohle je koňský koň.,මේක馬です.,මේක馬.,കളിയാക്കുക.
184118,987485,"Champagne, please.","షాంపైన్, s'il vous plait.","షాంపైన్, బిచ్.",שמפניה කරුණාකරලා.,"Champagne, per favore. | Champagne, per piacere.",シャンペンを頼む。 | シャンパンを頼む。,"给我香槟,谢谢。",Poproszę szampana.
