,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
144987,433511,Fantastic!,Great is!,Fantasticly!,The Fantastic!,Fantastic is!,Fantastic is!,Great is!,Fantastic is!,Great is!,Fantastic!,Fantastic is!,It is fantastic!,Great is!,Great is!
144993,433518,Go away!,Go off!,Go away!,and disappear!,withdraw!,Go away!,Go from here!,The Vatten!,Go here!,Go from here.,Go out!,Get out of here!,and defol.,Go from here!
145014,433594,Try it again.,Try again once.,Try it again.,Try again.,Try again.,Try it again.,Try again.,Try it again.,Try it again.,Try again.,Try again.,Try it again!,Try it again.,Wake up again.
145027,433613,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money.,There is no money.,I have no money.
145028,433614,I don't have any money.,I have no scripts.,I have no money.,I have no money.,I have no money.,I have no money.,I have no money at all.,I have no money.,It is no word.,I have no money at all.,I have no money.,I have no weight.,There is no money.,I have no money at all.
145061,433669,Do you have a fever?,Are you burned?,Do you have fever?,Do you have a fever?,Do you have fever?,Do you have fever?,Do you have heat?,Do you have fever?,Is there a fever?,Do you have a heat?,Do you have a temperature?,Do you have fever?,Do you have fire?,Do you have a temperature?
145065,433675,I'm serious.,I am serious.,I take it.,I am serious.,I am serious.,It is my seriousness.,I am serious.,I am serious.,He is serious.,I speak seriously.,I am serious.,I speak seriously.,I am serious.,I am serious.
145067,433680,That's enough.,It is enough.,that is enough.,Don’t mention it!,That is enough!,that is enough.,enough and enough.,Just so.,Let me reduce it.,That is enough.,enough.,It is already enough.,enough.,enough.
145070,433689,Did you call?,Have you called the phone?,Have you called?,Did you call?,Have you called?,Have you called?,Called to?,Have you called?,Do you call?,Have you called?,You called?,Are you crying?,Have you searched?,Did you call?
145093,433730,Of course!,of course!,of course!,of course!,of course!,of course!,of course!,of course!,of course!,of course!,Of course!,Clearly yes!,of course!,of course!
145099,433745,Don't worry about it.,Don’t worry about it.,Do not worry.,Don’t worry about it!,Do not worry about this.,Do not worry about it.,Don’t worry about it.,Don’t worry about it.,Do not worry.,Do not take it.,Don’t worry about it.,Do not worry.,Don’t worry about it.,Don’t take it.
145100,433754,Follow him.,Follow him to go.,Follow him.,Follow him.,Follow him!,Follow him!,Follow him.,and follow it.,Take it back.,Follow him.,Follow him.,Follow him.,Look at him.,Follow him.
145112,433809,I'm very hungry.,I am hungry.,I am suffering from hunger.,I have a strong hunger.,I have a wolf hunger.,I have a great hunger.,I am very hungry.,I have a lot of hunger.,I am hungry.,I am very hungry.,I am very hungry.,I have a lot of hunger.,I am very hungry.,I am very hungry.
145121,433849,Speak clearly.,Tell it clearly.,Speak clearly.,Talk clearly.,Talk clearly.,Speak clearly.,Speak clearly.,He speaks clearly.,Talk clearly.,Say clearly.,Talk more clearly.,He speaks clearly.,Speak openly.,Speak clearly.
145123,433859,I've had enough.,I’ve got enough.,I have enough of it.,Don’t mention it!,I have enough.,I have my nose full of it.,That was enough for me.,I had enough.,I got enough.,I have enough.,It is enough with me.,I had enough.,That is enough.,enough for me.
145124,433863,I'm full.,I was tired.,I am full.,I am full.,I am repo!,I am tired.,I am full.,I am full.,I am already full.,I am full.,I have rented!,I am full.,The Tokum.,I am silent.
145218,434224,Anything else?,Is there anything else?,And something else?,Anything else?,Another thing?,Or something else?,Another thing?,Something else?,Is there anything else?,Something else?,Something else?,Something more?,Is there anything else?,Something else?
145227,434242,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?
145232,434258,Are you thirsty?,Are you thirsty?,Are you thirsty?,Do you have thirst?,Are you thirsty?,Are you thirsty?,You are thirsty?,Are you thirsty?,Are you thirsty?,Do you want to drink?,Do you want to drink?,Are you thirsty?,Are you thirsty?,Are you crazy?
145302,434410,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you help me?,Can you not help me?,Can you help me?,Can you help me?,Can you help me?
145324,434458,Come with me.,Go with me.,Come with me.,Come with me.,Come with me.,Come with.,Come with me.,Come with me.,Come with me.,Go with me.,Let’s go with me.,Come with me.,Come with me.,Let’s go with me.
145430,434680,Enough!,It is enough!,enough!,It is enough!,enough!,It is enough!,enough!,It is sufficient!,It is already enough!,enough!,enough!,It is sufficient!,It is enough!,enough!
145471,434770,Fucking whore.,You are the dirty.,The dirty horse.,The fool.,Dirty of salope.,The fake hole.,A piece of shrimp.,Puttana of the cat.,It is foolish.,The fuck.,Blade of Yaba.,and the prostitute.,It is a prostitute.,I am a prostitute!
145562,434964,He likes to swim.,He likes to swim.,He likes to swim.,He likes to swim.,He likes to swim.,He likes to swim.,He likes to swim.,He likes to swim.,He loves swimming.,He likes to swim.,He likes to swim.,He likes to swim.,He loves swimming.,He likes to swim.
145620,435084,Help!,The rescue!,Help to help!,The help!,to help!,Help to help!,and save!,and help!,Help me!,The help!,Help them!,and help!,Help me!,Help me!
145653,435199,Did something happen?,What happened?,Has something happened?,Has something happened?,Has something happened?,Has something happened?,Happened something?,Has something happened?,Has something happened.,Has something happened?,Something happened?,Has something happened?,Has something happened?,Happened something?
145671,435279,Whose turn is it?,Who is the circle?,Who is on the turn?,Who is it?,To whom the turn?,Who is there?,Who’s the turn?,Who is it touching?,Which is the turn?,Which line?,Which course?,Who does it touch?,Who’s the order?,Which order?
145685,435409,It's too big.,It is too big.,It is too big.,It is too big.,It is too big.,That is too big.,It is too big.,It is too big.,It is too big.,That is too big.,He is too big.,It is too big.,He is very big.,He is big.
145711,435575,Calm down.,to calm.,and quiet.,and calm!,and calm.,Relax yourself!,Relax to.,and calm.,Be calm.,Relax yourself.,Relax to.,and calm.,be quiet.,Relax to.
145735,435647,He can also speak Russian.,He will also speak Russian.,He also speaks Russian.,He also speaks Russian.,He also speaks Russian.,He can also speak Russian.,He also knows Russian.,He also speaks Russian.,He can also speak Russian.,He also speaks Russian.,He can also speak Russian.,He can also speak Russian.,He can also speak Russian.,He can also speak Russian.
145751,435750,That's a good question.,That is a good problem.,That is a good question.,That is a good question.,This is a good question.,This is a good question.,This is a good question.,It is a good question.,A good question.,This is a good question.,This is a good question.,That is a good question.,It is a good question.,A good question.
145752,435751,Lemons are sour.,Lemon is acidic.,Lemon is acidic.,The citrons are acidic.,Lemon is acidic.,Citrons are acidic.,The lemons are acidic.,The lemons are bitter.,The lemon is acidic.,Citrus is acidic.,Lemon is acidic.,Lemon is acid.,The lemons are thin.,Lemon is acid.
145754,435754,Has something happened?,What happened?,Has something happened?,Has something happened?,Has something happened?,Has something happened?,Something has happened?,Has something happened?,Has something happened.,Has something happened?,Something happened?,Has something happened?,Has something happened?,Something happened?
145756,435763,Do it now.,Do it now.,Do it now.,Do it now.,Do it now.,Do it now!,Do it now.,Do it now.,Do it right now.,Do it now.,Do it now.,Do it now!,Do it now.,Do it now.
145763,435772,Life is fun.,Life is fun.,Life is pleasant.,Life is fun.,Life is fun.,Life is fun.,Life is good.,Life is fun.,Life is fun.,Life is fun.,Life is fun.,Life is fun.,Life is fun.,Life is pleasure.
145785,436096,Fuck off!,and roll!,Rot up!,Press the fuck.,It will make you fool!,Get on your knees!,Go to fuck!,It is crazy!,It is crazy!,He fell!,I went to Hui!,Come and take the ass!,Go the fool!,Go to go!
145852,436243,How old are you?,How old are you?,How old are you?,How old are you?,What age are you?,How old are you?,How old are you?,How many years is it?,How much is it?,How old are you?,How old are you?,How many years are you?,How old are you?,How many years are you?
145866,436275,I am tall.,I am high.,I am long.,I am long.,I am big.,I am big.,I am high.,I am high.,I am high.,I am high.,I am high.,I am high.,I am long.,I am high.
145869,436281,I agree.,I agree.,I agree with it.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I agree.,I accept.,I agree.
145875,436293,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.,I am a doctor.
145935,436423,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.,I am ready.
145944,436445,I am too short.,I am too small.,I am too small.,I am too short.,I am too small.,I am too small.,I am too low.,They are too low in structure.,I am too low.,I am too low.,I am too low.,I am too low.,I am very short.,I am low.
145987,436541,I don't know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don't know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.,I don’t know what to say.
146366,438930,Where are my glasses?,Where are my glasses?,Where is my glasses?,Where is my glass?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?,Where are my glasses?
146367,438940,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.,We are happy.
146452,441955,It was a terrible day.,It was a bad day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.,It was a terrible day.
146472,442064,Who drew it?,Who painted?,Who signed it?,Who painted it?,Who designed it?,Who painted it?,Who painted it?,Who designed it?,Who painted it?,Who painted it?,Who painted it?,Who drawn it?,Who painted it?,Who painted it?
146478,442109,Prices went up.,The prices rise.,The prices have risen.,The prices rose.,The prices have risen.,The prices have risen.,The prices have risen.,The prices have risen.,The prices have risen.,Prices went up.,The prices have risen.,The prices have risen.,The prices have risen.,The prices rise.
146484,442130,That's a good idea.,That is a good idea.,That is a good idea.,That is a good idea.,This is a good idea.,This is a good idea.,It is a good idea.,It is a good idea!,It is a good idea.,It is a good idea.,It is a good idea.,That is a good idea.,This is a good idea.,It is a good idea.
146503,442957,Please open the bottle.,Please open the bottle.,Please open the bottle.,Can you open the bottle?,Please open the bottle.,Please open the bottle.,Please open the bottle.,Please open the bottle.,Please open the wine.,Please open the bottle.,Please open the bottle.,Please open the bottle.,Please open the bottle.,Please open the bottle.
146505,442964,That's not fair.,That is unfair.,That is not fair.,This is not fair.,This is not fair.,This is not fair.,It is unfair.,It is not right.,It is so long.,It is not fair.,Not so honest.,That is not fair.,This is not fair.,Not so honest.
146552,444986,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.,I live here.
146610,448320,Stop!,Stay in hand!,Stop to stop!,Stop to!,That is enough!,Stop to stop!,Stop to stop!,Stop to stop!,Stop it!,Stay!,Stay out!,It is high!,Stop it!,Stay out!
146659,448963,It's snowing.,It is snowing.,It is snow.,It rains snow.,It is snow.,It snows.,The snow falls.,and Nevica.,The snow falls.,on the snow.,Snow is coming.,It is snowing.,The snow is rain.,There is snow.
146671,449023,No one knows.,No one knows.,No one knows it.,No one knows.,No one knows.,No one knows that.,No one knows.,No one knows.,No one knows.,No one knows.,No one knows.,No one knows.,No one knows.,No one knows this.
146672,449029,Catch him.,Catch him.,Take him.,Destroy him.,Catch it.,Finding him.,Catch him.,to catch it.,Catch him.,Catch him.,Catch him.,captured it.,Catch him.,Take him.
146687,449095,Do you drink coffee?,Are you drinking coffee?,Do you drink coffee?,Do you drink coffee?,Do you drink coffee?,Do you drink coffee?,Are you drinking coffee?,Do you drink coffee?,Do you drink coffee?,Do you drink coffee?,Are you drinking coffee?,Do you drink coffee?,Do you drink coffee?,Do you drink coffee?
146688,449105,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,I eat here.,as here.,I eat here.,I am here for them.
146692,449111,Your dog is here.,Your dog is here.,Your dog is here.,Your dog is here.,Your dog is here.,Here is your dog.,Your dog is here.,Your dog is here.,There is your dog here.,Your dog is here.,Your dog is here.,Here is your dog.,Your dog is here.,Your dog is here.
146694,449118,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.,This is your key.
146696,449158,Keep going straight.,Continue to go straight.,Stay going straight.,Just go straight.,Go straight forward!,Go on straight.,Continue straight.,Continue to go straight.,Keep it and go straight.,Go straight.,Go forward.,Stay straight.,Continue to go right.,Continue to move straight.
146709,449699,What should I do?,What should I do?,What should I do?,What should I do?,What should I do?,What should I do?,What should I do?,What should I do?,What should I do.,What should I do?,What should I do?,What should I do?,What should I do?,What should I do?
146725,450074,Come if you can.,"If you can, come.",Come as you can.,Come if you can.,Come if you can!,Come if you can!,"Come, if you can.",Come if you can.,"If you can come, come.",Go if you can.,Come if you can.,Come if you can.,If you can come.,Come if you can.
146778,451212,She has few friends.,Her friends are very few.,She has few friends.,He has few friends.,She has little friends.,She has few friends.,She has a few friends.,He has few friends.,She has little friends.,She has little friends.,She has little friends.,She has few friends.,He has a few friends.,She has few friends.
147019,453219,Happy birthday!,Happy Birthday!,Happy Birthday!,Happy Birthday!,Happy Birthday!,Congratulations on your birthday!,Happy Birthday!,Happy Birthday!,Congratulations on your birthday.,All the best for your birthday!,With Birthday!,Happy Birthday to you!,Good that you were born!,Happy Birthday!
147057,453394,Love is blind.,Love is blind.,Love makes you blind.,Love is blind.,Love is blind.,Love makes you blind.,Love is blind.,Love is blind.,Love is blind.,Love is blind.,Love is blind.,Love is blind.,Love is blind.,Love is blind.
147078,453418,I ordered two hamburgers.,There are two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered a hamburger twice.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.,I ordered two hamburgers.
147352,454490,I don't know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to do.,I don't know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to do.,I don’t know what to be done.,I don’t know what to do.
147369,454514,"I think, therefore I am.",I think I am.,"I think, so I am.","I think, so I am.",I think I am.,"I think, so I am.","I think, I mean I exist.","I think, so I am.",I think that is why I am.,I think so I am.,"I think, therefore I exist.","I think, then I exist.","I think, so I am.",I think they exist.
147402,455290,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What are you interested in?,What interests you?,What interests you?,What are you interested in?,What interests you?
147586,456157,It was love at first sight.,It is a view of love.,It was love at first sight.,It was love at first glance.,It was love at first glance.,It was love at first glance.,It was love at first glance.,It was love at first sight.,Love at first glance.,It was love at first glance.,It was love at first glance.,It was love at first sight.,She was in love at first sight.,It was love at first glance.
147623,456237,It's raining.,It is rain.,It is rain.,the rain.,It is rain.,It rains.,It falls rain.,It is raining.,The rain is falling.,It rains.,There is rain.,the rain.,The weather is rain.,It is rain.
147677,456357,May I help you?,Can I help you?,Can I help you?,How can I help?,Can I help you?,Can I help you?,Can I help you?,Can I help her?,What should we raise up?,Can I help you?,Can I help you something?,How can I serve you?,Can I help you?,To help you?
147798,456627,Please speak more slowly.,Please say full.,Please speak slowly.,Can you talk slowly?,Please talk less quickly.,Please speak slowly.,Please talk slowly.,Please speak slowly.,Please say more slowly.,Please speak slowly.,Please speak slowly.,"Talk slowly, please.",Please talk slowly.,Please talk slowly.
147840,456719,She is from France.,She is from France.,She comes from France.,He is from France.,She comes from France.,It comes from France.,It is France.,He comes from France.,She is from France.,She is from France.,She is from France.,She is from France.,He is French.,She is from France.
147894,457629,Hungry?,Are you hungry?,The Hunger?,Is it hungry?,Are you hungry?,hungry?,The hunger?,is hungry?,Are you hungry?,hungry?,Are you hungry?,Are you hungry?,Are you hungry?,Are you hungry?
147900,457741,I trust you.,I trust you.,I trust you.,I trust you.,I trust you.,I will leave on you.,I trust you.,I trust you.,Let me take it.,I trust you.,I trust you.,I trust you.,I trust you.,I trust you.
147956,460021,My favorite color is red.,I prefer red.,My favorite color is red.,Red is my favorite color.,My favorite color is red.,My favorite color is red.,My favorite color is red.,My favorite color is red.,My favorite color is red.,My favorite color is red.,My favorite color is red.,The color I love is red.,My favorite color is red.,My favorite color is red.
147971,460058,I lost my key.,I lost the key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost the key.,I lost my key.,I lost my key.
147996,460198,Crazy!,Crazy is!,The GEK!,The Crazy!,I have hallucinations.,Crazy is!,Crazy is!,The fool!,The Crazy!,Disappointed!,Crazy is!,It is cool!,Crazy is!,to fool!
148175,461908,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is your dog?,Where is the dog?,Where is your dog?
148228,462430,Shut up!,Closed the mouth!,and swing!,The Turtle!,and silence!,Keep the mouth!,and silence!,Stay silent!,Stay silent!,Close yourself!,Close to!,Stay up!,The Cappuccino!,Ordinate it!
148248,462476,Stay there.,"Stay here, don’t move.",Stay here.,Stay there.,Stay there.,Stay there!,Stay there.,Stay there.,Stay there.,Stay there.,Stay there.,Stay there.,Stay there.,Stay there.
148271,462526,That hurts.,It is painful.,That is painful.,It hurt.,It hurt.,It hurt.,It is painful.,It hurt.,It is painful.,It hurt.,It is painful.,I hurt.,He is painful.,is painful.
148296,462578,"The bill, please.",to pay.,The account please.,"I count, thank you.","The addition, please.",Please the bill.,Please have an account.,The account please.,Please have an account.,Please have an account!,The account please.,The account please.,The account please.,Please the account.
148342,462670,The customer is always right.,Customers are always right.,The customer is always right.,The customer is always right.,The customer is always right.,The customer is always right.,The customer is always right.,The customer is always right.,What customers say is always right.,The customer is always right.,The customer is always right.,The customer is always right.,The customer is always right.,The client is always right.
148756,464282,Turn around.,to turn.,Turn around you.,Turn around.,Make a half round.,Turn around.,and turned.,and turn.,Turn toward.,to turn.,Go back.,Give the turn.,Back to back.,take up.
148760,464290,Turn right.,Turn to the right.,Sleep to right.,Turn to the right.,Turn to the right.,to the right!,Turn to the right.,Turn to the right.,Turn to the right.,Shake to the right.,Turn to the right.,Double to the right.,Return to Right.,Turn to the right.
148778,464330,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash your hands.,Wash the hands.,Wash your hands.,Wash your hands.,The hand.
148881,464546,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?,What do you need?
148890,464566,What does this mean?,What does this mean?,What does that mean?,What does this mean?,What does that mean?,What does that mean?,What does this mean?,What does this mean?,What does this mean?,What does it mean?,What does that mean?,What does this mean?,What does that mean?,What does that mean?
149029,466624,What's your phone number?,How much is your phone number?,What is your phone number?,What is your phone number?,What is your phone number?,What is your phone number?,What is your phone number?,What phone number do you have?,What is your phone number?,What is your phone number?,Call your phone number.,What is your phone number?,What is the phone number?,What is your phone number?
149039,466728,Please wait five minutes.,Please wait five minutes.,Please wait five minutes.,Wait for five minutes.,Please wait for five minutes.,Please wait five minutes.,Please wait five minutes.,"For pleasure, wait five minutes.",Please wait 5 minutes.,Please wait five minutes.,Please wait five minutes.,Please wait five minutes.,Please wait five minutes.,Please wait five minutes.
149057,467339,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.,Iron is a useful metal.
149075,467672,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is your father?,Where is Dad?,Where is your father?
149123,469126,She's my sister.,She is my sister.,She is my sister.,She is my sister.,It is my sister.,She is my sister.,She is my sister.,She is my sister.,She is my sister.,She is my sister.,She is my sister.,She is my sister.,She is my sister.,She is my sister.
149236,471780,Let's take a short break.,Let us rest a little.,Let us take a short break.,Take a little break.,Let us take a short break.,Let us take a short break.,Let us take a short break.,Let us take a short break.,Let me breathe.,Let us take a short break.,Let us take a short break.,Let us take a little rest.,Let’s take a few days of vacation.,Let us make a short break.
149256,472091,I study Korean.,I learned Korean.,I study Korean.,I am studying Korean.,I am studying Korean.,I study Korean.,I am studying Korean.,The Korean Study.,I am studying Korean.,I learn Korean.,I am studying Korean.,The Korean study.,I work in Korea.,I am studying Korean.
149275,472431,I was wrong.,I made a mistake.,I was wrong.,I was wrong.,I was wrong.,I was wrong.,I mistaken.,I was wrong.,I was wrong.,I mistaken.,I was wrong.,I was wrong.,I was wrong.,I was wrong.
149288,473177,"Hi, how are you?","Hello, what about you?","Oh, how is it with you?","Well, what is it?","Hello, how is it?","Hello, how is it?","Hello, what is your health?","Hello, how are you?","Hello, are you well?","Hello, how are you?","Hello, how is it?","Hello, what about that?","Hello, how are you?","Hello, how do you do?"
149538,477061,No.,Not to.,No is.,No is.,Not to.,and no.,No not.,No is.,No to.,No.,No is.,No is.,No is.,No is.
149541,477086,Yes.,Yes to.,and yes.,and yes.,and yes.,and yes.,and yes.,and yes.,and yes.,Yes.,Yes.,Yes is.,Yes.,So is.
149667,478255,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.,He closed the door.
149694,478568,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.,I have no friends.
149808,481593,Are they friends?,Are they friends?,Are they friends?,Are they friends?,Are they friends?,Are you friends?,Are they friends?,Are they friends?,Are they friends?,Are they friends?,Are they friends?,Are they friends?,Are they friends?,Are they friends?
149868,482303,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?
149949,483350,Guns don't kill people. People kill people.,"Shooters will not kill you, people will kill you.","Pistols don’t kill people, people kill people.","Weapons do not kill people, people kill people.","It’s not weapons that kill men, it’s men that kill men.","Weapons do not kill people, people kill people.","Weapons do not kill people, people kill people.","Pistols don’t kill people, people kill people.","We don’t kill people, we kill people.","It is not a gun that kills people, people kills people.","Weapons do not kill people, people kill people.","Weapons do not kill people, people kill people.","Weapons do not kill people, people kill people.","Weapons do not kill people, people kill people."
150041,484648,Drive safely.,Driving safe.,Drive safe!,Go with caution.,Drive cautiously!,Driving safely!,Driving safely.,Guided with caution.,Be careful and drive.,Drive with caution.,Be more careful.,Drive with caution.,and safe.,Safe travel.
150094,485099,Thanks anyway.,Or to say thank you.,Yet thank you.,Thank you however.,Thank you anyway.,Thanks anyway.,Thank you for every face.,Thank you anyway.,Thank you anyway.,In any case thank you.,In any case thank you.,Thank you in any way.,Yet thank you.,"In any case, thank you."
150159,486448,I must go now.,I have to go now.,I have to go now.,I have to go now.,I have to leave now.,I have to go now.,I have to go now.,I have to go now.,You have to go now.,Now I have to go.,Now I have to go.,I have to go now.,I have to go now.,Now I have to go.
150190,487006,Cheers!,The cup!,Thank you!,The Chip!,and health!,The Prost!,to life!,to yours!,The cup!,for health!,For health!,the health!,of honor!,Let us be!
150242,487828,Swimming is easy.,Swimming is easy.,Swimming is easy.,Swimming is old.,Swimming is easy.,Swimming is easy.,It is easy to swim.,Swimming is easy.,Swimming is easy.,Swimming is easy.,Swimming is easy.,Swimming is easy.,Swimming is easy.,Swimming is easy.
150457,493028,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?,Do you know the answer?
150558,495717,I'm a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.,I am a journalist.
150562,495838,Please close the door.,Please close the door.,Please close the door.,"You close the door, thank you.",Please close the door.,Please close the door.,Please close the door.,Please close the door.,Please close the door.,Please close the door.,Please close the door.,Please close the door.,Please close the door.,Please close the door.
150650,497132,Squirrels move quickly.,Mouse moves very quickly.,The accountants move quickly.,The oats move quickly.,The crops move quickly.,The eggs move quickly.,Pleasure is fast.,The scooters move quickly.,Rice is moving very fast.,The shells move quickly.,The proteins move quickly.,The bricks move quickly.,The shells move quickly.,The proteins move quickly.
150727,497969,See you tomorrow.,I see tomorrow.,until tomorrow.,We see tomorrow.,to tomorrow.,until tomorrow!,Goodbye tomorrow.,and tomorrow.,Let us see you tomorrow.,to tomorrow.,until tomorrow.,until tomorrow.,We will see tomorrow.,until tomorrow!
150811,499689,Good afternoon.,Good afternoon.,Good afternoon!,Good day.,and hello.,Good day!,Good afternoon.,Good afternoon.,Today is.,Good day.,Good day.,Good afternoon!,Good days.,Good day.
150828,499998,I'm just looking.,I just look at it.,I am just looking.,I just watch.,I look right.,I just look.,I just look.,I am just looking.,I just watch.,I just look.,I just look.,I am just looking.,I just look.,I just watch.
151264,506446,Don't worry.,Do not worry.,Do not worry.,Do not worry.,Do not worry.,Do not worry.,Do not worry.,Do not worry.,Do not worry.,Don’t worry.,Do not worry.,Do not worry.,Do not worry.,Don’t take it.
151303,506948,Do you smoke?,Are you smoking?,Are you smoking?,Are you smoking?,Are you smoking?,Are you smoking?,Are you smoking?,The smoke?,Are you smoking?,You burn?,Are you smoking?,Are you smoking?,Are you smoking?,Are you smoking?
151505,508844,The dog is dead.,This dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog is dead.,The dog died.
151757,513527,Tom was fired.,Tom was dismissed.,Tom was dismissed.,Tom was dismissed.,Tom was put at the door.,Tom was fired.,Tom is dismissed.,Tom was released.,Tom got his neck.,Tom was released.,Tom was dismissed.,Tom was dismissed.,Tom was dismissed.,Tom was released.
151760,513534,He raised his hands.,He raised his hand.,He stepped his hands up.,He raised his hand.,He raised his hands.,He raised the hands.,He raised his hands.,He raised his hands.,He gave her both hands.,He raised his hands.,He raised his hands.,He raised his hands.,He lifted his hands.,He raised his hands.
151849,515472,That's life.,This is life.,That is life.,It is life.,That is life.,So is life.,This is life.,That is life.,Life is that way.,That is life.,It is life.,That is life.,This is life.,such a life.
151862,515572,Are you Japanese?,Are you Japanese?,Are you Japanese?,Are you Japanese?,Are you Japanese?,Are you Japanese?,Are you Japanese?,Are you Japanese?,Is it Japanese?,Are you a Japanese?,Are you a Japanese?,Are you Japanese?,You are Japanese?,Are you a Japanese?
151926,516321,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today we are Monday.,Today is Monday.,Monday today.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.
