,index,english,translated_from_chinese,translated_from_dutch
152752,530595,He ordered a beer.,He made a cup of beer.,He ordered a beer.
152938,533100,Where is the most beautiful place in the world?,Where is the most beautiful place in the world?,Where is the most beautiful place on earth?
153004,533746,How's your mother?,What about your mother?,What about your mother?
153176,535419,Do you have a cellphone?,Do you have a phone? do you have a phone?,Do you have a mobile?Do you have a mobile?Do you have a mobile?
153309,538123,Hi.,Hi Hi Hi Hi.,Oh oh oh oh oh oh oh oh oh oh oh!
153344,539017,He likes fishing.,He loves fishing.,He loves fish.
153938,551318,Why did you lie?,Why are you lying?,"Why did you lie, why did you lie, why did you lie, why did you lie, why did you lie, why did you lie?"
153943,551443,No problem.,No. No. No. No. No. No. No. No. No. No. No. No. No. No. No.,No problem.
154720,566026,Time is money.,Time is money.,Time is money.
154778,567368,I'm a student.,"I am a student, I am a student.","I am a student, I am a student."
155238,576084,I hate Mondays.,I hate Monday.,I hate Monday.
155418,580774,I'm a man.,I am a man.,I am a man.
155444,582309,I need help.,I need help.,I need help.
156353,607840,Go to hell!,You are under the hell!,Go to Hell!
156468,611372,We want complete sentences.,We want a complete phrase.,"We want full words, we want full words."
156481,611769,You don't need to call me.,You don’t have to call me.,You don’t have to call me.
156708,619636,Do you come here often?,Do you come here frequently?,Are you coming here frequently?
157323,628213,Correct!,It’s right! 😂😂😂,It is right! it is right!
157327,628230,We agree.,We agree.,We agree.
157419,630620,This novel is boring.,This novel is boring.,This novel is boring.
157445,631038,Jump.,and jump.,Spring to Spring!
157606,634028,Do you speak Turkish?,Do you speak Turkish?,Do you speak Turkish?Do you speak Turkish?Do you speak Turkish?
157795,638544,Where is the train station?,Where is the train station?,Where is the train station?
158135,647456,Bye!,Hi Hi Hi Hi Hi Hi Hi Hi Hi Hi Hi Hi,Doei!♰ Doei.♰ Ciao.
158594,661572,Today is Saturday.,Today is Saturday.,Today is Saturday.
159294,672229,He ran.,He flew.,He ran.
159301,672252,You run.,You run.,"You run, you run, you run."
159302,672254,He runs.,He was running.,He is clean.
159304,672264,She runs.,She was running.,She is clean.
163060,693617,Idiot!,The fool!,Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue: Issue
163441,699465,I'm 18 years old.,I am eighteen.,"I am 18 years old, I am 18 years old."
163557,702472,Colorless green ideas sleep furiously.,The uncolored green idea sleeps crazy.The uncolored green idea sleeps angry.,Colorless green ideas sleep angry.
163670,703304,We're neighbors.,We are neighbors.,We are neighbors.
163907,706874,Happy Mother's Day!,Happy Mother’s Day! Happy Mother’s Day!,Happy Mother’s Day!
164129,707526,Count to thirty.,Number to thirty.,Tell to thirty.
165980,740214,I am a woman.,I am a woman.,I am a woman.
167003,757414,I'm listening to music.,I am listening to music.,I’m listening to music. I’m listening to music.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language you want. in Tatoeba, all languages are equal. in Tatoeba you can write in any language you want. in Tatoeba, all languages are equal.",You can write in any language you want. here on Tatoeba all languages are equal.
168951,794758,I am not a witch.,"I am not a witch, I am not a witch.",I am not witch.
171915,811376,He lives alone.,"He lives alone, he lives alone.",He lives alone.
172646,827295,I hate you.,"I hate you, I hate you.",I hate you.
173753,847863,I'm always hungry.,I am always hungry.,I am always hungry.
174179,854500,Get lost.,and roll.,Go away! <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
175014,870628,Please continue.,Please continue.,"Please go through, please go through."
176212,881861,I don't have a cat.,I don’t have a cat. I don’t have a cat.,I don’t have a cat.
176341,883062,Choose one.,Choose one of them.,Choose one.
177553,890415,Come!,Come to!,Come to!
177627,891930,I want to die with Getter Jaani.,I want to die with John Gates. - I want to die with Gates Gates.,I want to die with Getter Jaani.
178536,906328,Run!,Run to!,REN! ♰ Flight! ♰ REN Flight! ♰ Flight!
179456,914029,What do you think?,What do you think? what do you think?,What do you think? what do you think? what do you think? what do you think? what do you think?
180182,925077,It is too expensive.,This is too expensive.,It costs too much.
181016,943665,Hooray!,Well wow!,Hoera!♰ Jeepie!♰ Jippie!
181351,953107,Are you on Facebook?,Are you on Facebook?,Are you on Facebook?
181446,953202,Do you like cooking?,Do you like cooking?,Do you like cooking? do you like cooking? do you like cooking? do you like cooking?
181468,953224,Do you think I'm stupid?,Do you think I am stupid?,Do you think I am stupid?
181530,953286,Have you eaten?,Did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat? did you eat?,Have you eaten?
181540,953296,Have you ever dyed your hair?,Do you paint your hair?,Have you ever painted your hair?
181601,953358,How was your summer?,How is the summer? how is the summer?,How was your summer? how was your summer? how was your summer?
181609,953366,I ate too much.,"I have eaten too much, I have eaten too much.","I have eaten too much, I have eaten too much."
184000,982239,Do you like strawberries?,Do you like grapes?,Do you love potatoes?Do you love potatoes?Do you love potatoes?
184037,983650,This is a horse.,This is a horse.,"This is a horse, this is a rose."
184118,987485,"Champagne, please.","Give me shampoo, thank you.",Champagne please.
184160,990384,Grammar is very complicated.,Grammar is very complex.,Grammatics is very complicated.
184235,993268,He died recently.,He has recently died.,He has recently died.
184422,997880,I don't drink coffee.,I don’t drink coffee.,I don’t drink coffee.
186312,1024693,Tom isn't here.,"Tom is not here, Tom is not here.",Tom is not here.
187666,1026051,Tom doesn't like cats.,Tom doesn’t like cats.,Tom doesn’t like cats.
188288,1026675,Tom closed his eyes.,Tom closed his eyes.,"Tom closed his eyes, and Tom closed his eyes."
188621,1027009,Tom blushed.,Tom’s face is red.,Tom is blossomed.
190239,1028631,Tom hugged Mary.,Tom hugged Mary.,Tom surrounded Mary.
193352,1064331,It wasn't my fault.,It is not my fault.,It was not my fault. it was not my fault. it was not my fault.
193634,1071653,Eat your soup before it gets cold.,Drink until the soup is cold.,Eat your soup before it becomes cold.Eat your soup before it becomes cold.
193744,1075501,May I put it here?,Can I put it here?,Can I put it down here?
193745,1075502,We should always obey laws.,We must always comply with the law.,We must always obey the laws.
194256,1084522,I can't drink milk.,"I can’t drink milk, I can’t drink milk.",I cannot drink milk.
196963,1094582,Tom disappeared.,Tom is missing.,"Tom is gone, Tom is gone."
199055,1098659,Read this.,Read this.,Read this.
199703,1107280,The cat is black.,The cat is black.,The cat is black.
200020,1110791,I'm afraid of heights.,I am afraid.,"I have acrophobia, I have acrophobia."
200054,1111548,Hop in.,jump into.,step in.
200881,1122514,I'm a woman.,I am a woman.,I am a woman.
201009,1123763,Is she Japanese?,Is she a Japanese?,Is she Japanese?
201363,1126684,Help me!,The rescue!,Help me! help me! help me! help me! help me!
203216,1151779,Today is Thursday.,"Today is Thursday, today is Thursday.",Today is Thursday.
203271,1152188,She is stubborn.,She is very tight.,She is tired.
204054,1164341,Tom overslept.,Tom was sleeping.,Tom escaped.
206235,1194034,I'm not a doctor.,"I am not a doctor, I am not a doctor.",I am not a doctor.
206742,1205289,Welcome to Tatoeba!,Welcome to Tatoeba.Welcome to Tatoeba!,Welcome to Tatoeba.♰ Welcome to Tatoeba.♰ Welcome to Tatoeba!
207737,1222816,Horses are animals.,Horses are animals.,Horses are animals.
209573,1258802,Why did she do that?,Why should she do this?,Why did she do that?
209642,1260118,He's in the kitchen.,He is in the kitchen.,He is in the kitchen.
210112,1276135,This bird can't fly.,The bird cannot fly.,This bird cannot fly.
210140,1276904,I have already finished reading this book.,I have finished reading this book.I have finished reading this book.,I have already read this book.
210311,1283955,That's a lie!,"It’s a lie, it’s a lie!",What a lie!
210362,1285500,The apple doesn't fall far from the tree.,The place where the apple falls is not far from the tree stone.,The apple is not far from the tree.
210564,1292208,Don't wait.,Do not wait!,Do not wait.
210887,1299275,Oh no!,No not.,Oh yeah yeah yeah yeah yeah yeah!
210992,1300736,Follow that car.,Follow the car.,Follow the car.
211002,1300804,I was at home.,I was just at home.,I was home.
211013,1300904,"She has about 2,000 books.",She has approximately 2000 books.,She has about 2000 books.
211377,1308427,Is it far?,Is it far?,Is that far?
212376,1327057,Seriously?,Do you really know? do you really know? do you know?,really?
212604,1331062,I like horses.,I like horses.,"I love horses, I love horses."
213429,1342184,Disgusting!,The wicked!,We have a good way! we have a good way! we have a good way!
213650,1343997,Why do you love me?,Why do you like me?,Why do you love me?
214904,1359933,As you wish.,Because of you.,"As you want, as you want, as you want, as you want."
215478,1369314,I have just finished eating.,I just finished eating.,"I just ate, I just got ready to eat."
215598,1370839,I want to eat ice cream.,"I want to eat ice cream, I want to eat ice cream.",I want to eat ice.
215735,1383444,He's a DJ.,He is a DJ.,He is a DJ.
215944,1387288,What are you waiting for?,What is waiting!,Where are you waiting? where are you waiting? where are you waiting? where are you waiting?
216431,1394814,Hold the ball with both hands.,Hold the ball with your hands.,Keep the ball with two hands.
216537,1396177,I'm afraid of dogs.,"I’m afraid of dogs, I’m afraid of dogs.","I’m afraid of dogs, I’m afraid of dogs."
216548,1396235,She wants to know who sent the flowers.,She wondered who was sending the flowers. - She wondered who was sending the flowers.,She wants to know who sent the flowers. She is curious who sent the flowers.
216560,1396333,It's already eleven.,It is already 11h.,It is already 11 hours.
216601,1396428,You look just like your older brother.,"You look like your brother, you look like your brother.",You look like your older brother.
216827,1399479,Burj Khalifa is currently the tallest skyscraper in the world.,The Hariri Tower is currently the world’s highest shadow building.The Hariri Tower is the world’s highest shadow building.The Hariri Tower is currently the world’s highest shadow building.,Burj Khalifa is the highest cloud crab in the world.
217712,1417464,Are you coming?,Will you come?,Do you come? do you come? do you come? do you come?
218072,1423299,"In Japan, the new school year begins in April.",The new school year in Japan begins in April.,"In Japan, the new school year begins in April."
218529,1435651,It rained.,the rain.,The rege.
219095,1442219,She disappeared.,She has disappeared.,They disappeared.
219405,1446280,He also speaks French.,He also speaks French.,He also speaks French.
219409,1446444,Something happened.,something happened.,Something has happened.
220201,1458036,Today is Wednesday.,Today is Wednesday.,"Today is Wednesday, today is Wednesday."
221956,1486456,Be patient.,Patience is waiting.,Be patient.
222335,1488808,Tom was crying.,Tom was crying.,Tom was crying.
223223,1495917,Eat slowly.,Eat slowly.,"Eat slowly, Eat slowly."
225703,1531064,Tom nodded.,Tom put his head.,Tom is knicked.
227491,1553393,Step back.,back to back.,step back.
227624,1553532,Call me.,Contact me.,Call me! and call me.
227821,1556167,We know.,We know.,We know it.
231006,1627336,Welcome back.,Welcome back.,Welcome back!
233097,1660856,Tom is taking a shower.,Tom is bathing.,Tom takes a shower.
236777,1722133,Relax.,Relax to.,"On the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand."
237610,1730009,Call home!,Call home!,Call to home!
237953,1738962,Stop reading.,Do not read anymore.,Stop reading.
242693,1802121,Speak!,Say! say! say! say! say! say! say! say! say! say! say!,Talk to!
242828,1804273,Look!,Look at it!,Look at!
243443,1815066,Keep reading.,Continue to see.,Continue to read.
245105,1830623,Horses eat grass.,Horses eat grass.,The horses eat grass.
245942,1841177,Hurry home.,Get fast home.,"Go home quickly, go home quickly."
245945,1841180,Release him.,Release him.,"Let him be free, let him be free!"
245953,1841188,Wait here.,Waiting here.,Wait here.
246160,1841588,See you later.,Goodbye to.,To the reflection!
247598,1860499,Don't die.,You don’t die.,"Don’t die, don’t die."
248927,1868480,Ignore Tom.,Don’t think of Tom.,I don’t say Tom.
249534,1876041,Thank you.,Thank you. thank you. thank you. thank you.,Thank you. thank you. thank you. thank you. thank you.
250870,1886145,Did you kill Tom?,Did you kill Tom?,Do you kill Tom? Do you kill Tom? Do you kill Tom? Do you kill Tom? Do you kill Tom? Do you kill Tom?
252009,1887384,I have to go.,I had to go.,I have to go.
253023,1891110,I'm ready.,I am ready.,I am ready.
253352,1893706,We understand.,We understand.,We understand it.
255544,1913083,How beautiful!,How beautiful!,What beautiful!
255547,1913086,How lovely!,How cute!,What fun!
255548,1913087,Keep it.,Keep it.,Keep it.
255550,1913089,Take it.,Take it out.,Take it.
255553,1913092,How strange!,It’s strange! it’s strange!,How strange! how strange!
255648,1916313,Call us.,Contact us.,Call us.
255649,1916314,Be nice.,And the point. and the point of friendship.,Be good! be good! be good! be good! be good! be good!
255980,1924560,I'm old.,I am old.,I am old.
258643,1954263,Ask Tom.,Ask to Tom.,"Ask Tom, ask Tom."
258645,1954265,Be still.,"Stay quiet, don’t move.",Be silent.
260956,1972633,Get Tom.,Find Tom.,Take Tom.
260962,1972639,Grab Tom.,Take Tom.,Mr Tom.
260972,1972649,Show me.,Let me see.,"Let me see it, let me see it!"
262588,2005179,Tom lied.,Tom is lying.,Tom is lying.
262589,2005180,Tom lost.,Tom has lost.,Tom has lost.
262590,2005181,Tom moved.,Tom moved home.,"Tom moved, Tom moved."
262592,2005183,Tom quit.,Tom did not.,"Tom stopped, Tom stopped."
262593,2005184,Tom smiled.,Tom laughed.,"Tom smiled, and Tom smiled."
262594,2005185,Tom waved.,Tom has swallowed.,Tom was sweating.
262595,2005186,Tom yawned.,Tom is in debt.,"Tom is married, Tom is married."
262596,2005187,Who died?,Who is dead?,Who died? Who died? Who died? Who died? Who died? Who died?
262597,2005188,Tom died.,Tom is dead.,"Tom has died, and Tom has died."
262599,2005190,Who won?,Who won?,Who won? Who won?
262600,2005191,Tom won.,Tom has won.,Tom won.
262601,2005192,I won!,I won.,I have won!
263575,2007928,Let's start.,Let’s start.,"Let’s start, let’s start."
272344,2057650,Thanks.,and thank you.,Thank you. thank you. thank you. thank you. thank you.
273911,2079905,Mars has two moons.,Mars has two satellites.,Mars has two moons.
274083,2083030,Who?,Who is?,Who is?
275599,2107594,Tom's sick.,"Tom is sick, Tom is sick.",Tom is sick.
275672,2107667,We overslept.,We slept our head.,We give up ourselves.
275762,2111159,Tom laughed.,Tom laughed.,Tom laughed.
275773,2111170,Tom graduated.,Tom is graduated.,Tom studied.
275796,2111193,Tom clapped.,Tom took his hand.,Tom is fit.
275966,2111364,They refused.,They rejected.,They refused.
275969,2111367,They lied.,They lie.,They have lie.
276076,2111475,Tell Tom.,Talk to Tom.,Tell it to Tom.
276084,2111483,Take mine.,Take me.,Take the mine.
276098,2111497,Stop lying.,Don’t talk blind again!,Stop lying.
276208,2111608,Look closely.,Look at carefully.,Look well.
276325,2111725,I'm home.,I am at home.,I am home.
276394,2111796,I see.,That’s how it was. – That’s how it was.,Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah
276430,2111832,Get dressed.,You wear something.,to dress.
278550,2163151,The book is on the table.,The book on the table.,"The book is on the table, the book is on the table."
281462,2203346,I'm shy.,I am ashamed.,I am ashamed.
281721,2203607,Who came?,Who came?,Who came? who came?
284852,2233709,This is mine.,This is mine.,This is of me.
289331,2244966,Are you sleeping?,Are you sleeping? are you sleeping?,You are sleeping?
290072,2245875,I have cancer.,I have cancer.,I have cancer.
290098,2245901,I have time.,I have time.,I have time.
290250,2246291,We surrender.,We give up.,We give ourselves.
290587,2247573,I will go.,I have gone.,I will go.
295187,2258234,Good morning.,"Good morning, good morning!",Good Morning! a good morning.
309577,2346862,This is my computer.,This is my computer.,This is my computer.
320300,2412739,I have two cats.,I have two cats. I have two cats. I have two cats.,I have two cats.
321617,2439040,I don't want to work under these conditions.,I don’t want to work under these conditions.,I don’t want to work under these circumstances.
326155,2499505,Where is the hotel?,Where is the hotel?,Where is the hotel?
344918,2635485,I have a red bicycle.,I have a red bicycle.,I have a red bicycle.
355479,2654806,Do you have a dictionary?,Do you have a dictionary?,Do you have a dictionary? do you have a dictionary?
383445,2900859,Cats are smart.,The cat is smart.,Cats are smart.
470851,3663249,There are islands in the sea.,"There is a sea island, there is a sea island, there is a sea island.",There are islands in the sea.
490066,3738521,Are they brothers?,Are they brothers?,Are they brothers?
500071,3825001,I don't want to eat.,I don’t want to eat.,I don’t want to eat.
501589,3826551,Where are we?,Where are we? where are we?,Where are we? where are we?
545600,4373509,Probably.,about.,Probably.
563303,4606511,Where?,Where is it? where is it?,Where to?
604326,5308161,Turtles don't have teeth.,The sheep has no teeth.,Shields have no teeth.
