,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
156468,611372,We want complete sentences.,We want the full sentence.,Ni volas plenajn frazojn. Ni volas plenajn frazojn.,Esaldi osoak nahi ditugu.,Nebɣa isallen iεeqqmen.,Ni volas kompletajn frazojn.,Queremos frases completas.,.بىز تولۇق سۆزلىمەكچى. تولۇق سۆزلىمەكچى. تولۇق سۆزلىمەكچى. تولۇق سۆزلىمەكچى,우리는 완전한 문장을 원합니다.,We want the full sentences.,.بىزنىڭ پۈتتۈرۈلگەن نۇسخىلىرىمىزنى، پۈتتۈرۈلگەن نۇسخىلىرىمىزنى، تولۇق پۈتتۈرۈلگەن نۇسخىلىرىمىزنى، تولۇق پۈتتۈرۈلگەن نۇسخىلىرىمىزنى كۆرۈشنى خالايمىز,.بىز تولۇق سۆزلىمەكچى، تولۇق سۆزلىمەكچى,We want the exact sentences.,Ni bezonas la kompletajn frazojn. Ni bezonas la kompletajn frazojn. Ni bezonas la kompletajn frazojn.
156481,611769,You don't need to call me.,You don't have to call me.,You don't have to call me.,You don't have to call me.,You don't have to call me.,You don't have to call me. You don't have to call me.,Vous n'avez pas à me téléphoner.,.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك ئەمەس.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك,You don't have to call me.,You don't have to call me.,.سىز ماڭا تېلېفون قىلىشىڭىزنىڭ ھاجىتى يوق,You don't need to call me. You don't need to call me. You don't need to call me.,You don't have to call me.,.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك ئەمەس.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك ئەمەس.سىز ماڭا تېلېفون قىلىشىڭىز كېرەك
156708,619636,Do you come here often?,Do you come here often?,Do you come here often?,Do you come here often?,.مۇنبەر بۇ يەرگە كۆپ كېلىۋاتامسىز؟ كۆپ كېلىۋاتامسىز؟ كۆپ كېلىۋاتامسىز؟ كۆپ كېلىۋاتامسىز؟,Ĉu vi ofte venas ĉi tien?,Vous venez souvent ici? Vous venez souvent ici?,.سىز بۇ يەرگە كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ؟ كۆپ كېلىسىزمۇ,Ĉu vi ofte venas ĉi tien? Ĉu vi ofte venas ĉi tien? Ĉu vi ofte venas ĉi tien?,Do you come here often?,Do you come here often?,ဒီမှာ မကြာခဏလာလား။ မကြာခဏလာလား။ မကြာခဏလာလား။,Do you come here often?,Ĉu vi ofte venas ĉi tien?
157323,628213,Correct!,Right! Right!,Right! Right!,"-Bai, horixe da.",.ھە، شۇنداق بولدى,.ھەئە، شۇنداق، شۇنداق,C'est vrai!,راست، شۇنداق، شۇنداق,맞아요! 맞아요! 맞아요!,Ondo dago!,توغرا، توغرا,That's right!,That's right!,"Jes, tio ĝustas."
157327,628230,We agree.,We agree.,We're all in this together.,Ni konsentas. Ni konsentas. Ni konsentas.,We're all in agreement.,Ados gaude. Ados gaude.,"Nous sommes d'accord, nous sommes d'accord.",.بىز بىرلىكتە شۇنداق قىلىمىز,이 모든 의견은 일치합니다.,We're all in this together.,We're all in agreement.,We're all in this together.,.بىز بىرلىكتە پىكىرلەشتۈردۇق، بىرلىكتە پىكىرلەشتۈردۇق,Ni konsentas.
157419,630620,This novel is boring.,This novel is boring.,Tiu romano estas enuiga.,Nobela hau aspergarria da.,Aṛuman-a d amennuɣ.,Tiu romano estas enuiga.,Ce roman est ennuyeux.,Tiu romano estas enuiga.,Tiu ĉi romano estas teda. Tiu ĉi romano estas teda.,Tiu romano estas teda.,Tiu romano estas enuiga.,Tiu romano estas enuiga.,Tiu romano estas teda.,Tiu romano estas enuiga.
157445,631038,Jump.,Salto egin.,Jauzi egin!,Jauzi egin.,.ئۇزۇڭ!,Jauzi egin.,Salta hacia abajo.,.ئۇچ! (ئەركەك) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلكە) (كۈلك,!!!!,Jauzi egin.,!ئۇچ!ئۇچ!,.ئۇچ! (ئورنىڭىز: باش بەت > تەھرىرلىنىپ بىكەتلەر),.ئۇچۇپ كېتىۋېلىڭ,Atendu. Atendu.
157606,634028,Do you speak Turkish?,Do you speak Turkish?,.ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز؟ئۇيغۇرچە سۆزلەمسىز,Turkieraz dakizu?,تۈركچە سۆزلەمسىز؟ تۈركچە سۆزلەمسىز؟,.توركىيەدە نېمە دېدىڭ؟ توركىيەدە نېمە دېدىڭ؟ توركىيەدە نېمە دېدىڭ؟,Parlez-vous turc? parlez-vous turc? parlez-vous turc? parlez-vous turc? parlez-vous turc?,.سىز تۈركچە سۆزلەمسىز؟ سىز تۈركچە سۆزلەمسىز؟ سىز تۈركچە سۆزلەمسىز؟ سىز تۈركچە سۆزلەمسىز؟,Ĉu vi parolas la turkan?,Ĉu vi scipovas paroli la turkan?,Ĉu vi parolas la turkan?,Ĉu vi parolas la turkan?,.تۈركىچە سۆزلەمسىز؟,Ĉu vi parolas la turkan?
157795,638544,Where is the train station?,Where is the train station?,Kie estas la stacidomo?,Non dago tren geltokia?,قانداق پويىز بېكىتى بار؟,Kie estas la stacidomo?,Où se trouve la gare?,ဘူတာရုံက ဘယ်မှာလဲ။ ဘူတာရုံက ဘယ်မှာလဲ။ ဘူတာရုံက ဘယ်မှာလဲ။ ဘူတာရုံက ဘယ်မှာလဲ။,그리고 이 모든 것을 알고 있습니다.,Kie estas la fervoja stacidomo?,Kie estas la fervoja stacio? Kie estas la stacio?,ရထားဘူတာ ဘယ်မှာရှိလဲ။ ရထားဘူတာ ဘယ်မှာရှိလဲ။ ရထားဘူတာ ဘယ်မှာရှိလဲ။,Kie estas la stacidomo?,Kie estas la stacidomo? Kie estas la stacidomo? Kie estas la stacidomo?
158135,647456,Bye!,See you! Bye! See you!,.ئاۋاي! (ئالقىش),I'll see you later.,.ئالقىشلار!,.ھاياتلىق جىلى! (ئالقىش),"Au revoir, à la fin!",.ھەي، سالام! (ئالقىش),안녕하세요! 안녕하세요!,I'll see you later.,.ھەي، سالام! (ئالقىش),.ئالقىش.چاۋ.چاۋ!ئالقىش!,I'll see you later.,!ئات، بولدى، بولدى، بولدى
158594,661572,Today is Saturday.,Today is Saturday.,Hodiaŭ estas sabato.,Larunbata da.,بۈگۈن شەنبە كۈنى. بۈگۈن شەنبە كۈنى.,بۈگۈن شەنبە. بۈگۈن شەنبە.,"C'est samedi, c'est samedi aujourd'hui.",Hodiaŭ estas sabato.,Hodiaŭ estas sabato.,Hodiaŭ estas sabato.,Hodiaŭ estas sabato.,Today is Saturday.,It's Saturday.,Hodiaŭ estas sabato.
159294,672229,He ran.,He ran.,Korrika egin du.,He ran.,He was running.,He ran. He ran.,Il a couru. Il a fui.,Korrika egin zuen.,그는 달아났어요.,He ran.,Ihes egin du.,He ran. He ran.,Li kuris.,Li forkuris.
159301,672252,You run.,You run.,Zuek korrika. Zuek korrika.,.سىز قاچىسىز، قاچىسىز، قاچىسىز، قاچىسىز، قاچىسىز، قاچىسىز,You're running.,သင်ပြေးတယ်၊ သူတို့ပြေးတယ်။,Vous courez. Vous courez. Vous courez.,.ئۇچايلى.ئۇچايلى,넌 달아주게,- Let's go. - What?,Ihes egiten ari zara.,Korri.,You run.,.سىز قاچانسىز.سىز قاچانسىز.سىز قاچانسىز.سىز قاچانسىز.
159302,672254,He runs.,He ran.,Korrika egiten ari da.,Korrika egiten ari da.,He's running.,Korrika egiten ari da.,Il court.,သူက ပြေးနေတယ်။,Korrika egiten ari da.,He's running.,Korrika ari da.,Li kuras.,He runs.,Ĝi kuras. Ĝi kuras.
159304,672264,She runs.,She ran.,Ŝi kuras.,Korrika egiten ari da.,She's running.,Korrika egiten ari da.,Elle voulait courir.,သူမ ပြေးနေတယ်။,Korrika ari da.,Korrika egiten ari da.,She's running.,Ŝi kuras.,He's running.,Ŝi kuras. Ŝi kuras.
163060,693617,Idiot!,Arrautzak!,!سىز ئەخمەق!سىز ئەخمەق!سىز ئېشەك!سىز ئەخمەق!سىز ئەخمەق!,Ergel hori!,!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئادەمجان!ئاد,Ergel hori!,"Vous êtes un imbécile, un imbécile!",Ergel hori!,Ergel hori!,Ergel hori!,Ergel hori!,You fool!,Ergel bat zara!,"Ho, vi estas idioto!"
163441,699465,I'm 18 years old.,I'm 18 years old.,.مەن 18 ياشقا كىردىم,Mi aĝas 18 jarojn. Mi aĝas 18.,Ɣur-i ttɛeṭṭaɛit iseggasen.,.مەن 18 ياشقا كىردىم.مەن 18 ياشقا كىردىم,Je suis dix-huit ans.,.مەن 18 ياشقا كىردىم.مەن 18 ياشقا كىردىم,저는 18살입니다. 저는 18살입니다. 저는 18살입니다. 저는 18살입니다.,18 urte ditut.,.مەن 18 ياشقا كىردىم,.مەن 18 ياشقا كىردىم,.مەن 18 ياشقا كىردىم,Mi estas 18-jara. Mi estas 18-jara.
163557,702472,Colorless green ideas sleep furiously.,The idea of colorless green is going to bed madly.,Kolorerik gabeko ideia berdeek haserre egiten dute.,.ئەركەكلىك يېشىل ئىدىيەلەر ھەقىقەتەن قاتتىق ئۇخلايدۇ.ئەركەكلىك يېشىل ئىدىيەلەر ھەقىقەتەن قاتتىق ئۇخلايدۇ.ئەركەكلىك يېشىل ئىدىيەلەر ھەقىقەتەن قاتتىق ئۇخلايدۇ.ئەركەكلىك يېشىل ئىدىيەلەر ھەقىقەتەن قاتتىق ئۇخلايدۇ,အရောင်မပါတဲ့ အစိမ်းရောင် စိတ်ကူးတွေဟာ ပြင်းထန်စွာ အိပ်စက်နေတယ်။,Koloraj verdaj ideoj dormas kolere.,Las ideas verdes sin color están viejas en el enojo.,Verdaj senkoloraj ideoj dormas furiozeme.,그리고 그 모든 것을 볼 수 있습니다.,Ideia berde koloretsuak amorratuta daude.,အရောင်မဲ့ အစိမ်းရောင်စိတ်ကူးတွေဟာ ပြင်းထန်စွာ အိပ်စက်ကြတယ်။ အရောင်မဲ့ အစိမ်းရောင်စိတ်ကူးတွေဟာ ပြင်းထန်စွာ အိပ်စက်ကြတယ်။,အရောင်မဲ့ အစိမ်းရောင် စိတ်ကူးတွေဟာ ပြင်းထန်စွာ အိပ်စက်ကြတယ်။,.رەڭسىز يېشىل خىياللار ئاچچىق ئۇيقۇغا يەيدۇ.رەڭسىز يېشىل خىياللار ئاچچىق ئۇيقۇغا يەيدۇ,Senkoloraj verdaj ideoj ne dormas.
163670,703304,We're neighbors.,We're neighbors.,Bizilagunak gara.,Bizilagunak gara. Bizilagunak gara.,D lǧiran.,Ni estas najbaroj.,Nous sommes voisins.,Gertu gaude.,우리는 서로 이웃입니다.,Bizilagunak gara.,.بىز ھەقىقەتەن قوشنامىز,Bizilagunak gara.,We're neighbors.,Ni estas najbaroj.
163907,706874,Happy Mother's Day!,Happy Mother's Day!,Feliĉan Patrintagon!,Amaren eguna izan!,!مۇشۇنداق، ئانا بايرىمىغا مۇبارەك بولسۇن!,Ama Egun ona izan!,Jour de la mère heureuse!,Have a good mother's party!,"Ama, eskerrik asko beti.",Amaren eguna zoriontsua izan bedi.,Ama Egun on!,Amaren eguna zoriontsua da!,Happy mother's day!,Ama Egun on!
164129,707526,Count to thirty.,Number thirty.,Zenbatu hogeita hamar arte.,Kalkulu ĝis 30. Kalkulu ĝis 30.,Ɣas ad d-tesɛuḍ ar tlata.,၃၀ အထိ ရေတွက်ပါ ၃၀ အထိ ရေတွက်ပါ ၃၀ အထိ ရေတွက်ပါ,Comptez jusqu'à trente. Comptez jusqu'à trente.,.30 گە قەدەر ساناڭلار.30 گە قەدەر ساناڭلار.30 گە قەدەر ساناڭلار,30을 계산해봐,Count to 30.,.30غىچە سانا 30غىچە سانا,Count to 30.,Count to thirty.,Kalkulu ĝis tridek.
165980,740214,I am a woman.,I'm a woman.,Emakume bat naiz.,Emakume bat naiz.,Emakume bat naiz.,Emakume bat naiz.,Je suis une femme.,.مەن بىر ئايال.,저는 여성입니다.,Emakume bat naiz.,Emakume bat naiz.,I'm a woman. I'm a woman.,I'm a woman.,Mi estas virino.
167003,757414,I'm listening to music.,I'm listening to music.,.مېنىڭ تاماشا تىڭشىغىنىم مۇزىكا,Musika entzuten dut. Musua entzuten dut.,.مەن ھازىر ناخشا ئاڭلاۋاتىمەن,Musika entzuten ari naiz.,Je suis à l'écoute de la musique.,.مېنىڭچە، ئۇ ھازىر ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ، مەن ئۈنئالغۇنى ئاچىدۇ,저는 음악을 듣고 있습니다.,Musika entzuten ari naiz.,Mi aŭskultas muzikon.,Mi aŭskultas muzikon.,I'm listening to music.,Mi aŭskultas muzikon.
168429,785667,"You may write in any language you want. On Tatoeba, all languages are equal.","You can write in any language you want. In Tatoeba, all languages are equal. You can write in any language you want. In Tatoeba, all languages are equal.",Vi povas skribi en kiu ajn lingvo vi volas. Ĉi tie sur Tatoeba ĉiuj lingvoj estas egalaj.,Vi povas skribi en iu ajn lingvo. En Tatoeba ĉiuj lingvoj estas egalaj. Vi povas skribi en iu ajn lingvo. En Tatoeba ĉiuj lingvoj estas egalaj.,"Tzemreḍ ad taruḍ s tutlayt i tebɣiḍ. Deg Tatoeba, tutlayin akk tgeqqen.",Vi rajtas skribi ĉi tie en iu ajn lingvo. Sur Tatoeba ĉiuj lingvoj estas egalaj.,"Vous pouvez écrire dans n'importe quelle langue. En tutouba, toutes les langues sont égales.","Vi povas skribi en iu ajn lingvo, kiun vi volas. Ĉe Tatoeba ĉiuj lingvoj estas egalaj.",Kaj mi skribos ĝin en ajna lingvo.,Vi povas skribi en iu ajn lingvo. En Tatoeba ĉiuj lingvoj estas egalaj.,Tatoeba မှာ ဘာသာစကားတိုင်းကို ရေးလို့ရပါတယ်။ Tatoeba မှာ ဘာသာစကားတိုင်းဟာ တူညီပါတယ်။,"Vi povas skribi en la lingvo, kiun vi volas. En Tatoeba, ĉiuj lingvoj estas egalaj. ∙ ∙ ∙ ∙ ∙ ∙                                                                                 ",سىز خالىغان تىلدا يازالايسىز. Tatoeba نىڭ بارلىق تىللىرى ئوخشاش. سىز خالىغان تىلدا يازالايسىز. Tatoeba نىڭ بارلىق تىللىرى ئوخشاش.,Oni povas skribi en ajna lingvo. Ĉiuj lingvoj en Tatoeba estas egalaj.
168951,794758,I am not a witch.,I'm not a witch.,Mi ne estas sorĉistino.,I'm not a witch.,I'm not a witch.,Mi ne estas sorĉistino.,Je ne suis pas une sorcière.,Mi ne estas sorĉistino.,Mi ne estas sorĉistino. Mi ne estas sorĉistino.,I'm not a witch.,Mi ne estas sorĉistino.,Mi ne estas sorĉistino.,Mi ne estas sorĉistino.,Mi ne estas sorĉistino.
171915,811376,He lives alone.,He lives alone.,Li loĝas sola.,Bakarrik bizi da.,Yettɣimi weḥd-s.,Li vivas sola.,Il vit seul.,.ئۇ پەقەتلا ئۆزىدە ياشايدۇ.ئۇ پەقەتلا ئۆزىدە ياشايدۇ.ئۇ پەقەتلا ئۆزىدە ياشايدۇ,그는 혼자 살고 있습니다.,He lives alone.,Li vivas sola.,Li vivas sola.,Li vivas sola.,Li vivas sola.
172646,827295,I hate you.,I hate you. I hate you.,Gorroto zaitut.,Gorroto zaitut. Gorroto zaitut.,.مەن سىزنى ياقتۇرمايمەن.,Gorroto zaitut.,Je te déteste.,I hate you.,난 널 싫어,I hate you. I'm fucking with you.,.مەن سىزنى ھەقىقەتەنمۇ ئۆچ كۆرىمەن,.سىزدىن ئۆچمەن..سىزدىن ئۆچمەن..سىزدىن ئۆچمەن.,I hate you.,Mi malamas vin. Mi malamas vin. Mi malamas vin!
173753,847863,I'm always hungry.,I'm always hungry.,Mi ĉiam malsatas.,Beti gose naiz.,.مەن ھەرۋاقىت ئاچتىم,Mi ĉiam malsatas.,Je suis toujours affamé.,.مەن ھەرۋاقىت ئاچتىم,Mi ĉiam malsatas. Mi ĉiam malsatas.,I'm always hungry. I'm always hungry.,.مەن ھەرۋاقىت ئاچتىم.مەن ھەرۋاقىت ئاچتىم.مەن ھەرۋاقىت ئاچتىم.مەن ھەرۋاقىت تاماق يېمەكچى.مەن ھەرۋاقىت ئاچتىم.مەن ھەرۋاقىت ئاچتىم,.مەن ھەرۋاقىت ئاچتىم,Mi ĉiam malsatas.,Mi ĉiam malsatas.
174179,854500,Get lost.,"-Ez, ez.",Moztu zure burua!,Joan zaitez.,.كېلىڭلار!.كېلىڭلار!.كېلىڭلار!.كېلىڭلار!.كېلىڭلار!.كېلىڭلار!,-Ez egin zaratarik!,"Va-t'en, dégage de là.",.ماڭا بىر ئازراقمۇ نېرىلىق بولسۇن..ماڭا بىر ئازراقمۇ نېرىلىق بولسۇن.,나가세요!,"-Ez, ez dut nahi.",.سىزمۇ چەتتە بولۇڭ. (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بولۇڭ (سىز) (سىزمۇ چەتتە بولۇڭ) (سىزمۇ چەتتە بول,ရှုံးပါဦး။ ရှုံးပါဦး။,Get out of here.,Kendu gainetik.
175014,870628,Please continue.,Please continue.,Please continue. Please continue.,"Go on, please.",.كېلىڭلار، كېلىڭلار، كېلىڭلار، كېلىڭلار، كېلىڭلار، كېلىڭلار، كېلىڭلار,Bonvolu iri!,"Continuez, s'il vous plaît.",.كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كېلىڭ، كې,계속 이야기해 주세요.,"Keep going, please.",.سىزمۇ داۋاملاشتۇرۇڭ، داۋاملاشتۇرۇڭ، داۋاملاشتۇرۇڭ، داۋاملاشتۇرۇڭ، داۋاملاشتۇرۇڭ,ကျေးဇူးပြုပြီး ဆက်လုပ်ပါ။ ကျေးဇူးပြုပြီး ဆက်လုပ်ပါ။,Please keep going.,Bonvolu daŭrigi.
176212,881861,I don't have a cat.,I don't have a cat.,Mi ne havas katon.,Mi ne havas katon.,مېنىڭمۇ بىر پەللىمە يوق.,Mi ne havas katon.,Je n'ai pas de chat.,Mi ne havas katon.,저는 고양이를 가지고 있지 않습니다.,I don't have a cat.,.مېنىڭ ھېچقانداق مۈشۈكۈم يوق,.مېنىڭمۇ بىر پىيادەم يوق,Mi ne havas katon.,Mi ne havas katon.
176341,883062,Choose one.,Pick one of them.,Aukeratu bat.,Aukeratu bat.,.چۈنكى بۇ يەردە سىز بىر تال تاللايسىز,Pick one. Pick one for yourself.,Choisissez un. Choisissez un. Choisissez un.,-- بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ..بەلكى بېشىڭىزنى تۆۋەن قويۇڭ.,한 개 선택해,Please choose one.,.بىرنى تاللاڭ..بىرنى تاللاڭ..بىرنى تاللاڭ..بىرنى تاللاڭ..بىرنى تاللاڭ.,Pick one. Pick one.,Pick one of them.,Hartu bat.
177553,890415,Come!,Zatoz hona!,-Etorri hona!,"Zatoz, zatoz!",كېلىڭ، كېلىڭ,.كېلى، كېلى,Viens!,.كېلى، كېلى، كېلى,"오, 오, 오!",-Etorri hona!,!كېلى، مېنىڭ يېنىمغا كېلىڭ,Zatoz hona!,Zatoz hona!,Venu! Venu! Venu!
177627,891930,I want to die with Getter Jaani.,I want to die with John Gert.,-Jani Gotorlekin hil nahi dut.,Getter Janekin hil nahi dut.,I want to die with Getter Jaani.,I want to die with Gett Jaani.,Je veux mourir avec Ghatr Yani.,Getter Jaani နဲ့အတူ သေချင်တယ်။,게텔 요니와 함께 죽고 싶네,I want to die with Getter Jaani.,I want to die with Gettys Jaanie.,I want to die with Getter Jaani.,I want to die with Getter Jaani.,Gettar Janiren ondoan hil nahi dut.
178536,906328,Run!,"-Ez, ez.",!ئۇچقا چىق!ئۇچقا چىق!,Azkar!,!ئۇچايلى!!ئۇچايلى!!ئۇچايلى!!ئۇچايلى!,"-Ez, ez, ez.","දුවන්න, දුවන්න, දුවන්න!",!ئۇچايلى!ئۇچايلى!,도망쳐!,Get out of here!,ပြေးပါ!,!ئۇچ!ئۇچ!ئۇچ!ئۇچ!ئۇچ!ئۇچ!ئۇچ!,"Run, run!",!ئۇچايلى!
179456,914029,What do you think?,What do you think?,سىز نېمىنى ئويلاپ باقىسىز؟ سىز نېمىنى ئويلاپ باقىسىز؟ سىز نېمىنى ئويلاپ باقىسىز؟,Zer iruditzen zaizu?,سىز قانداق ئويلايدۇ؟,What do you mean?,¿Qué te parece?,سىز قانداق ئويلايدۇ؟ سىز قانداق ئويلايدۇ؟ سىز قانداق ئويلايدۇ؟,어떻게 생각하세요? 여러분도 어떻게 생각하세요? 어떻게 생각하세요? 어떻게 생각하세요?,What do you think?,سىز نېمىنى ئويلاپ باقىسىز؟,سىز نېمىنى ئويلاپ باقىسىز؟ سىز نېمىنى ئويلاپ باقىسىز؟,سىز نېمىنى ئويلاپ باقىسىز؟,Kion vi pensas? Kion vi pensas? Kion vi pensas?
