,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
145751,435750,That's a good question.,那是一個很好的問題。,Dat is een goede vraag.,Tuo on hyvä kysymys.,C'est une bonne question.,Das ist eine gute Frage.,זאת שאלה טובה.,Ez egy jó kérdés.,È una buona domanda.,よい質問だ。,To dobre pytanie.,Это хороший вопрос.,Esa es una buena pregunta.,"O, iyi bir soru.",Добре питання.
145752,435751,Lemons are sour.,檸檬是酸的。,Citroenen zijn zuur.,Sitruunat ovat happamia.,Les citrons sont acides.,Zitronen sind sauer.,לימונים הם חמוצים.,A citrom savanyú.,I limoni sono amari.,レモンは酸っぱい。,Cytryny są kwaśne.,Лимоны кислые.,Los limones son ácidos.,Limonlar ekşidir.,Лимони кислі.
145754,435754,Has something happened?,發生了什麼事嗎？,Is er iets gebeurd?,Onko jotain sattunut?,Est-il arrivé quelque chose ?,Ist etwas passiert?,משהו קרה?,Történt valami?,È successo qualcosa?,何かあったかい。,Czy coś się stało?,Что-то случилось?,¿Ha sucedido algo?,Bir şey mi oldu?,Щось трапилось?
145756,435763,Do it now.,現在就做。,Doe het nu.,Tee se nyt.,Fais-le maintenant.,Mach es jetzt!,תעשה את זה עכשיו.,Tedd meg most.,Fallo ora.,今すぐそれをやりなさい。,Zrób to teraz.,Сделай это сейчас.,¡Hazlo ya!,Onu şimdi yap.,Зроби це зараз.
145763,435772,Life is fun.,人生是有趣的。,Het leven is leuk.,Elämä on hauskaa.,La vie est amusante.,Das Leben macht Spaß.,החיים טובים.,Az élet jó móka.,La vita è divertente.,人生は楽しい。,Życie to zabawa.,Жизнь забавна.,La vida es divertida.,Yaşam eğlenceli.,Життя — це задоволення.
145785,436096,Fuck off!,滾！,Rot op!,Painu vittuun!,Va te faire foutre !,Fick dich ins Knie!,לך תזדיין!,Igyál hypót!,Vaffanculo!,クソくらえ！,Pierdol się!,Пошёл на хуй!,¡Vete a tomar por culo!,Siktir git!,Від'їбись!
145852,436243,How old are you?,你几岁了？,Hoe oud bent u?,Kuinka vanha sinä olet?,Quel âge as-tu ?,Wie alt bist du?,בן כמה אתה?,Hány éves vagy?,Quanti anni ha?,おいくつですか？,Ile masz lat?,Сколько тебе лет?,¿Cuántos años tienes?,Kaç yaşındasın?,Скільки тобі років?
145866,436275,I am tall.,我个子高。,Ik ben lang.,Olen pitkä.,Je suis grand.,Ich bin groß.,אני גבוה.,Magas vagyok.,Sono alto.,私は背が高い。,Jestem wysoki.,Я высокий.,Soy alto.,Ben uzun boyluyum.,Я високий.
145869,436281,I agree.,我同意。,Ik ben het ermee eens.,Olen samaa mieltä.,Je suis d'accord.,Ich bin einverstanden.,אני מסכים.,Egyetértek.,Io sono d'accordo.,賛成です。,Zgadzam się.,Я согласен.,Yo estoy de acuerdo.,Kabul ediyorum.,Я згодна.
145875,436293,I am a doctor.,我是医生。,Ik ben arts.,Minä olen tohtori.,Je suis médecin.,Ich bin Arzt.,אני רופא.,Orvos vagyok.,Io sono un dottore.,私は医者です。,Jestem lekarzem.,Я врач.,Soy doctora.,Ben doktorum.,Я лікар.
145935,436423,I am ready.,我准备好了。,Ik ben klaar.,Olen valmis.,Je suis prêt.,Ich bin bereit.,אני מוכן.,Kész vagyok.,Sono pronto.,私は覚悟ができている。,Jestem gotowy.,Я готов.,Yo estoy listo.,Ben hazırım.,Я готовий.
145944,436445,I am too short.,我太矮了。,Ik ben te klein.,Olen liian lyhyt.,Je suis trop petit.,Ich bin zu klein.,אני נמוכה מדי.,Túl alacsony vagyok.,Sono troppo basso di statura.,私は背が低すぎる。,Jestem zbyt niski.,Я слишком низкий.,Yo soy demasiado bajo.,Ben çok kısayım.,Я занизький.
145987,436541,I don't know what to say.,我不知道说什么。,Ik weet niet wat ik moet zeggen.,En tiedä mitä sanoa.,Je ne sais quoi dire.,"Ich weiß nicht, was ich sagen soll.",לא יודע מה לומר.,"Nem tudom, mit mondjak.",Non so cosa dire.,何と言ったら良いか分かりません。,"Nie wiem, co powiedzieć.","Я не знаю, что сказать.",No sé qué decir.,Ne söyleyeceğimi bilmiyorum.,"Не знаю, що сказати."
146366,438930,Where are my glasses?,我的眼镜在哪里？,Waar is mijn bril?,Missä lasini ovat?,Où sont mes lunettes ?,Wo ist meine Brille?,איפה משקפיי?,Hol a szemüvegem?,Dove sono i miei occhiali?,私の眼鏡はどこ？,Gdzie są moje okulary?,Где мои очки?,¿Dónde están mis gafas?,Gözlüklerim nerede?,Де мої окуляри?
146367,438940,We are happy.,我們很快樂。,We zijn gelukkig.,Olemme onnellisia.,Nous sommes heureux.,Wir sind glücklich.,אנחנו שמחים.,Boldogok vagyunk.,Siamo felici.,私たちは幸福です。,Jesteśmy szczęśliwi.,Мы счастливы.,Estamos contentos.,Biz mutluyuz.,Ми щасливі.
146452,441955,It was a terrible day.,這是糟糕的一天。,Het was een verschrikkelijke dag.,Se oli kauhea päivä.,Ce fut un jour terrible.,Es war ein furchtbarer Tag.,זה היה יום נורא.,Szörnyű nap volt.,Fu un giorno terribile.,まったくひどい日だったわ。,To był okropny dzień.,Это был ужасный день.,Fue un día terrible.,O korkunç bir gündü.,Це був жахливий день.
146472,442064,Who drew it?,誰畫的？,Wie heeft het getekend?,Kuka piirsi sen?,Qui l'a dessiné ?,Wer hat es gezeichnet?,מי צייר את זה?,Ki rajzolta ezt?,Chi lo ha disegnato?,誰が描いたんですか？,Kto to narysował?,Кто это нарисовал?,¿Quién lo dibujó?,Onu kim çizdi?,Хто це намалював?
146478,442109,Prices went up.,物價上漲。,De prijzen zijn gestegen.,Hinnat nousivat.,Les prix ont augmenté.,Die Preise sind gestiegen.,המחירים עלו.,Az árak emelkedtek.,I prezzi sono cresciuti.,物価が上がった。,Ceny poszły w górę.,Цены выросли.,Los precios subieron.,Fiyatlar yükseldi.,Ціни виросли.
146484,442130,That's a good idea.,那是一個好主意。,Dat is een goed idee.,Tuo on hyvä ajatus.,C'est une bonne idée.,Das ist eine gute Idee.,זה רעיון טוב.,Ez egy jó ötlet.,È una buona idea!,それは良い考えです。,To dobry pomysł.,Это хорошая идея.,Esa es una buena idea.,Bu iyi bir fikir.,Це добра ідея.
146503,442957,Please open the bottle.,請打開瓶子。,Open de fles alsjeblieft.,Voisitko avata pullon?,"Ouvrez la bouteille, s'il vous plait.",Bitte öffne die Flasche.,תפתח בבקשה את הבקבוק.,"Kérlek, bontsd fel az üveget!","Per favore, apri la bottiglia.",ビンをあけてください。,Proszę otworzyć butelkę.,"Пожалуйста, открой бутылку.","Por favor, abre la botella.",Lütfen şişeyi aç.,"Будь ласка, відкрий пляшку."
146505,442964,That's not fair.,那是不公平的。,Dat is niet eerlijk.,Tuo ei ole reilua.,Ce n'est pas juste.,Das ist nicht fair.,זה לא הוגן.,Ez nem helyes.,Non è giusto.,そんなのずるいよ。,To nie fair.,Так не честно.,Eso no es justo.,Bu adil değil.,Так не чесно.
146552,444986,I live here.,我住在這。,Ik woon hier.,Asun täällä.,J'habite ici.,Ich wohne hier.,אני גרה כאן.,Itt lakom.,Vivo qui.,私はここに住んでいます。,Mieszkam tutaj.,Я тут живу.,Vivo aquí.,Burada yaşıyorum.,Я тут проживаю.
146610,448320,Stop!,住手！,Stop!,Lopeta!,Ça suffit !,Stopp!,עצור!,Állj!,Stop!,やめろ！,Stój!,Стой!,¡Alto!,Dur!,Стій!
146659,448963,It's snowing.,正在下雪。,Het sneeuwt.,Sataa lunta.,Il neige.,Es schneit.,יורד שלג.,Esik a hó.,Nevica.,雪が降る。,Pada śnieg.,Снег идёт.,Está nevando.,Kar yağıyor.,Йде сніг.
146671,449023,No one knows.,沒有人知道。,Niemand weet het.,Kukaan ei tiedä.,Personne ne sait.,Das weiß niemand.,איש לא יודע.,Senki sem tudja.,Nessuno sa.,誰にも分からない。,Nikt nie wie.,Никто не знает.,Nadie sabe.,Kimse bilmiyor.,Ніхто цього не знає.
146672,449029,Catch him.,抓住他。,Pak hem.,Napatkaa hänet.,Rattrape-le.,Fang ihn.,תפוס אותו.,Kapd el!,Catturalo.,彼を捕まえて。,Złap go.,Хватай его.,Captúralo.,Onu yakalayın.,Спіймай його.
146687,449095,Do you drink coffee?,你喝咖啡嗎?,Drink je koffie?,Juotko kahvia?,Bois-tu du café ?,Trinken Sie Kaffee?,האם אתה שותה קפה?,Kávézol?,Bevi caffè?,コーヒー飲みますか。,Pijesz kawę?,Ты пьёшь кофе?,¿Bebes café?,Kahve içer misiniz?,Ти п'єш каву?
146688,449105,I eat here.,我在這裡吃。,Ik eet hier.,Syön täällä.,Je mange ici.,Ich esse hier.,אני אוכל כאן.,Itt étkezem.,Mangio qui.,ここで食べます。,Jem tutaj.,Я ем здесь.,Como aquí.,Burada yiyorum.,Я їм тут.
146692,449111,Your dog is here.,你的狗在這。,Uw hond is hier.,Koirasi on täällä.,Ton chien est là.,Hier ist dein Hund.,הכלב שלך כאן.,Itt van a kutyád.,Il tuo cane è qui.,ここに君の犬がいる。,Twój pies jest tutaj.,Ваша собака здесь.,Aquí está su perro.,Köpeğiniz burada.,Ваш пес тут.
146694,449118,This is your key.,這是您的鑰匙。,Dit is jouw sleutel.,Tämä on sinun avaimesi.,C'est ta clef.,Das ist dein Schlüssel.,זה המפתח שלך.,Ez a te kulcsod.,Questa è la tua chiave.,こちらがあなたの鍵だ。,To twój klucz.,Это твой ключ.,Ésta es tu llave.,Bu sizin anahtarınız.,Це твій ключ.
146696,449158,Keep going straight.,繼續直行。,Blijf rechtdoor gaan.,Jatka vain suoraan.,Continuez tout droit !,Geh weiter geradeaus.,תמשיך ישר.,Menj tovább egyenesen!,Continua ad andare dritto.,そのまま、まっすぐ行きなさい。,Wciąż idź prosto.,Идите вперёд.,Sigue recto.,Doğru gitmeye devam et.,Продовжуйте рухатись прямо.
146709,449699,What should I do?,我该怎么办？,Wat moet ik doen?,Mitä minun pitäisi tehdä?,Que dois-je faire ?,Was soll ich tun?,מה אני צריך לעשות?,Mit tegyek?,Cosa dovrei fare?,私は何をしたらよいでしょう。,Co mam zrobić?,Что я должен делать?,¿Qué debería hacer?,Ne yapmalıyım?,Що я повинен зробити?
146725,450074,Come if you can.,如果你能就來吧。,Kom als ge kunt.,"Tule, jos voit.",Viens si tu peux !,"Komm, wenn du kannst!","בוא, אם אתה יכול.","Jöjjön, ha tud.","Vieni, se puoi.",もし来られたら来なさい。,Chodź jeżeli możesz.,"Приходите, если сможете.",Ven si puedes.,Gel gelebilirsen.,"Приходь, якщо зможеш."
146778,451212,She has few friends.,她朋友很少。,Ze heeft weinig vrienden.,Hänellä on harvoja ystäviä.,Elle a peu d'amis.,Sie hat wenige Freunde.,יש לה כמה חברים.,Kevés barátja van.,Ha pochi amici.,彼女には友だちがほとんどいない。,Ona ma mało przyjaciół.,У неё мало друзей.,Ella tiene pocos amigos.,Onun az sayıda arkadaşı var.,У неї мало друзів.
147019,453219,Happy birthday!,生日快乐！,Gelukkige verjaardag!,Hyvää syntymäpäivää!,Bon anniversaire !,Herzlichen Glückwunsch zum Geburtstag!,יומולדת שמח!,Boldog születésnapot!,Buon compleanno!,誕生日おめでとうございます。,Wszystkiego najlepszego z okazji urodzin!,С днём рождения!,¡Feliz cumpleaños!,İyi ki doğdun!,З днем народження!
147057,453394,Love is blind.,愛是盲目的。,Liefde maakt blind.,Rakkaus on sokea.,L'amour est aveugle.,Liebe macht blind.,האהבה היא עיוורת.,A szerelem vak.,L'amore è cieco.,恋は盲目。,Miłość jest ślepa.,Любовь слепа.,El amor es ciego.,Aşk kördür.,Любов сліпа.
147078,453418,I ordered two hamburgers.,點了兩個漢堡。,Ik heb twee hamburgers besteld.,Tilasin kaksi hampurilaista.,J'ai commandé deux hamburgers.,Ich habe zwei Hamburger bestellt.,הזמנתי המבורגר פעמיים.,Két hamburgert rendeltem.,Ho ordinato due hamburger.,ハンバーグを２個注文した。,Zamówiłem dwa hamburgery.,Я заказал два гамбургера.,Ordené dos hamburguesas.,İki hamburger sipariş ettim.,Я замовив два гамбургера.
147352,454490,I don't know what to do.,我不知道該怎樣做。,Ik weet niet wat ik moet doen.,En tiedä mitä tehdä.,Je ne sais que faire.,"Ich weiß nicht, was ich tun soll.",אני לא יודע מה לעשות.,"Nem tudom, mit tegyek.",Non so cosa fare.,何をしたらいいか分からない。,"Nie wiem, co mam robić.","Я не знаю, что мне делать.",No sé qué hacer.,Ne yapılacağını bilmiyorum.,"Я не знаю, що робити."
147369,454514,"I think, therefore I am.",我思故我在。,"Ik denk, dus ik ben.","Ajattelen, siis olen.",Je pense donc je suis.,"Ich denke, also bin ich.","אני חושב, משמע אני קיים.","Gondolkodom, tehát vagyok.","Penso, quindi sono.",我思う、故に我あり。,"Myślę, więc jestem.","Я мыслю, следовательно, я существую.","Pienso, luego existo.","Düşünüyorum, öyleyse varım.","Думаю, отже існую."
147402,455290,What are you interested in?,你对什么感兴趣？,Waarvoor interesseert u zich?,Mistä olet kiinnostunut?,À quoi t'intéresses-tu ?,Wofür interessierst du dich?,במה אתה מתעניין?,Mi iránt érdeklődsz?,Di che cosa ti interessi?,あなたは何に関心が有るのですか。,Czym się interesujesz?,Что тебя интересует?,¿Qué te interesa?,Ne ile ilgileniyorsunuz?,Що тебе цікавить?
147586,456157,It was love at first sight.,那是一见钟情。,Het was liefde op het eerste gezicht.,Se oli rakkautta ensi silmäyksellä.,Ce fut l'amour au premier regard.,Es war Liebe auf den ersten Blick.,זו הייתה אהבה ממבט ראשון.,Ez szerelem volt az első látásra.,Fu amore a prima vista.,一目惚れなの。,To była miłość od pierwszego wejrzenia.,Это была любовь с первого взгляда.,Fue amor a primera vista.,O ilk görüşte aşktı.,Це було кохання з першого погляду.
147623,456237,It's raining.,下雨了。,Het regent.,Sataa.,Il pleut.,Es regnet.,יורד גשם.,Esik az eső.,Sta piovendo.,雨が降っている。,Pada deszcz.,Идёт дождь.,Llueve.,Hava yağmurlu.,Йде дощ.
147677,456357,May I help you?,我能幫你嗎？,Kan ik u helpen?,Kuinka voin auttaa?,Puis-je vous aider ?,Kann ich euch helfen?,אני יכול לעזור לך?,Segíthetek?,Posso aiutarla?,何をさし上げましょうか。,Czy mogę ci pomóc?,Могу я Вам чем-то помочь?,¿Cómo puedo servirle?,Sana yardımda bulunabilir miyim?,Вам допомогти?
147798,456627,Please speak more slowly.,請滿點說。,Spreekt u alstublieft langzamer.,Voisitko puhua hitaammin?,"S'il te plaît, parle moins vite.",Bitte sprechen Sie langsamer.,אנא תדבר יותר לאט.,"Kérlek, beszélj lassabban.","Per favore, parli più lentamente.",もっとゆっくり言ってください。,"Proszę, mów wolniej.","Пожалуйста, говорите медленнее.","Hable más despacio, por favor.",Lütfen daha yavaş konuşun.,"Будь ласка, розмовляйте повільніше."
147840,456719,She is from France.,她是法国的。,Ze komt uit Frankrijk.,Hän on kotoisin Ranskasta.,Elle vient de France.,Sie stammt aus Frankreich.,היא מצרפת.,Franciaországból származik.,Lei viene dalla Francia.,彼女はフランス出身です。,Ona jest z Francji.,Она из Франции.,Ella es de Francia.,O Fransalıdır.,Вона з Франції.
147894,457629,Hungry?,餓了嗎？,Honger?,Onko nälkä?,As-tu faim ?,Hungrig?,רעב?,Éhes?,Affamato?,お腹が空いているのですか。,Głodny?,Ты голоден?,¿Tienes hambre?,Aç mısın?,Ти голодний?
147900,457741,I trust you.,我信任你。,Ik vertrouw je.,Luotan sinuun.,Je me fie à toi.,Ich verlasse mich auf dich.,אני סומך עליך.,Bízom benned.,Mi fido di te.,任せるよ。,Ufam Ci.,Я тебе доверяю.,Confío en ti.,Sana güveniyorum.,Я тобі довіряю.
147956,460021,My favorite color is red.,我最喜欢红色。,Mijn favoriete kleur is rood.,Punainen on minun lempivärini.,Ma couleur préférée est le rouge.,Meine Lieblingsfarbe ist Rot.,הצבע האהוב עלי הוא אדום.,A kedvenc színem a piros.,Il mio colore preferito è il rosso.,私の大好きな色は赤です。,Mój ulubiony kolor to czerwony.,Мой любимый цвет - красный.,El color que me encanta es el rojo.,En sevdiğim renk kırmızı.,Мій улюблений колір — червоний.
147971,460058,I lost my key.,我钥匙丢了。,Ik ben mijn sleutel verloren.,Hukkasin avaimeni.,J'ai perdu ma clé.,Ich habe meinen Schlüssel verloren.,איבדתי את המפתח שלי.,Elvesztettem a kulcsomat.,Ho perso la mia chiave.,私は自分の鍵をなくした。,Zgubiłem mój klucz.,Я потерял свой ключ.,He perdido la llave.,Anahtarımı kaybettim.,Я загубив свій ключ.
147996,460198,Crazy!,疯了！,Gek!,Hullu!,J'hallucine !,Verrückt!,משוגע!,Őrült!,Pazzo!,クレイジー！,Zwariowany!,Сумасшедший!,¡Chalado!,Çılgın!,Здуріти!
148175,461908,Where is your dog?,你的狗在哪儿？,Waar is jouw hond?,Missä koirasi on?,Où est ton chien ?,Wo ist dein Hund?,איפה הכלב שלך?,Hol van a kutyád?,Dov'è il tuo cane?,あなたの犬はどこですか。,Gdzie twój pies?,Где твоя собака?,¿Dónde está tu perro?,Köpeğin nerede?,Де твій собака?
148228,462430,Shut up!,閉嘴！,Zwijg!,Turpa kiinni!,Taisez-vous !,Halt den Mund!,שתוק!,Kuss!,Stai zitto!,黙れ！,Zamknij się!,Заткнись!,¡Cállate!,Kapa çeneni!,Замовкни!
148248,462476,Stay there.,留在这里别动。,Blijf hier.,Pysy siellä.,Restez là.,Bleib da!,תישארו שם.,Maradj ott!,Stai lì.,そこにいて。,Zostań tam.,Стой там.,Quédese allí.,Orada kal.,Залишайтеся там.
148271,462526,That hurts.,真疼。,Dat doet pijn.,Tuo sattuu.,Ça fait mal.,Das tut weh.,זה מכאיב.,Az fáj.,Fa male.,痛いです。,To boli.,Больно.,Me duele.,O acıtıyor.,Боляче.
148296,462578,"The bill, please.",买单。,"De rekening, alstublieft.","Lasku, kiitos.","L'addition, s'il vous plait.",Die Rechnung bitte.,חשבון בבקשה.,A számlát kérem!,"Il conto, per favore.",勘定お願いします。,Poproszę o rachunek!,"Счет, пожалуйста.","La cuenta, por favor.","Hesap, lütfen.",Прошу рахунок.
148342,462670,The customer is always right.,顧客永遠是對的。,De klant heeft altijd gelijk.,Asiakas on aina oikeassa.,Le client a toujours raison.,Der Kunde hat immer Recht.,הלקוח תמיד צודק.,A vevőnek mindig igaza van.,Il cliente ha sempre ragione.,客の言うことはいつも正しい。,Klient ma zawsze rację.,Клиент всегда прав.,El cliente siempre tiene razón.,Müşteri her zaman haklıdır.,Клієнт завжди правий.
148756,464282,Turn around.,转过来。,Draai je om.,Käänny ympäri.,Faites demi-tour.,Dreh um.,הסתובב.,Fordulj meg!,Giratevi.,振り向いて。,Odwróć się.,Повернись.,Da la vuelta.,Arkanı dön.,Обернися.
148760,464290,Turn right.,向右转。,Sla rechtsaf.,Käänny oikealle.,Tournez à droite.,Rechts abbiegen!,סוב ימינה.,Fordulj jobbra!,Gira a destra.,右に曲がって。,Skręć w prawo.,Поверни направо.,Doble a la derecha.,Sağa dön.,Поверніть направо.
148778,464330,Wash your hands.,洗你們的手。,Was je handen.,Peskää kätenne.,Lave-toi les mains.,Wasch dir die Hände.,תשטוף ידיים.,Moss kezet!,Lavati le mani.,手を洗いなさい。,Umyj ręce.,Вымой руки.,Lávense las manos.,Ellerinizi yıkayın.,Помий руки.
148881,464546,What do you need?,你需要什麼?,Wat heb je nodig?,Mitä sinä tarvitset?,De quoi avez-vous besoin ?,Was brauchen Sie?,מה אתה צריך?,Mire van szükséged?,Cosa ti serve?,何が必要ですか。,Czego potrzebujesz?,Что тебе нужно?,¿Qué necesitas?,Neye ihtiyacın var?,Що тобі потрібно?
148890,464566,What does this mean?,這是甚麼意思？,Wat betekent dat?,Mitä tämä tarkoittaa?,Qu'est-ce que cela signifie ?,Was bedeutet das?,מה פירוש הדבר?,Mit jelent ez?,Questo cosa significa?,これはどういう意味ですか。,Co to oznacza?,Что это значит?,¿Qué quiere decir esto?,Bu ne anlama gelir?,Що це означає?
149029,466624,What's your phone number?,你电话号码是多少？,Wat is jouw telefoonnummer?,Mikä sinun puhelinnumerosi on?,Quel est votre numéro de téléphone ?,Wie lautet deine Telefonnummer?,מה מספר הטלפון שלך?,Mi a telefonszámod?,Che numero di telefono hai?,電話番号は何番ですか。,Jaki jest twój numer telefonu?,Назови свой номер телефона.,¿Cuál es tu número de teléfono?,Telefon numaran nedir?,Який в тебе номер телефону?
149039,466728,Please wait five minutes.,請稍等五分鐘。,Wacht alstublieft vijf minuten.,Odota viisi minuuttia.,Veuillez attendre pendant cinq minutes.,Bitte warten Sie fünf Minuten.,נא לחכות חמש דקות.,"Kérem, várjon öt percet.","Per piacere, aspetta cinque minuti.",５分お待ちください。,Proszę poczekać pięć minut.,"Пожалуйста, подождите пять минут.","Por favor, espere cinco minutos.",Lütfen beş dakika bekle.,"Будь ласка, зачекайте п’ять хвилин."
149057,467339,Iron is a useful metal.,铁是个有用的金属。,IJzer is een nuttig metaal.,Rauta on hyödyllinen metalli.,Le fer est un métal utile.,Eisen ist ein nützliches Metall.,ברזל זו מתכת שימושית.,A vas hasznos fém.,Il ferro è un metallo utile.,鉄は有用な金属です。,Żelazo to pożyteczny metal.,Железо — полезный металл.,El hierro es un metal útil.,Demir yararlı bir metaldir.,Залізо - корисний метал.
149075,467672,Where is your father?,你父亲在哪儿？,Waar is je vader?,Missä sinun isäsi on?,Où est ton père ?,Wo ist dein Vater?,איפה אביך?,Hol van apád?,Dov'è tuo padre?,あなたのお父さんはどこにいますか。,Gdzie jest twój ojciec?,Где твой отец?,¿Dónde está tu padre?,Baban nerede?,Де твій батько?
149123,469126,She's my sister.,她是我的姊妹。,Zij is mijn zuster.,Hän on minun siskoni.,C'est ma sœur.,Sie ist meine Schwester.,היא אחותי.,Ő a húgom.,È mia sorella.,彼女は私の姉です。,Ona jest moją siostrą.,Она моя сестра.,Ella es mi hermana.,"O, benim kız kardeşim.",Вона мені сестра.
149236,471780,Let's take a short break.,讓我們休息一會兒。,Laten we een korte pauze nemen.,Pidetään pieni tauko.,Faisons une courte pause.,Lasst uns eine kurze Pause machen.,בואו נעשה הפסקה קצרה.,Tartsunk egy rövid szünetet.,Facciamo una breve pausa.,一息いれようよ。,Zróbmy sobie krótką przerwę.,Давайте возьмем короткий перерыв.,Tomémonos un pequeño descanso.,Birkaç günlük bir tatile çıkalım.,Давайте зробимо коротку перерву.
149256,472091,I study Korean.,我学韩语。,Ik studeer Koreaans.,Minä opiskelen koreaa.,J'étudie le coréen.,Ich studiere Koreanisch.,אני לומד קוריאנית.,Koreaiul tanulok.,Studio coreano.,私は韓国語を勉強します。,Uczę się koreańskiego.,Я изучаю корейский.,Estudio coreano.,Korece çalışıyorum.,Я вивчаю корейську.
149275,472431,I was wrong.,我搞错了。,Ik was fout.,Olin väärässä.,Je me suis trompé.,Ich habe mich geirrt.,טעיתי.,Tévedtem.,Mi sono sbagliato.,私が間違っていました。,Myliłem się.,Я ошибся.,Estaba equivocado.,Hatalıydım.,Я помилився.
149288,473177,"Hi, how are you?",嗨，你怎么样？,"Hé, hoe gaat het met je?","Terve, mitä kuuluu?","Salut, comment ça va ?",Hallo! Wie geht’s?,"שלום, מה שלומך?",Halló! Hogy vagy?,"Ciao, come stai?",こんにちは、お元気ですか？,Cześć! Jak się masz?,"Привет, как дела?","Hola, ¿qué tal?","Merhaba, nasılsın?","Привіт, як справи?"
149538,477061,No.,不是。,Nee.,Ei.,Non.,Nö.,לא.,Nem.,No.,いいえ。,Nie.,Нет.,No.,Hayır.,Ні.
149541,477086,Yes.,是的。,Ja.,Kyllä.,Oui.,Ja.,כן.,Igen.,Sì.,はい。,Tak.,Да.,Sí.,Evet.,Так.
149667,478255,He closed the door.,他关了门。,Hij sloot de deur.,Hän sulki oven.,Il a fermé la porte.,Er schloss die Tür.,הוא סגר את הדלת.,Becsukta az ajtót.,Ha chiuso la porta.,彼はドアを閉めた。,On zamknął drzwi.,Он закрыл дверь.,Cerró la puerta.,"O, kapıyı kapattı.",Він зачинив двері.
149694,478568,I have no friends.,我没有朋友。,Ik heb geen vrienden.,Minulla ei ole ystäviä.,Je n'ai pas d'amis.,Ich habe keine Freunde.,אין לי חברים.,Nincsenek barátaim.,Non ho amici.,私は友達がいない。,Nie mam przyjaciół.,У меня нет друзей.,No tengo amigos.,Hiç arkadaşım yok.,У мене немає друзів.
149808,481593,Are they friends?,他们是朋友吗？,Zijn ze vrienden?,Ovatko he ystäviä?,Sont-ils amis ?,Sind sie befreundet?,האם הם חברים?,Ők barátok?,Sono amici?,彼らは友達なんですか。,Czy oni są przyjaciółmi?,Они друзья?,¿Son amigos?,Onlar arkadaş mı?,А вони друзі?
149868,482303,Where is my book?,我的書在哪裏？,Waar is mijn boek?,Missä minun kirjani on?,Où est mon livre ?,Wo ist mein Buch?,איפה הספר שלי?,Hol van a könyvem?,Dov'è il mio libro?,私の本はどこにありますか。,Gdzie jest moja książka?,Где моя книжка?,¿Dónde está mi libro?,Kitabım nerede?,Де моя книга?
149949,483350,Guns don't kill people. People kill people.,槍不會殺人。人才會殺人。,Pistolen doden geen mensen. Mensen doden mensen.,Aseet eivät tapa ihmisiä. Ihmiset tappavat ihmisiä.,"Ce ne sont pas les armes qui tuent les hommes, ce sont les hommes qui tuent les hommes.",Waffen töten keine Menschen. Menschen töten Menschen.,נשק לא הורג אנשים. אנשים הורגים אנשים.,A fegyverek nem ölnek embereket. Emberek ölnek embereket.,Le pistole non uccidono le persone. Le persone uccidono le persone.,銃が人を殺すのではない。人が人を殺すのだ。,To nie pistolety zabijają ludzi. Ludzie zabijają ludzi.,Оружие не убивает людей. Люди убивают людей.,Las armas no matan gente. La gente mata gente.,Silahlar insanları öldürmez. İnsanlar insanları öldürür.,Зброя не вбиває людей. Люди вбивають людей.
150041,484648,Drive safely.,安全地駕駛。,Rijd veilig!,Aja varovaisesti.,Conduis prudemment !,Fahr sicher!,נהג בצורה בטוחה.,Vezess biztonságosan!,Guida con prudenza.,気をつけて運転してください。,Jedź ostrożnie.,Едь осторожнее.,Conduzca con cuidado.,Güvenli sür.,Безпечної поїздки.
150094,485099,Thanks anyway.,还是要说谢谢的。,Toch bedankt.,Kiitos kuitenkin.,Merci tout de même.,Danke trotzdem.,תודה על כל פנים.,Mindenesetre köszönöm.,Grazie comunque.,とにかく有難う。,W każdym razie dzięki.,В любом случае спасибо.,Gracias de todas formas.,Yine de teşekkürler.,"У будь якому разі, дякую."
150159,486448,I must go now.,我現在必須走了。,Ik moet nu gaan.,Minun pitää mennä nyt.,Je dois partir maintenant.,Ich muss jetzt gehen.,אני מוכרח ללכת עכשיו.,Most mennem kell.,Devo andare adesso.,もう行かなければなりません。,Teraz muszę już iść.,Сейчас я должен идти.,Ya me tengo que ir.,Şimdi gitmeliyim.,Зараз мені треба йти.
150190,487006,Cheers!,干杯！,Bedankt!,Kippis!,Santé !,Prost!,לחיים!,Egészségére!,Alla vostra!,乾杯！,Na zdrowie!,За здоровье!,¡Salud!,Şerefe!,Будьмо!
150242,487828,Swimming is easy.,游泳很容易。,Zwemmen is gemakkelijk.,Uiminen on iisiä.,"Nager, c'est facile.",Schwimmen ist leicht.,קל לשחות.,Úszni könnyű.,Nuotare è facile.,泳ぐことはやさしい。,Pływanie jest łatwe.,Плавать легко.,Nadar es fácil.,Yüzme kolaydır.,Плавати легко.
150457,493028,Do you know the answer?,你知道答案嗎?,Weet je het antwoord?,Tiedätkö sinä vastauksen?,Tu connais la réponse ?,Kennst du die Antwort?,אתה יודע את התשובה?,Tudod a választ?,Sai la risposta?,君は答えがわかるって？,Znasz odpowiedź?,Ты знаешь ответ?,¿Sabes la respuesta?,Cevabı biliyor musun?,Ти знаєш відповідь?
