,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
146366,438930,Where are my glasses?,Waar is mijn bril?,Missä lasini ovat?,Où sont mes lunettes ?,Wo ist meine Brille? | Wo ist denn meine Brille?,איפה משקפיי? | איפה המשקפיים שלי?,Hol a szemüvegem?,Dove sono i miei occhiali? | Dove si trovano i miei occhiali?,私の眼鏡はどこ？ | 私のメガネはどこにありますか。 | わしのメガネはどこにいったんだ？,我的眼镜在哪里？,Gdzie są moje okulary?,Onde estão meus óculos? | Cadê meu óculos?,Где мои очки?,¿Dónde están mis gafas?,Gözlüklerim nerede? | Gözlüğüm nerede?,Де мої окуляри?
146367,438940,We are happy.,We zijn gelukkig. | We zijn tevreden.,Olemme onnellisia. | Me olemme onnellisia.,Nous sommes heureux.,Wir sind glücklich.,אנחנו שמחים. | אנו מאושרים. | אנחנו מאושרים.,Boldogok vagyunk.,Siamo felici. | Noi siamo felici.,私たちは幸福です。,我們很快樂。,Jesteśmy szczęśliwi.,Somos felizes. | Nós somos felizes.,Мы счастливы.,Estamos contentos. | Somos felices.,Biz mutluyuz.,Ми щасливі.
146452,441955,It was a terrible day.,Het was een verschrikkelijke dag.,Se oli kauhea päivä. | Se oli kauhee päivä.,Ce fut un jour terrible. | Quelle journée épouvantable.,Es war ein furchtbarer Tag. | Es war ein schrecklicher Tag.,זה היה יום נורא.,Szörnyű nap volt.,Fu un giorno terribile.,まったくひどい日だったわ。 | ひどい日だった。,這是糟糕的一天。,To był okropny dzień.,Foi um dia terrível.,Это был ужасный день. | Ужасный день был. | Был ужасный день. | Ужасный был день.,Fue un día terrible.,O korkunç bir gündü.,Це був жахливий день.
146472,442064,Who drew it?,Wie heeft het getekend?,Kuka piirsi sen?,Qui l'a dessiné ?,Wer hat es gezeichnet? | Wer hat das gezeichnet?,מי צייר את זה?,Ki rajzolta ezt?,Chi lo ha disegnato? | Chi l'ha disegnato? | Chi l'ha disegnata? | Chi lo disegnò? | Chi la disegnò?,誰が描いたんですか？ | 誰が描いたの？,誰畫的？,Kto to narysował?,Quem desenhou?,Кто это нарисовал?,¿Quién lo dibujó?,Onu kim çizdi?,Хто це намалював?
146478,442109,Prices went up.,De prijzen zijn gestegen. | De prijzen gingen omhoog.,Hinnat nousivat.,Les prix ont augmenté. | Les prix montèrent.,Die Preise sind gestiegen.,המחירים עלו. | מחירים עלו.,Az árak emelkedtek. | Megemelkedtek az árak.,I prezzi sono cresciuti.,物価が上がった。,物價上漲。,Ceny poszły w górę.,Os preços aumentaram. | Os preços subiram.,Цены выросли.,Los precios subieron.,Fiyatlar yükseldi.,Ціни виросли.
146484,442130,That's a good idea.,Dat is een goed idee.,Tuo on hyvä ajatus. | Sepä vasta hyvä idea. | Hyvä ajatus!,C'est une bonne idée.,Das ist eine gute Idee.,זה רעיון טוב.,Ez egy jó ötlet. | Ez jó ötlet.,È una buona idea!,それは良い考えです。 | それはいいアイデアだ。 | そりゃいい考えだ。 | いい案だ！ | そいつは名案だ。 | いい考えだね。 | 名案だ。 | 名案です。 | 良い考えだね！,那是一個好主意。,To dobry pomysł.,Essa é uma boa ideia.,Это хорошая идея. | Хорошая идея.,Esa es una buena idea.,Bu iyi bir fikir.,Це добра ідея. | Гарна ідея. | Добра ідея.
146503,442957,Please open the bottle.,Open de fles alsjeblieft.,Voisitko avata pullon?,"Ouvrez la bouteille, s'il vous plait.",Bitte öffne die Flasche. | Mach bitte die Flasche auf.,תפתח בבקשה את הבקבוק.,"Kérlek, bontsd fel az üveget!","Per favore, apri la bottiglia. | Per piacere, apri la bottiglia. | Per favore, apra la bottiglia. | Per piacere, apra la bottiglia. | Per piacere, aprite la bottiglia. | Per favore, aprite la bottiglia.",ビンをあけてください。,請打開瓶子。,Proszę otworzyć butelkę.,Por favor abra a garrafa.,"Пожалуйста, открой бутылку. | Пожалуйста, откройте бутылку. | Откройте бутылку, пожалуйста. | Открой, пожалуйста, бутылку. | Открой бутылку, пожалуйста. | Откройте, пожалуйста, бутылку.","Por favor, abre la botella.",Lütfen şişeyi aç.,"Будь ласка, відкрий пляшку. | Будь ласка, відкрийте пляшку. | Відкрий пляшку, будь ласка. | Відкрийте пляшку, будь ласка. | Будь ласка, відкоркуй пляшку. | Будь ласка, відкоркуйте пляшку."
146505,442964,That's not fair.,Dat is niet eerlijk.,Tuo ei ole reilua. | Se ei ole reilua. | Se on epäreilua.,Ce n'est pas juste. | C'est injuste.,Das ist nicht fair. | Das ist ungerecht. | Das ist nicht glatt.,זה לא הוגן.,Ez nem helyes. | Ez nem igazságos. | Az nem becsületes.,Non è giusto. | È ingiusto.,そんなのずるいよ。 | それは公平ではない。,那是不公平的。,To nie fair.,Isso não é justo. | Não é justo.,Так не честно. | Это нечестно. | Это несправедливо.,Eso no es justo. | Eso es injusto.,Bu adil değil.,Так не чесно. | Це нечесно. | Це несправедливо.
146552,444986,I live here.,Ik woon hier.,Asun täällä. | Minä asun täällä. | Minä elän täällä. | Elän täällä.,J'habite ici.,Ich wohne hier. | Ich lebe hier. | Ich bin hier zu Hause.,אני גרה כאן. | אני גר כאן.,Itt lakom. | Én itt élek. | Én itt lakom. | Itt élek.,Vivo qui. | Vivo qua. | Io vivo qui. | Io vivo qua. | Abito qui. | Io abito qui. | Abito qua. | Io abito qua.,私はここに住んでいます。,我住在這。 | 我住在这里。,Mieszkam tutaj.,Eu moro aqui. | Eu vivo aqui. | Moro aqui.,Я тут живу. | Я здесь живу. | Здесь я живу. | Я живу здесь.,Vivo aquí. | Yo vivo aquí.,Burada yaşıyorum.,Я тут проживаю. | Я тут мешкаю. | Я тут живу.
146610,448320,Stop!,Stop! | Halt! | Stop. | Hou daarmee op! | Blijf stilstaan! | Hou op. | Hou op! | Geen beweging!,Lopeta! | Seis! | Pysähdy!,Ça suffit ! | Stop ! | Arrête-toi !,Stopp! | Halt! | Anhalten! | Stop!,עצור!,Állj!,Stop! | Fermati! | Si fermi! | Fermatevi!,やめろ！ | 止まれ！ | やめて！,住手！ | 站住！ | 停止！,Stój! | Zatrzymaj się!,Pare! | Parem! | Parada! | Ponto! | Para!,Стой! | Стоп! | Остановитесь! | Остановись!,¡Alto! | ¡Parad! | ¡Para! | ¡Pare!,Dur! | Bırak!,Стій! | Зупинись! | Зупиніться!
146659,448963,It's snowing.,Het sneeuwt. | Het is aan het sneeuwen.,Sataa lunta.,Il neige.,Es schneit.,יורד שלג.,Esik a hó. | Havazik. | Hull a hó.,Nevica.,雪が降る。 | 雪がふっています。 | 雪が降っている。 | 雪が降っています。,正在下雪。 | 下雪了。,Pada śnieg.,Está nevando. | Neva.,Снег идёт. | Идёт снег. | Идет снег.,Está nevando.,Kar yağıyor.,Йде сніг. | Падає сніг. | Сніжить.
146671,449023,No one knows.,Niemand weet het.,Kukaan ei tiedä.,Personne ne sait.,Das weiß niemand. | Niemand weiß es.,איש לא יודע. | אף אחד לא יודע.,"Senki sem tudja. | Nem tudja senki. | Nincs, aki tudja. | Senki se tudja megmondani. | Senki nem tudja.",Nessuno sa. | Nessuno lo sa.,誰にも分からない。 | 誰も知らないよ。,沒有人知道。 | 谁也不知道。,Nikt nie wie.,Ninguém sabe. | Ninguém faz ideia.,Никто не знает.,Nadie sabe.,Kimse bilmiyor.,Ніхто цього не знає. | Ніхто не знає.
146672,449029,Catch him.,Pak hem.,Napatkaa hänet. | Ottakaa hänet kiinni. | Nappaa hänet. | Ota hänet kiinni.,Rattrape-le. | Attrape-le ! | Saisissez-le.,Fang ihn.,תפוס אותו.,Kapd el! | Fogd meg!,Catturalo. | Lo catturi. | Catturatelo.,彼を捕まえて。 | 彼を捕まえろ。,抓住他。,Złap go.,Detenham-no. | Pegue-o. | Peguem-no.,Хватай его. | Лови его. | Ловите его.,Captúralo. | Captúrenlo. | Atrápenlo. | Atrápalo.,Onu yakalayın. | Yakala onu! | Yakala onu. | Onu yakala!,Спіймай його.
146687,449095,Do you drink coffee?,Drink je koffie? | Drinkt u koffie?,Juotko kahvia? | Juotko sinä kahvia? | Juotteko te kahvia? | Juotteko kahvia?,Bois-tu du café ? | Buvez-vous du café ?,Trinken Sie Kaffee? | Trinkst du einen Kaffee? | Trinkst du Kaffee? | Trinkt ihr Kaffee?,האם אתה שותה קפה? | אתה שותה קפה?,Kávézol? | Iszol kávét?,Bevi caffè? | Beve caffè? | Bevete caffè? | Bevi il caffè? | Beve il caffè? | Bevete il caffè? | Tu bevi caffè? | Tu bevi il caffè? | Lei beve caffè? | Lei beve il caffè? | Voi bevete caffè? | Voi bevete il caffè?,コーヒー飲みますか。 | コーヒーを飲みますか。 | コーヒーを飲むの？ | コーヒー、飲む？ | コーヒー飲んだりする？,你喝咖啡嗎? | 你喝咖啡吗？,Pijesz kawę?,Você bebe café? | Bebes café? | Você toma café? | Vocês tomam café?,Ты пьёшь кофе? | Вы пьёте кофе? | Ты кофе пьёшь? | Вы кофе пьёте? | Вы пьете кофе?,¿Bebes café? | ¿Tomás café? | ¿Bebéis café? | ¿Usted toma café?,Kahve içer misiniz?,Ти п'єш каву? | Ви п'єте каву?
146688,449105,I eat here.,Ik eet hier.,Syön täällä. | Syön tässä.,Je mange ici.,Ich esse hier.,אני אוכל כאן. | פה אני אוכלת. | אני אוכלת פה.,Itt étkezem. | Itt fogyasztom el. | Itt szoktam enni. | Én itt eszem.,Mangio qui. | Mangio qua. | Io mangio qui. | Io mangio qua.,ここで食べます。 | 私はここで食べます。,我在這裡吃。 | 我在这里吃饭。,Jem tutaj.,Eu como aqui.,Я ем здесь. | Я здесь ем.,Como aquí. | Yo como aquí.,Burada yiyorum.,Я їм тут.
146692,449111,Your dog is here.,Uw hond is hier.,Koirasi on täällä.,Ton chien est là.,Hier ist dein Hund. | Dein Hund ist hier.,הכלב שלך כאן. | הכלב שלכם נמצא פה.,Itt van a kutyád.,Il tuo cane è qui. | Il tuo cane è qua. | Il suo cane è qui. | Il suo cane è qua. | Il vostro cane è qui. | Il vostro cane è qua.,ここに君の犬がいる。 | あなたの犬はここにいます。,你的狗在這。,Twój pies jest tutaj. | Tu jest twój pies.,Seu cachorro está aqui.,Ваша собака здесь. | Твоя собака здесь. | Вот ваша собака. | Вот твоя собака.,Aquí está su perro. | Tu perro está aquí. | Aquí está tu perro. | Vuestro perro está aquí. | Tu perro está acá.,Köpeğiniz burada. | Köpeğin burada.,Ваш пес тут. | Ось ваш пес.
146694,449118,This is your key.,Dit is jouw sleutel. | Dit is uw sleutel. | Dit is jullie sleutel. | Dit is je sleutel.,Tämä on sinun avaimesi. | Tää on sun avain.,C'est ta clef. | C'est votre clé.,Das ist dein Schlüssel.,זה המפתח שלך.,Ez a te kulcsod.,Questa è la tua chiave. | Questa è la sua chiave. | Questa è la vostra chiave.,こちらがあなたの鍵だ。,這是您的鑰匙。,To twój klucz.,Essa é a sua chave. | Esta é a sua chave.,Это твой ключ. | Вот ваш ключ. | Вот твой ключ. | Это ваш ключ. | Вот Ваш ключ.,Ésta es tu llave. | Esta es vuestra llave.,Bu sizin anahtarınız.,Це твій ключ. | Це ваш ключ.
146709,449699,What should I do?,Wat moet ik doen?,Mitä minun pitäisi tehdä?,Que dois-je faire ? | Que devrais-je faire ? | Qu'attendez-vous de moi ? | Qu'est-ce qu'il faut faire ?,Was soll ich tun?,מה אני צריך לעשות? | מה עליי לעשות? | מה אני צריכה לעשות?,Mit tegyek? | Mit csináljak? | Mit kellene tennem?,Cosa dovrei fare? | Che cosa dovrei fare? | Che dovrei fare?,私は何をしたらよいでしょう。 | どうしよ～。 | どうすればいいんだ。 | どうしましょう。 | どうしたらいいんだろう？,我该怎么办？ | 我该做什么？,Co mam zrobić? | Co powinienem zrobić?,O que eu deveria fazer? | O que devo fazer?,Что я должен делать? | Что я должна делать? | Что мне делать?,¿Qué debería hacer?,Ne yapmalıyım?,Що я повинен зробити? | Що я повинна зробити? | Що мені слід зробити?
146725,450074,Come if you can.,Kom als ge kunt. | Kom als je kunt.,"Tule, jos voit. | Tule, jos pystyt.","Viens si tu peux ! | Venez, si vous pouvez !","Komm, wenn du kannst! | Komm wenn du kannst!","בוא, אם אתה יכול.","Jöjjön, ha tud. | Gyere, ha tudsz.","Vieni, se puoi. | Venga, se può. | Venite, se potete.",もし来られたら来なさい。,如果你能就來吧。 | 你能来就来!,Chodź jeżeli możesz.,Venha se puder!,"Приходите, если сможете. | Приходи, если сможешь.",Ven si puedes.,Gel gelebilirsen.,"Приходь, якщо зможеш."
146778,451212,She has few friends.,Ze heeft weinig vrienden. | Zij heeft weinig vrienden.,Hänellä on harvoja ystäviä.,Elle a peu d'amis. | Elle a peu d'amies.,Sie hat wenige Freunde.,יש לה כמה חברים. | יש לה מעט ידידים. | יש לה ידידים מעטים.,Kevés barátja van.,Ha pochi amici. | Lei ha pochi amici. | Ha poche amiche. | Lei ha poche amiche.,彼女には友だちがほとんどいない。,她朋友很少。,Ona ma mało przyjaciół.,Ela tem poucos amigos.,У неё мало друзей. | У неё мало подруг.,Ella tiene pocos amigos. | Tiene pocas amigas.,Onun az sayıda arkadaşı var.,У неї мало друзів.
147019,453219,Happy birthday!,Gelukkige verjaardag! | Gefeliciteerd met je verjaardag!,Hyvää syntymäpäivää!,Bon anniversaire ! | Joyeux anniversaire ! | Joyeux anniversaire.,Herzlichen Glückwunsch zum Geburtstag! | Alles Gute zum Geburtstag!,יומולדת שמח!,Boldog születésnapot! | Boldog születésnapot kívánok!,Buon compleanno! | Felice compleanno!,誕生日おめでとうございます。 | 誕生日、おめでとう。 | お誕生日おめでとうございます。 | 誕生日おめでとう。,生日快乐！,Wszystkiego najlepszego z okazji urodzin!,Feliz aniversário!,С днём рождения! | С днюхой!,¡Feliz cumpleaños!,İyi ki doğdun! | Doğum günün kutlu olsun! | Doğum günün kutlu olsun.,З днем народження! | Многая літа!
147057,453394,Love is blind.,Liefde maakt blind. | Liefde is blind.,Rakkaus on sokea. | Rakkaus on sokeaa.,L'amour est aveugle.,Liebe macht blind. | Liebe ist blind.,האהבה היא עיוורת. | האהבה עיוורת.,A szerelem vak.,L'amore è cieco.,恋は盲目。 | 愛は盲目。 | 痘痕も靨。,愛是盲目的。 | 恋爱使人盲目。 | 爱情是盲目的。,Miłość jest ślepa.,O amor é cego.,Любовь слепа.,El amor es ciego.,"Aşk kördür. | Aşk, doğası gereği kördür. | Aşk doğal olarak kördür. | Aşkın gözü kördür.",Любов сліпа. | Кохання сліпе.
147078,453418,I ordered two hamburgers.,Ik heb twee hamburgers besteld.,Tilasin kaksi hampurilaista.,J'ai commandé deux hamburgers. | Je commandais deux hamburgers.,Ich habe zwei Hamburger bestellt.,הזמנתי המבורגר פעמיים. | הזמנתי שני המבורגרים.,Két hamburgert rendeltem.,Ho ordinato due hamburger.,ハンバーグを２個注文した。 | ハンバーガーを二つ注文した。 | ハンバーガーを二個注文した。,點了兩個漢堡。,Zamówiłem dwa hamburgery.,Eu pedi dois hambúrgueres.,Я заказал два гамбургера. | Я заказала два гамбургера.,Ordené dos hamburguesas.,İki hamburger sipariş ettim.,Я замовив два гамбургера.
147352,454490,I don't know what to do.,Ik weet niet wat ik moet doen.,En tiedä mitä tehdä.,Je ne sais que faire. | Je ne sais pas quoi faire.,"Ich weiß nicht, was ich tun soll.",אני לא יודע מה לעשות. | אינני יודע מה אני צריך לעשות. | אני לא יודעת מה עליי לעשות. | אני לא יודעת מה לעשות. | אני לא יודע מה עליי לעשות.,"Nem tudom, mit tegyek. | Nem tudom, mitévő legyek.",Non so cosa fare. | Non so che fare. | Io non so che fare. | Non so che cosa fare. | Io non so che cosa fare. | Io non so cosa fare.,何をしたらいいか分からない。 | 私はどうしてよいのかわかりません。 | 私は、何をすべきかわからない。 | 何をすればよいのかわからない。 | 何をしてよいかわからない。 | 何をしたらいいのかわかりません。 | どうしたらいいのかわからない。,我不知道該怎樣做。,"Nie wiem, co mam robić.",Não sei o que fazer. | Eu não sei o que fazer.,"Я не знаю, что мне делать. | Я не знаю, что делать.",No sé qué hacer.,Ne yapılacağını bilmiyorum. | Ne yapacağımı bilmiyorum.,"Я не знаю, що робити."
147369,454514,"I think, therefore I am.","Ik denk, dus ik ben. | Ik denk, dus ik besta.","Ajattelen, siis olen.","Je pense donc je suis. | Je pense, donc je suis. | Je pense, donc j'existe. | Je pense donc j'existe.","Ich denke, also bin ich.","אני חושב, משמע אני קיים.","Gondolkodom, tehát vagyok.","Penso, quindi sono. | Penso, dunque sono.",我思う、故に我あり。 | 我思う、ゆえに我あり。,我思故我在。 | 我思，故我在。,"Myślę, więc jestem.","Penso, logo existo. | Penso, logo sou. | Eu penso, portanto existo.","Я мыслю, следовательно, я существую. | Я мыслю - следовательно, я существую. | Мыслю, следовательно, существую. | Мыслю, следовательно — существую.","Pienso, luego existo. | Pienso, por lo tanto existo.","Düşünüyorum, öyleyse varım.","Думаю, отже існую. | Я мислю, отже, я існую."
147402,455290,What are you interested in?,Waarvoor interesseert u zich? | Waarvoor interesseer je je? | Waarvoor interesseren jullie je? | Waarin ben je geïnteresseerd? | Waar bent u in geïnteresseerd?,Mistä olet kiinnostunut?,À quoi t'intéresses-tu ? | À quoi vous intéressez-vous ? | Qu'est-ce qui vous intéresse ?,Wofür interessierst du dich? | Für was interessieren Sie sich? | Wofür interessiert ihr euch? | Woran bist du interessiert?,במה אתה מתעניין?,Mi iránt érdeklődsz? | Mi érdekel téged?,Di che cosa ti interessi? | A cosa sei interessato? | A cosa sei interessata? | A cosa è interessato? | A cosa è interessata? | A cosa siete interessati? | A cosa siete interessate?,あなたは何に関心が有るのですか。,你对什么感兴趣？,Czym się interesujesz? | Czym się interesujecie?,Em que você se interessa? | Em que estás interessado?,Что тебя интересует? | Что вас интересует? | Чем ты интересуешься?,¿Qué te interesa?,Ne ile ilgileniyorsunuz?,Що тебе цікавить? | Що вас цікавить? | Чим ти цікавишся? | Чим ви цікавитеся?
147586,456157,It was love at first sight.,"Het was liefde op het eerste gezicht. | Toen ik haar voor het eerst zag, ben ik op slag verliefd geworden.",Se oli rakkautta ensi silmäyksellä.,Ce fut l'amour au premier regard. | C’était l’amour au premier regard. | C’était un coup de foudre. | Ç’a été le coup de foudre.,Es war Liebe auf den ersten Blick.,זו הייתה אהבה ממבט ראשון.,Ez szerelem volt az első látásra. | Szerelem volt az első látásra. | Szerelem volt első látásra.,Fu amore a prima vista. | È stato amore a prima vista. | Era amore a prima vista.,一目惚れなの。 | それは一目惚れだった。 | あれは一目惚れだった。,那是一见钟情。,To była miłość od pierwszego wejrzenia.,Foi amor à primeira vista.,Это была любовь с первого взгляда.,Fue amor a primera vista.,O ilk görüşte aşktı.,Це було кохання з першого погляду.
147623,456237,It's raining.,Het regent. | Het is aan het regenen.,Sataa. | Sataa vettä.,Il pleut.,Es regnet. | Es regnet gerade.,יורד גשם. | גשום עכשיו.,Esik az eső. | Esik.,Sta piovendo.,雨が降っている。,下雨了。 | 在下雨。,Pada deszcz.,Está chovendo.,Идёт дождь. | Идет дождь.,Llueve. | Está lloviendo.,Hava yağmurlu. | Yağmur yağıyor.,Йде дощ. | Дощить.
147677,456357,May I help you?,Kan ik u helpen? | Mag ik je helpen? | Mag ik jullie helpen?,Kuinka voin auttaa?,Puis-je vous aider ? | Est-ce que je peux t'aider ?,Kann ich euch helfen? | Kann ich Ihnen helfen? | Kann ich dir helfen? | Darf ich dir helfen? | Darf ich euch helfen? | Darf ich Ihnen helfen?,אני יכול לעזור לך? | אפשר לעזור לך? | אני יכולה לעזור לך?,Segíthetek?,Posso aiutarla? | Posso aiutarti? | Posso aiutarvi?,何をさし上げましょうか。 | 何かご用はありますか。 | 何かお探しですか。 | はい、何かご用でしょうか。 | ご用件をうけたまわりましょうか。 | ご用件は？,我能幫你嗎？,Czy mogę ci pomóc? | Czy mogę wam pomóc?,Posso te ajudar? | No que posso ser útil? | Quer ajuda? | Pois não?,Могу я Вам чем-то помочь?,¿Cómo puedo servirle? | ¿Puedo ayudarle?,Sana yardımda bulunabilir miyim? | Size yardım edebilir miyim?,Вам допомогти? | Чи вам допомогти? | Я можу вам якось допомогти?
147798,456627,Please speak more slowly.,Spreekt u alstublieft langzamer. | Spreek langzamer alsjeblieft.,Voisitko puhua hitaammin?,"S'il te plaît, parle moins vite. | Parlez un peu plus lentement, s'il vous plaît. | S'il vous plait, parlez plus lentement.",Bitte sprechen Sie langsamer.,אנא תדבר יותר לאט.,"Kérlek, beszélj lassabban.","Per favore, parli più lentamente. | Per piacere, parli più lentamente. | Per favore, parla più lentamente. | Per piacere, parla più lentamente. | Per favore, parlate più lentamente. | Per piacere, parlate più lentamente.",もっとゆっくり言ってください。 | もう少しゆっくり話して下さい。,請滿點說。,"Proszę, mów wolniej.","Por favor, fale mais devagar.","Пожалуйста, говорите медленнее. | Говори помедленнее, пожалуйста. | Говори медленнее, я прошу тебя. | Говори помедленней, пожалуйста.","Hable más despacio, por favor. | Por favor, hable más despacio.",Lütfen daha yavaş konuşun.,"Будь ласка, розмовляйте повільніше. | Говоріть повільніше, будь ласка. | Прошу розмовляти повільніше."
147840,456719,She is from France.,Ze komt uit Frankrijk.,Hän on kotoisin Ranskasta.,Elle vient de France. | Elle est de France.,Sie stammt aus Frankreich.,היא מצרפת.,Franciaországból származik.,Lei viene dalla Francia. | Viene dalla Francia.,彼女はフランス出身です。 | 彼女はフランス出身だ。,她是法国的。,Ona jest z Francji.,Ela vem da França. | Ela é da França.,Она из Франции.,Ella es de Francia. | Es francesa.,O Fransalıdır. | O Fransalı.,Вона з Франції.
147894,457629,Hungry?,Honger?,Onko nälkä?,As-tu faim ?,Hungrig?,רעב?,Éhes? | Éhes vagy?,Affamato? | Affamata? | Affamati? | Affamate?,お腹が空いているのですか。 | お腹は空いていますか？ | お腹が空いていますか？ | お腹空いていますか？,餓了嗎？,Głodny?,Você está com fome?,Ты голоден? | Голоден? | Есть хочешь? | Есть хотите? | Голодный? | Голодная? | Голодные?,¿Tienes hambre? | ¿Hambriento?,Aç mısın?,Ти голодний? | Ти голодна? | Хочеш їсти? | Хочете їсти? | Ви голодні? | Ти зголодніла?
147900,457741,I trust you.,Ik vertrouw je. | Ik vertrouw u. | Ik vertrouw jullie.,Luotan sinuun.,Je me fie à toi. | J'ai confiance en toi. | Je te fais confiance.,Ich verlasse mich auf dich. | Ich vertraue Ihnen.,אני סומך עליך. | אני סומכת עליך. | אני סומך עלייך. | אני סומכת עלייך. | אני נותן בך אמון. | אני נותנת בך אמון.,Bízom benned. | Megbízom benned.,Mi fido di te. | Io mi fido di te. | Mi fido di lei. | Io mi fido di lei. | Mi fido di voi. | Io mi fido di voi.,任せるよ。 | 信じているよ。,我信任你。,Ufam Ci.,Confio em ti. | Confio em você.,Я тебе доверяю. | Я вам доверяю. | Я Вам доверяю.,Confío en ti.,Sana güveniyorum. | Size güveniyorum. | Size güvenirim. | Sana güvenirim.,Я тобі довіряю. | Я вам довіряю.
147956,460021,My favorite color is red.,Mijn favoriete kleur is rood.,Punainen on minun lempivärini.,Ma couleur préférée est le rouge.,Meine Lieblingsfarbe ist Rot.,הצבע האהוב עלי הוא אדום.,A kedvenc színem a piros.,Il mio colore preferito è il rosso.,私の大好きな色は赤です。 | 一番好きな色は、赤よ。,我最喜欢红色。,Mój ulubiony kolor to czerwony. | Mój ulubiony kolor to czerwień.,Minha cor favorita é vermelho. | Minha cor favorita é o vermelho. | Minha cor preferida é o vermelho.,Мой любимый цвет - красный.,El color que me encanta es el rojo. | El rojo es mi color favorito.,En sevdiğim renk kırmızı.,Мій улюблений колір — червоний.
147971,460058,I lost my key.,Ik ben mijn sleutel verloren. | Ik ben mijn sleutel kwijtgeraakt. | Ik ben mijn sleutel kwijt. | Ik heb mijn sleutel verloren.,Hukkasin avaimeni. | Hävitin avaimeni.,J'ai perdu ma clé. | Je perdis la clé. | Je perdis la clef. | J'ai perdu ma clef.,Ich habe meinen Schlüssel verloren. | Ich verlor den Schlüssel.,איבדתי את המפתח שלי.,Elvesztettem a kulcsomat.,Ho perso la mia chiave.,私は自分の鍵をなくした。 | 私は鍵をなくした。,我钥匙丢了。,Zgubiłem mój klucz.,Eu perdi minha chave. | Eu perdi a chave.,Я потерял свой ключ. | Я потеряла свой ключ. | Я ключ потерял. | Я свой ключ потерял.,He perdido la llave. | He perdido mi llave. | Perdí mi clave. | Perdí mi llave.,Anahtarımı kaybettim. | Ben anahtarımı kaybettim.,Я загубив свій ключ.
147996,460198,Crazy!,Gek!,Hullu! | Hullua!,J'hallucine ! | Dingue ! | Espèce de taré ! | C'est dément !,Verrückt!,משוגע!,Őrült!,Pazzo!,クレイジー！,疯了！,Zwariowany!,Doido! | Doida! | Maluco!,Сумасшедший! | Псих!,¡Chalado! | ¡Loco!,Çılgın!,Здуріти! | Божевільний!
148175,461908,Where is your dog?,Waar is jouw hond? | Waar is je hond?,Missä koirasi on?,Où est ton chien ? | Où est votre chien ? | Où est ton chien ?,Wo ist dein Hund?,איפה הכלב שלך? | היכן כלבכם? | היכן כלבך?,Hol van a kutyád? | Hol a kutyád?,Dov'è il tuo cane? | Dov'è il vostro cane?,あなたの犬はどこですか。 | 君の犬はどこにいるの？,你的狗在哪儿？ | 你的狗在哪里？,Gdzie twój pies? | Gdzie jest twój pies?,Onde está o seu cão? | Onde está o seu cachorro? | Cadê o seu cão? | Cadê o seu cachorro?,Где твоя собака? | Где ваша собака? | Где твой пёс?,¿Dónde está tu perro?,Köpeğin nerede?,Де твій собака? | Де ваша собака? | Де ваш пес? | Де твій пес?
148228,462430,Shut up!,Zwijg! | Hou je mond! | Kop dicht! | Houd je mond. | Wees stil! | Stilte!,Turpa kiinni! | Suu kiinni! | Pidä suusi kiinni! | Ole hiljaa! | Pää kii! | Pää kiinni! | Pidä pääs kii! | Pidä pääsi kiinni! | Turpa tukkoon! | Turvat tukkoon!,Taisez-vous ! | Ferme-la ! | Tais-toi ! | Taisez-vous ! | Tais-toi ! | Ferme-la ! | La ferme ! | Bouclez-la ! | Ferme-la ! | Fermez-la !,Halt den Mund! | Halt die Schnauze! | Halt’s Maul!,שתוק! | סתום ת'פה! | סתוֹם! | סְתֵמי! | סתמו! | שתקו! | שתקי! | תסתום! | תשתוק! | תסתום את הפה! | בלום את הג'ורה.,Kuss! | Fogd be a szád! | Dugulj el! | Pofád lapos! | Kussolj! | Kussoljál! | Kussolj el! | Elhallgass te! | Fogd be! | Befogod a pofád! | Elhallgassál nekem! | Fogd be a pofád! | Ne pofázz! | Szádon lakat! | Befogd a pofád! | Pofa be! | Elkussolj! | Elhallgass! | Fogod be a szádat! | Nem hallgatsz el! | Húzz bőrt a fogadra! | Hallgass a neved! | Kuss a neved! | Dugulj be! | Ne dumálj! | Elhallgassál te!,Stai zitto! | Stai zitta! | Stia zitto! | Stia zitta! | State zitti! | State zitte! | Taci! | Tacete! | Taccia! | Silenzio! | Sta' zitto!,黙れ！ | うるさい！ | 黙ってて。,閉嘴！,Zamknij się!,Cale a boca! | Cala a boca! | Cala-te! | Cale-se! | Calem a boca! | Calem-se!,Заткнись! | Цыц! | Заткнитесь! | Замолчите! | Замолчи!,¡Cállate! | ¡Cierra la boca! | ¡Callate la boca! | ¡Cerrá el pico! | ¡Ya cállate! | ¡Cállense!,Kapa çeneni! | Kes sesini!,Замовкни! | Замовкніть! | Затули пельку! | Мовчати!
